Name_to_use,taxid,otu_count,otu_percentage,size_count,size_percentage,lineage,lineage_ranks,lineage_taxids
Lachnospiraceae.U.genus,186803,7236,2.76,15395,1.29,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;1783272;1239;186801;3085636;186803;186803
Candidatus Parcubacteria.U.genus,221216,6968,2.66,21382,1.79,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Parcubacteria;Candidatus Parcubacteria.U.genus,cellular root;domain;no rank;clade;clade;clade;phylum;original_name,131567;2;2323;1783234;1783273;1794811;221216;221216
Clostridia.U.genus,186801,5378,2.05,13639,1.14,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Clostridia.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;1239;186801;186801
Verrucomicrobiota.U.genus,74201,5052,1.93,14632,1.22,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiota.U.genus,cellular root;domain;kingdom;clade;phylum;original_name,131567;2;3379134;1783257;74201;74201
Bacteria.U.genus,2,4220,1.61,19549,1.64,cellular organisms;Bacteria;Bacteria.U.genus,cellular root;domain;original_name,131567;2;2
Alphaproteobacteria.U.genus,28211,4173,1.59,24436,2.05,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Alphaproteobacteria.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2;3379134;1224;28211;28211
Bacillus,1386,3741,1.43,18159,1.52,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;186817;1386
Gammaproteobacteria.U.genus,1236,3171,1.21,12696,1.06,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2;3379134;1224;1236;1236
Acidobacteriota.U.genus,57723,3109,1.19,16434,1.38,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Acidobacteriota.U.genus,cellular root;domain;kingdom;phylum;original_name,131567;2;3379134;57723;57723
Candidatus Nanoarchaeia.U.genus,2885752,3006,1.15,8477,0.71,cellular organisms;Archaea;Nanobdellati;Nanobdellota;Candidatus Nanoarchaeia;Candidatus Nanoarchaeia.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2157;1783276;192989;2885752;2885752
Microgenomatia.U.genus,NA,2959,1.13,8761,0.73,Microgenomatia.U.genus,original_name,NA
Anaerolineae.U.genus,292625,2905,1.11,9688,0.81,cellular organisms;Bacteria;Bacillati;Chloroflexota;Anaerolineae;Anaerolineae.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;200795;292625;292625
Planctomycetota.U.genus,203682,2873,1.1,9782,0.82,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetota.U.genus,cellular root;domain;kingdom;clade;phylum;original_name,131567;2;3379134;1783257;203682;203682
Candidatus Bathyarchaeota.U.genus,928852,2612,1.0,8371,0.7,cellular organisms;Archaea;Thermoproteati;Candidatus Bathyarchaeota;Candidatus Bathyarchaeota.U.genus,cellular root;domain;kingdom;phylum;original_name,131567;2157;1783275;928852;928852
Dehalococcoidia.U.genus,301297,2590,0.99,11281,0.94,cellular organisms;Bacteria;Bacillati;Chloroflexota;Dehalococcoidia;Dehalococcoidia.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;200795;301297;301297
Pseudomonas,286,2357,0.9,13398,1.12,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;72274;135621;286
Bacteroidales.U.genus,171549,2210,0.84,6840,0.57,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales.U.genus,cellular root;domain;kingdom;clade;clade;phylum;class;order;original_name,131567;2;3379134;1783270;68336;976;200643;171549;171549
Oscillospiraceae.U.genus,216572,2074,0.79,5244,0.44,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;1783272;1239;186801;186802;216572;216572
Verrucomicrobiae.U.genus,203494,1914,0.73,10005,0.84,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiae.U.genus,cellular root;domain;kingdom;clade;phylum;class;original_name,131567;2;3379134;1783257;74201;203494;203494
Prevotella,838,1869,0.71,5499,0.46,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;200643;171549;171552;838
Christensenellaceae.U.genus,990719,1848,0.7,4380,0.37,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;1783272;1239;186801;3082768;990719;990719
Candidatus Saccharimonadales.U.genus,2093825,1818,0.69,4927,0.41,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Saccharibacteria;Candidatus Saccharimonadia;Candidatus Saccharimonadales;Candidatus Saccharimonadales.U.genus,cellular root;domain;no rank;clade;phylum;class;order;original_name,131567;2;2323;1783234;95818;2093818;2093825;2093825
Chloroflexota.U.genus,200795,1801,0.69,14591,1.22,cellular organisms;Bacteria;Bacillati;Chloroflexota;Chloroflexota.U.genus,cellular root;domain;kingdom;phylum;original_name,131567;2;1783272;200795;200795
uncultured_bacterium.Mitochondria,77133,1789,0.68,8405,0.7,cellular organisms;Bacteria;environmental samples;uncultured bacterium;uncultured_bacterium.Mitochondria,cellular root;domain;no rank;species;original_name,131567;2;48479;77133;77133
Anaerolineaceae.U.genus,292628,1780,0.68,10203,0.85,cellular organisms;Bacteria;Bacillati;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;1783272;200795;292625;292629;292628;292628
Candidatus Gracilibacteria.U.genus,NA,1737,0.66,5355,0.45,Candidatus Gracilibacteria.U.genus,original_name,NA
Bacteroidota.U.genus,976,1736,0.66,9114,0.76,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidota.U.genus,cellular root;domain;kingdom;clade;clade;phylum;original_name,131567;2;3379134;1783270;68336;976;976
Phycisphaerae.U.genus,666505,1714,0.65,4606,0.39,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Phycisphaerae;Phycisphaerae.U.genus,cellular root;domain;kingdom;clade;phylum;class;original_name,131567;2;3379134;1783257;203682;666505;666505
ABY1.U.genus,NA,1711,0.65,5467,0.46,ABY1.U.genus,original_name,NA
Muribaculaceae.U.genus,2005473,1537,0.59,3359,0.28,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae.U.genus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;original_name,131567;2;3379134;1783270;68336;976;200643;171549;2005473;2005473
Pirellulaceae.U.genus,2691357,1507,0.57,5072,0.42,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Pirellulaceae.U.genus,cellular root;domain;kingdom;clade;phylum;class;order;family;original_name,131567;2;3379134;1783257;203682;203683;2691354;2691357;2691357
Rikenellaceae.U.genus,171550,1416,0.54,3467,0.29,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae.U.genus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;original_name,131567;2;3379134;1783270;68336;976;200643;171549;171550;171550
Acidimicrobiia.U.genus,84992,1406,0.54,10022,0.84,cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiia.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;201174;84992;84992
Thermoplasmata.U.genus,183967,1333,0.51,7908,0.66,cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Thermoplasmata;Thermoplasmata.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2157;3366610;2283796;183967;183967
Streptomyces,1883,1322,0.5,7725,0.65,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85011;2062;1883
Streptococcus,1301,1316,0.5,9034,0.76,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;186826;1300;1301
Candidatus Marinimicrobia.U.genus,NA,1230,0.47,7201,0.6,Candidatus Marinimicrobia.U.genus,original_name,NA
Phycisphaeraceae.U.genus,666507,1204,0.46,5532,0.46,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaeraceae.U.genus,cellular root;domain;kingdom;clade;phylum;class;order;family;original_name,131567;2;3379134;1783257;203682;666505;666506;666507;666507
Bacteroides,816,1166,0.44,6061,0.51,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;200643;171549;815;816
Gemmataceae.U.genus,1914233,1130,0.43,2847,0.24,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Gemmataceae.U.genus,cellular root;domain;kingdom;clade;phylum;class;order;family;original_name,131567;2;3379134;1783257;203682;203683;2691355;1914233;1914233
Candidatus Babeliales.U.genus,2497644,1128,0.43,2661,0.22,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Babelota;Candidatus Babeliae;Candidatus Babeliales;Candidatus Babeliales.U.genus,cellular root;domain;no rank;clade;clade;class;order;original_name,131567;2;2323;1783234;95901;2497643;2497644;2497644
Clostridium,1485,1127,0.43,6053,0.51,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;186802;31979;1485
Blautia,572511,1123,0.43,3402,0.28,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;3085636;186803;572511
Sphingobacteriales.U.genus,200666,1120,0.43,7226,0.6,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriales.U.genus,cellular root;domain;kingdom;clade;clade;phylum;class;order;original_name,131567;2;3379134;1783270;68336;976;117747;200666;200666
Pseudomonadales.U.genus,72274,1109,0.42,8970,0.75,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadales.U.genus,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;1224;1236;72274;72274
Flavobacterium,237,1041,0.4,5992,0.5,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;117743;200644;49546;237
Gemmatimonadaceae.U.genus,219687,1021,0.39,5987,0.5,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonadaceae.U.genus,cellular root;domain;kingdom;clade;phylum;class;order;family;original_name,131567;2;3379134;1783270;142182;219685;219686;219687;219687
Rhodospirillales.U.genus,204441,1015,0.39,4712,0.39,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillales.U.genus,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;1224;28211;204441;204441
Saprospiraceae.U.genus,89374,1011,0.39,4555,0.38,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Saprospiria;Saprospirales;Saprospiraceae;Saprospiraceae.U.genus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;original_name,131567;2;3379134;1783270;68336;976;1937959;1936988;89374;89374
Rickettsiales.U.genus,766,1005,0.38,3115,0.26,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiales.U.genus,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;1224;28211;766;766
Ruminococcus,1263,1003,0.38,3172,0.27,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;186802;216572;1263
Treponema,157,980,0.37,2616,0.22,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;203691;203692;136;2845253;157
Myxococcota.U.genus,2818505,936,0.36,3460,0.29,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Myxococcota.U.genus,cellular root;domain;kingdom;phylum;original_name,131567;2;3379134;2818505;2818505
Vicinamibacterales.U.genus,2910145,913,0.35,3855,0.32,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacterales.U.genus,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;57723;1813735;2910145;2910145
Candidatus Latescibacteria.U.genus,NA,889,0.34,3356,0.28,Candidatus Latescibacteria.U.genus,original_name,NA
Paenibacillus,44249,874,0.33,3783,0.32,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;186822;44249
Tepidisphaerales.U.genus,1771349,870,0.33,2540,0.21,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaerales.U.genus,cellular root;domain;kingdom;clade;phylum;class;order;original_name,131567;2;3379134;1783257;203682;666505;1771349;1771349
Gaiellales.U.genus,1154584,855,0.33,6562,0.55,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellales.U.genus,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;1783272;201174;1497346;1154584;1154584
Candidatus Aenigmarchaeota.U.genus,NA,832,0.32,2134,0.18,Candidatus Aenigmarchaeota.U.genus,original_name,NA
Lactobacillus,1578,828,0.32,5707,0.48,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;186826;33958;1578
Burkholderiales.U.genus,80840,827,0.32,4977,0.42,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiales.U.genus,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;1224;28216;80840;80840
Roseburia,841,826,0.31,1909,0.16,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;3085636;186803;841
