Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Eukaryota.U.family,2759,9333,39360,cellular organisms;Eukaryota;Eukaryota.U.family,cellular root;domain;original_name,131567;2759;2759
Metazoa.U.family,33208,4480,25091,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Metazoa.U.family,cellular root;domain;clade;kingdom;original_name,131567;2759;33154;33208;33208
Amoebozoa.U.family,554915,4214,15143,cellular organisms;Eukaryota;Amoebozoa;Amoebozoa.U.family,cellular root;domain;clade;original_name,131567;2759;554915;554915
Insecta,50557,3087,19878,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557
Embryophyceae_XX,NA,2248,16076,Embryophyceae_XX,original_name,NA
Mastigamoebidae,174815,1609,10879,cellular organisms;Eukaryota;Amoebozoa;Evosea;Archamoebae;Mastigamoebida;Mastigamoebidae,cellular root;domain;clade;phylum;clade;order;family,131567;2759;554915;2605435;555406;2682482;174815
Euglenida.U.family,3035,1526,5350,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Euglenida.U.family,cellular root;domain;clade;phylum;class;original_name,131567;2759;2611352;33682;3035;3035
Sordariomycetes,147550,1305,9434,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550
Nematoda.U.family,6231,1163,5960,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Nematoda.U.family,cellular root;domain;clade;kingdom;clade;clade;clade;clade;phylum;original_name,131567;2759;33154;33208;6072;33213;33317;1206794;6231;6231
Cercozoa.U.family,136419,1152,3275,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Cercozoa.U.family,cellular root;domain;clade;clade;phylum;original_name,131567;2759;2698737;543769;136419;136419
Fungi.U.family,4751,1112,2638,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi.U.family,cellular root;domain;clade;kingdom;original_name,131567;2759;33154;4751;4751
Dinophyceae.U.family,2864,1090,4487,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Dinophyceae.U.family,cellular root;domain;clade;clade;class;original_name,131567;2759;2698737;33630;2864;2864
Stramenopiles.U.family,33634,1038,7804,cellular organisms;Eukaryota;Sar;Stramenopiles;Stramenopiles.U.family,cellular root;domain;clade;clade;original_name,131567;2759;2698737;33634;33634
Pezizomycotina.U.family,147538,987,5074,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Pezizomycotina.U.family,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;original_name,131567;2759;33154;4751;451864;4890;716545;147538;147538
Heterolobosea.U.family,5752,896,4751,cellular organisms;Eukaryota;Discoba;Heterolobosea;Heterolobosea.U.family,cellular root;domain;clade;phylum;original_name,131567;2759;2611352;5752;5752
Dothideomycetes,147541,874,4225,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class,131567;2759;33154;4751;451864;4890;716545;147538;716546;715962;147541
Platyhelminthes.U.family,6157,851,2920,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Platyhelminthes.U.family,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;original_name,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6157
Gyrista.U.family,NA,833,3060,Gyrista.U.family,original_name,NA
Ciliophora.U.family,5878,803,4342,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Ciliophora.U.family,cellular root;domain;clade;clade;phylum;original_name,131567;2759;2698737;33630;5878;5878
Oxytrichidae,57506,800,7715,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Stichotrichia;Sporadotrichida;Oxytrichidae,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;order;family,131567;2759;2698737;33630;5878;431838;33829;194286;693921;57506
Chromadorea_X,119089,778,4386,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Chromadorea_X,cellular root;domain;clade;kingdom;clade;clade;clade;clade;phylum;class;original_name,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;119089
Agaricomycetes,155619,759,5519,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class,131567;2759;33154;4751;451864;5204;5302;155619
Opisthokonta.U.family,33154,687,3638,cellular organisms;Eukaryota;Opisthokonta;Opisthokonta.U.family,cellular root;domain;clade;original_name,131567;2759;33154;33154
Dino-Group-II.U.family,NA,657,2568,Dino-Group-II.U.family,original_name,NA
Sandonidae,2586441,645,3733,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Glissomonadida;Sandonidae,cellular root;domain;clade;clade;phylum;order;family,131567;2759;2698737;543769;136419;1238681;2586441
Eurotiomycetes,147545,604,6441,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;class,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545
Hexamitidae,5739,573,3242,cellular organisms;Eukaryota;Metamonada;Fornicata;Diplomonadida;Hexamitidae,cellular root;domain;clade;phylum;order;family,131567;2759;2611341;207245;5738;5739
Dino-Group-II-Clade-7,NA,547,1828,Dino-Group-II-Clade-7,original_name,NA
Chytridiomycota.U.family,4761,530,1528,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota.U.family,cellular root;domain;clade;kingdom;no rank;phylum;original_name,131567;2759;33154;4751;112252;4761;4761
TSAR.U.family,NA,509,1675,TSAR.U.family,original_name,NA
Monothalamids_X.U.family,1505960,507,2233,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Monothalamids;Monothalamids_X.U.family,cellular root;domain;clade;clade;clade;phylum;clade;original_name,131567;2759;2698737;543769;2662056;29178;1505960;1505960
Chlorophyta_X.U.family,3041,499,2267,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyta_X.U.family,cellular root;domain;kingdom;phylum;original_name,131567;2759;33090;3041;3041
Hartmannellidae,5776,472,2106,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Euamoebida;Hartmannellidae,cellular root;domain;clade;phylum;class;order;family,131567;2759;554915;555369;2681632;180229;5776
Euglenaceae,1131320,470,1572,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Spirocuta;Euglenophyceae;Euglenales;Euglenaceae,cellular root;domain;clade;phylum;class;clade;subclass;order;family,131567;2759;2611352;33682;3035;2570567;2704141;86650;1131320
Thoracosphaeraceae,1691972,468,2008,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae,cellular root;domain;clade;clade;class;order;family,131567;2759;2698737;33630;2864;33835;1691972
Kinetoplastea.U.family,5653,451,1621,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Kinetoplastea.U.family,cellular root;domain;clade;phylum;class;original_name,131567;2759;2611352;33682;5653;5653
Crustacea.U.family,6657,436,2433,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Crustacea.U.family,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;original_name,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6657;6657
Petalomonadida.U.family,2570648,422,1103,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Petalomonadida;Petalomonadida.U.family,cellular root;domain;clade;phylum;class;order;original_name,131567;2759;2611352;33682;3035;2570648;2570648
Dino-Group-II-Clade-10-and-11,NA,415,1595,Dino-Group-II-Clade-10-and-11,original_name,NA
Alveolata.U.family,33630,393,8253,cellular organisms;Eukaryota;Sar;Alveolata;Alveolata.U.family,cellular root;domain;clade;clade;original_name,131567;2759;2698737;33630;33630
Polycystinea.U.family,65582,391,4253,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Polycystinea;Polycystinea.U.family,cellular root;domain;clade;clade;clade;class;original_name,131567;2759;2698737;543769;2662056;65582;65582
Leotiomycetes,147548,374,2629,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147548
Peronosporales,4776,373,2022,cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporales,cellular root;domain;clade;clade;phylum;order,131567;2759;2698737;33634;4762;4776
Mollusca.U.family,6447,353,2354,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Mollusca.U.family,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;original_name,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6447;6447
