Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
AND16-lineage_X,1481724,75,194,cellular organisms;Eukaryota;Discoba;Heterolobosea;Tetramitia;Eutetramitia;Psalteriomonadidae;Monopylocystis;Monopylocystis minor,cellular root;domain;clade;phylum;clade;clade;family;genus;species,131567;2759;2611352;5752;2601529;2601530;1129782;63602;1481724
ARMOP1_X,33651,6,9,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Bicosoecida,cellular root;domain;clade;clade;class;clade;order,131567;2759;2698737;33634;2683628;2683629;33651
Acanthamoeba,5754,104,748,cellular organisms;Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Acanthamoebidae;Acanthamoeba,cellular root;domain;clade;phylum;order;clade;family;genus,131567;2759;554915;555280;1485168;555407;33677;5754
Acanthamoebidae_X,33677,16,22,cellular organisms;Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Acanthamoebidae,cellular root;domain;clade;phylum;order;clade;family,131567;2759;554915;555280;1485168;555407;33677
Acantharea_3a_X,65574,208,1225,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Acantharea,cellular root;domain;clade;clade;clade;class,131567;2759;2698737;543769;2662056;65574
Acanthopodida.U.genus,NA,3,3,,,
Acartia,1500560,4,7,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;Entylomatales;Entylomatales incertae sedis;Tilletiopsis,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class;order;no rank;genus,131567;2759;33154;4751;451864;5204;452284;452283;62914;162479;1500560
Acineta_1,193537,37,104,cellular organisms;Eukaryota;Haptista;Centroplasthelida,cellular root;domain;clade;class,131567;2759;2608109;193537
Actinocephalidae.U.genus,650287,34,87,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida;Actinocephalidae,cellular root;domain;clade;clade;phylum;class;subclass;order;family,131567;2759;2698737;33630;5794;1280412;35086;35087;650287
Actinosphaerium,238766,5,14,cellular organisms;Eukaryota;Sar;Stramenopiles;Actinophryidae;Actinosphaerium,cellular root;domain;clade;clade;class;genus,131567;2759;2698737;33634;238765;238766
Aculops,644139,5,7,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Eupodina;Eriophyoidea;Eriophyidae;Phyllocoptinae;Anthocoptini;Aculops,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;subphylum;class;subclass;superorder;order;suborder;clade;superfamily;family;subfamily;tribe;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854;6933;6946;83136;6947;83139;70332;70320;426501;426515;644139
Acyrthosiphon,7028,49,436,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Aphidomorpha;Aphidoidea;Aphididae;Aphidinae;Macrosiphini;Acyrthosiphon,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;clade;subclass;infraclass;cohort;order;suborder;infraorder;superfamily;family;subfamily;tribe;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33342;7524;33373;33380;33385;27482;133076;33386;7028
Adelina,203141,3,3,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Adeleorina;Adeleidae;Adelina,cellular root;domain;clade;clade;phylum;suborder;family;genus,131567;2759;2698737;33630;5794;75740;203140;203141
Agaricomycetes.U.genus,155619,665,4615,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class,131567;2759;33154;4751;451864;5204;5302;155619
Agaricomycetes_X,155619,8,27,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class,131567;2759;33154;4751;451864;5204;5302;155619
Agaricomycotina.U.genus,5302,328,2666,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum,131567;2759;33154;4751;451864;5204;5302
Alaimus,211208,2,2,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Enoplea;Enoplia;Enoplida;Alaimina;Alaimidae;Alaimus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;phylum;class;subclass;order;suborder;family;genus,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119088;33218;57287;2044731;211207;211208
Allantion,188942,3,4,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Glissomonadida;Allapsidae;Allantion,cellular root;domain;clade;clade;phylum;order;family;genus,131567;2759;2698737;543769;136419;1238681;2607627;188942
Allobodo,79213,14,30,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Coccoidea;Eriococcidae;Cryptococcus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;clade;subclass;infraclass;cohort;order;suborder;superfamily;family;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33342;7524;33373;33381;240288;79213
Allogromiina,NA,83,222,,,
Allomyces,28581,16,114,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces,cellular root;domain;clade;kingdom;no rank;phylum;class;order;family;genus,131567;2759;33154;4751;112252;451459;451460;4805;4806;28581
Alphamonadea_ALPH1,NA,2,10,,,
Alveolata.U.genus,340080,393,8253,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Oligohymenophorea;Peniculida;Parameciidae,cellular root;domain;clade;clade;phylum;subphylum;class;order;family,131567;2759;2698737;33630;5878;431838;6020;33825;340080
Amoebozoa.U.genus,554915,4214,15143,cellular organisms;Eukaryota;Amoebozoa,cellular root;domain;clade,131567;2759;554915
Amphitrema,1287651,16,60,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Labyrinthulomycetes;Amphitremida;Amphitraemidae;Amphitrema,cellular root;domain;clade;clade;class;subclass;order;family;genus,131567;2759;2698737;33634;2683628;35131;1287658;1287649;1287651
Ankistrodesmus,3108,1,2,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;CS clade;Sphaeropleales;Selenastraceae;Ankistrodesmus,cellular root;domain;kingdom;phylum;clade;class;clade;order;family;genus,131567;2759;33090;3041;2692248;3166;2812636;35491;35466;3108
Annelida_XX.U.genus,6340,40,202,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6340
Anolis,28376,4,42,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Iguania;Dactyloidae;Anolis,cellular root;domain;clade;kingdom;clade;clade;clade;phylum;subphylum;clade;clade;clade;clade;superclass;clade;clade;clade;clade;clade;class;order;clade;clade;clade;clade;suborder;family;genus,131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;8457;32561;8504;8509;1329961;1329950;1329912;1329911;8511;2024747;28376
Anomalocera,310561,4,55,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Hexanauplia;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Pontellidae;Anomalocera,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;superclass;class;subclass;infraclass;superorder;order;family;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6657;2172821;72037;6830;116569;116570;6833;163235;310561
Anthoptilum,86570,35,169,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Pennatuloidea;Anthoptilidae;Anthoptilum,cellular root;domain;clade;kingdom;clade;phylum;class;subclass;order;superfamily;family;genus,131567;2759;33154;33208;6072;6073;6101;6132;3028851;6133;86569;86570
Anthozoa.U.genus,6101,248,2766,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa,cellular root;domain;clade;kingdom;clade;phylum;class,131567;2759;33154;33208;6072;6073;6101
Aphelidium,1498217,12,17,cellular organisms;Eukaryota;Opisthokonta;Aphelida;Aphelidea;Aphelidiaceae;Aphelidium,cellular root;domain;clade;clade;class;family;genus,131567;2759;33154;2316435;1498967;2689233;1498217
Apis,7459,236,762,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Hymenoptera;Apocrita;Aculeata;Apoidea;Anthophila;Apidae;Apinae;Apini;Apis,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;clade;subclass;infraclass;cohort;order;suborder;infraorder;superfamily;clade;family;subfamily;tribe;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7399;7400;7434;34735;3042114;7458;70987;83321;7459
Arabidopsis,686739,30,32,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Cercomonadida;Cercomonadidae;Cavernomonas,cellular root;domain;clade;clade;phylum;order;family;genus,131567;2759;2698737;543769;136419;188941;45108;686739
Arachnida.U.genus,6854,65,128,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;subphylum;class,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854
Arcellinida.U.genus,751773,75,271,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Lamiales;Lamiaceae;Nepetoideae;Mentheae;Cyclotrichium,cellular root;domain;kingdom;phylum;subphylum;clade;clade;clade;clade;class;clade;clade;clade;clade;clade;clade;order;family;subfamily;tribe;genus,131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71274;91888;4143;4136;216706;216718;751773
Archaeplastida.U.genus,NA,342,1480,,,
Archamoebea.U.genus,2571230,58,216,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Eubodonida;Bodonidae;Allobodo,cellular root;domain;clade;phylum;class;subclass;order;family;genus,131567;2759;2611352;33682;5653;2704647;2704650;5708;2571230
Arthropoda.U.genus,6656,138,741,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656
Articulospora,253308,19,62,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Discinellaceae;Articulospora,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class;order;family;genus,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147548;5178;2794838;253308
Ascomorpha,296206,6,7,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Eupodina;Eupodoidea;Penthaleidae;Penthaleus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;subphylum;class;subclass;superorder;order;suborder;clade;superfamily;family;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854;6933;6946;83136;6947;83139;94819;296205;296206
Ascomycota.U.genus,4890,288,3632,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota,cellular root;domain;clade;kingdom;subkingdom;phylum,131567;2759;33154;4751;451864;4890
Aspergillus,5052,48,646,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;class;subclass;order;family;genus,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052
Astrorhiza,46079,9,9,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Monothalamids;Astrorhizida;Astrorhizidae;Astrorhiza,cellular root;domain;clade;clade;clade;phylum;clade;order;family;genus,131567;2759;2698737;543769;2662056;29178;1505960;46109;46116;46079
Aureococcus,44055,36,182,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Aureococcus,cellular root;domain;clade;clade;clade;class;order;family;genus,131567;2759;2698737;33634;2696291;35675;54409;3235057;44055
Auxenochlorella,1004930,23,524,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Thecofilosea,cellular root;domain;clade;clade;phylum;class,131567;2759;2698737;543769;136419;1004930
Babesia6,5864,3,68,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia,cellular root;domain;clade;clade;phylum;class;order;family;genus,131567;2759;2698737;33630;5794;422676;5863;32594;5864
Babesiidae.U.genus,262014,20,90,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Pipoidea;Pipidae;Xenopodinae;Xenopus;Xenopus,cellular root;domain;clade;kingdom;clade;clade;clade;phylum;subphylum;clade;clade;clade;clade;superclass;clade;clade;class;superorder;order;superfamily;family;subfamily;genus;subgenus,131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;8292;41666;8342;30319;8352;8360;8353;262014
Bacillariophyceae_XXX,33849,8,29,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae,cellular root;domain;clade;clade;clade;phylum;class,131567;2759;2698737;33634;2696291;2836;33849
Balamuthia,66526,8,12,cellular organisms;Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Balamuthiidae;Balamuthia,cellular root;domain;clade;phylum;order;clade;family;genus,131567;2759;554915;555280;1485168;555407;555408;66526
Basidiomycota.U.genus,451460,32,88,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Blastocladiomycota;Blastocladiomycetes,cellular root;domain;clade;kingdom;no rank;phylum;class,131567;2759;33154;4751;112252;451459;451460
