unclassified_name,count,sequence_count,division,family,genus,lineage_signature,example_centroids
"# Unclassified genus entries: 50,844 of 70,899 total",,,,,,,
Dinophyceae.U.genus,1090,4487,Alveolata,Dinophyceae.U.family,Dinophyceae.U.genus,Alveolata|Dinophyceae.U.family|Dinophyceae.U.genus,IMG_3300044614.a_Ga0453753_0007084; IMG_3300012952.a_Ga0163180_10006073; IMG_3300035664.a_Ga0335067_0008086
Ciliophora.U.genus,803,4342,Alveolata,Ciliophora.U.family,Ciliophora.U.genus,Alveolata|Ciliophora.U.family|Ciliophora.U.genus,IMG_3300020084.a_Ga0194110_10011494; IMG_3300017440.a_Ga0182214_1000229; REF_SPR_HG939532.1.2513_Eukaryota_SAR_Alveolata_Ciliophora_Postciliodesmatophora_Heterotrichea_Spirostomum_Spirostomum_teres
Dino-Group-II.U.genus,657,2568,Alveolata,Dino-Group-II.U.family,Dino-Group-II.U.genus,Alveolata|Dino-Group-II.U.family|Dino-Group-II.U.genus,IMG_3300046532.a_Ga0491191_0020189; IMG_3300032011.a_Ga0315316_10011281; REF_SPR_FN598428.1.1824_Eukaryota_SAR_Alveolata_Protalveolata_Syndiniales_Syndiniales_Group_II_uncultured_marine_Syndiniales
Alveolata.U.genus,393,8253,Alveolata,Alveolata.U.family,Alveolata.U.genus,Alveolata|Alveolata.U.family|Alveolata.U.genus,IMG_3300008117.a_Ga0114351_1026149; IMG_3300032006.a_Ga0310344_10012182; IMG_3300034010.a_Ga0365732_0667847
Oligohymenophorea.U.genus,339,1781,Alveolata,Oligohymenophorea.U.family,Oligohymenophorea.U.genus,Alveolata|Oligohymenophorea.U.family|Oligohymenophorea.U.genus,IMG_3300032212.a_Ga0316207_10005232; REF_SPR_HQ219368.1.2292_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_CV1-2A-17_uncultured_ciliate; REF_SPR_KU665355.1.2269_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Scuticociliatia_Pleuronema_Peniculistoma_mytili
Dino-Group-I.U.genus,197,907,Alveolata,Dino-Group-I.U.family,Dino-Group-I.U.genus,Alveolata|Dino-Group-I.U.family|Dino-Group-I.U.genus,REF_SPR_KJ763482.1.1806_Eukaryota_SAR_Alveolata_Dinoflagellata_Dinophyceae_Peridiniphycidae_Peridiniales_Heterocapsa_uncultured_eukaryote; REF_SPR_KJ757616.1.1803_Eukaryota_SAR_Alveolata_Protalveolata_Syndiniales_Syndiniales_Group_I_uncultured_eukaryote; REF_SPR_KJ762093.1.1803_Eukaryota_SAR_Alveolata_Protalveolata_Syndiniales_Syndiniales_Group_I_uncultured_eukaryote
Phyllopharyngea.U.genus,186,686,Alveolata,Phyllopharyngea.U.family,Phyllopharyngea.U.genus,Alveolata|Phyllopharyngea.U.family|Phyllopharyngea.U.genus,REF_SPR_KU588417.1.2209_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea_Cyrtophoria_Chilodochona_Chilodochona_carcini; IMG_3300043404.a_Ga0451695_0001403; IMG_3300043452.a_Ga0451750_0004117
Coccidiomorphea.U.genus,61,404,Alveolata,Coccidiomorphea.U.family,Coccidiomorphea.U.genus,Alveolata|Coccidiomorphea.U.family|Coccidiomorphea.U.genus,REF_SPR_KF696363.1.2021_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Haemosporoidia_Plasmodium_Plasmodium_ovale_wallikeri; REF_SPR_AF297085.1.1996_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Adeleorina_Hepatozoon_Hepatozoon_sp._Boiga; REF_SPR_DQ096835.1.1924_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Adeleorina_Adelina_Adelina_dimidiata
Peritrichia_2.U.genus,53,322,Alveolata,Peritrichia_2.U.family,Peritrichia_2.U.genus,Alveolata|Peritrichia_2.U.family|Peritrichia_2.U.genus,IMG_3300022231.a_Ga0236276_1136585; REF_SPR_GDIP01247411.6619.8547_Eukaryota_Cryptophyceae_Cryptomonadales_Cryptomonas_Daphnia_magna; REF_SPR_AB902285.1.1760_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Peritrichia_uncultured_eukaryote
Plasmodiidae.U.genus,45,167,Alveolata,Plasmodiidae,Plasmodiidae.U.genus,Alveolata|Plasmodiidae|Plasmodiidae.U.genus,REF_SPR_LT594509.104975.107533_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Haemosporoidia_Plasmodium_Plasmodium_ovale__malaria_parasite_P._ovale_; REF_SPR_JPSE01002297.82.2364_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Haemosporoidia_Plasmodium_Plasmodium_falciparum_365.1; REF_SPR_JPSE01006221.63.2271_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Haemosporoidia_Plasmodium_Plasmodium_falciparum_365.1
