# Avg Size Per Cluster Outliers
# Analysis date: 2025-10-15 11:15:54
# Total outliers: 39
# Outliers identified using IQR method (1.5 * IQR)

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Opisthokonta|Saccharomycetales|Saccharomyces,Opisthokonta,Saccharomycetales,Saccharomyces,13,969,74.54,IMG_3300003873.a_Ga0062599_1002375; REF_SPR_AEWP01001287.80.1518_U_18S_rRNA_nucleus_strain_CLIB215_Eukaryota_Opisthokonta_Fungi_Ascomycota_Saccharomycotina_Saccharomycetales_Saccharomyces_Saccharomyces_cerevisiae; IMG_3300022303.a_Ga0236247_1082906
Opisthokonta|Maxillopoda|Eudiaptomus,Opisthokonta,Maxillopoda,Eudiaptomus,14,901,64.36,IMG_3300021164.a_Ga0216247_110295; IMG_3300042447.a_Ga0453058_0042724; IMG_3300027720.a_Ga0209617_10003742
Opisthokonta|Exobasidiomycetes|Malassezia,Opisthokonta,Exobasidiomycetes,Malassezia,298,11722,39.34,IMG_3300036830.a_Ga0376669_0013612; IMG_3300018906.a_Ga0193609_1001625; REF_SPR_EU167573.1.3042_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Pleosporales_Didymellaceae_Stagonosporopsis_Stagonosporopsis_cucurbitacearum
Streptophyta|Embryophyceae_XX|Oryza,Streptophyta,Embryophyceae_XX,Oryza,1,29,29.0,IMG_3300028666.a_Ga0265336_10001627
Opisthokonta|Arachnida|Penthaleus,Opisthokonta,Arachnida,Penthaleus,5,143,28.6,IMG_3300001471.a_JGI12712J15308_10015644; IMG_3300022531.a_Ga0242660_1008896; IMG_3300030842.a_Ga0075404_10112446
Opisthokonta|Ustilaginomycotina.U.family|Ustilaginomycotina.U.genus,Opisthokonta,Ustilaginomycotina.U.family,Ustilaginomycotina.U.genus,43,1134,26.37,IMG_3300021435.a_Ga0214095_1000002; IMG_3300007015.a_Ga0104053_102086; REF_SPR_HQ191282.1.3527_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Ustilaginomycotina_Exobasidiomycetes_Exobasidiales_Exobasidiaceae_Exobasidium_uncultured_Dikarya
Stramenopiles|Saprolegniales|Saprolegnia,Stramenopiles,Saprolegniales,Saprolegnia,5,126,25.2,IMG_3300029922.a_Ga0311363_10024457; IMG_3300029908.a_Ga0311341_10009926; IMG_3300034096.a_Ga0335025_0183316
Alveolata|Ophryoglenida|Ichthyophthirius,Alveolata,Ophryoglenida,Ichthyophthirius,19,444,23.37,REF_SPR_JX129387.1.1829_U_18S_rRNA_nucleus_strain_HFCC701_Eukaryota_Alveolata_Ciliophora_Oligohymenophorea_Hymenostomatia_Tetrahymenida_Tetrahymenida_X_Tetrahymenida_X_sp.; IMG_3300039061.a_Ga0167350_000227; IMG_3300046807.a_Ga0485293_001271
Opisthokonta|Sordariomycetes|Trichocladium,Opisthokonta,Sordariomycetes,Trichocladium,25,579,23.16,IMG_3300047508.a_Ga0467018_0003169; IMG_3300014968.a_Ga0157379_10022330; IMG_3300012511.a_Ga0157332_1000701
Chlorophyta|Chlorellales_X|Auxenochlorella,Chlorophyta,Chlorellales_X,Auxenochlorella,23,524,22.78,REF_SPR_KY038331.1.2330_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Trebouxiophyceae_Chlorellales_Oocystis_Oocystis_sp._CAUP_H1110; REF_SPR_HQ191405.1.2326_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Chlorophyceae_uncultured_Chlorophyta; REF_SPR_X74000.1.2286_G_18S_rRNA_nucleus_strain_Andreyeva_748-I_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Chlorellales_Chlorellales_X_Chlorella_Chlorella_mirabilis
