# Division Size Statistics
# Analysis date: 2025-10-15 11:15:54
# Size distribution statistics by major taxonomic division

division,combinations,total_clusters,total_sequences,avg_clusters_per_combination,avg_sequences_per_combination,avg_size_per_cluster,median_clusters,median_sequences,median_avg_size
Opisthokonta,185,24345,158758,131.59459459459458,858.1513513513513,6.269837837837838,17.0,94.0,4.17
Eukaryota,1,9333,39360,9333.0,39360.0,4.22,9333.0,39360.0,4.22
Alveolata,79,9042,60488,114.45569620253164,765.6708860759494,5.812531645569621,33.0,115.0,3.89
Discoba,31,5496,21089,177.29032258064515,680.2903225806451,3.5532258064516125,53.0,204.0,3.34
Rhizaria,61,5126,24072,84.0327868852459,394.62295081967216,2.5911475409836067,17.0,34.0,1.84
Amoebozoa,1,4214,15143,4214.0,15143.0,3.59,4214.0,15143.0,3.59
Stramenopiles,32,3668,24799,114.625,774.96875,5.7796875,24.5,128.0,3.795
Evosea,15,2431,13475,162.06666666666666,898.3333333333334,2.9659999999999997,50.0,194.0,2.7
Streptophyta,12,2252,16099,187.66666666666666,1341.5833333333333,8.005833333333333,22.0,41.0,3.715
Chlorophyta,21,1505,14229,71.66666666666667,677.5714285714286,5.769523809523809,15.0,87.0,4.0
Tubulinea,22,1323,4810,60.13636363636363,218.63636363636363,2.8931818181818185,33.0,126.5,2.66
Metamonada,4,573,3242,143.25,810.5,3.4849999999999994,39.5,100.5,2.915
TSAR,1,509,1675,509.0,1675.0,3.29,509.0,1675.0,3.29
Discosea,12,399,1365,33.25,113.75,2.23,24.0,40.5,1.525
Archaeplastida,1,342,1480,342.0,1480.0,4.33,342.0,1480.0,4.33
Centroplasthelida,4,185,530,46.25,132.5,2.0174999999999996,14.5,24.5,1.8599999999999999
Rigifilida,3,79,246,26.333333333333332,82.0,2.4533333333333336,13.0,28.0,2.33
Picozoa,1,51,366,51.0,366.0,7.18,51.0,366.0,7.18
Hemimastigophora,1,20,81,20.0,81.0,4.05,20.0,81.0,4.05
Nibbleridia,2,3,11,1.5,5.5,3.25,1.5,5.5,3.25
Rhodophyta,1,2,21,2.0,21.0,10.5,2.0,21.0,10.5
Nebulidia,1,1,3,1.0,3.0,3.0,1.0,3.0,3.0
