name,count,sequence_count
"# Total rows in original metadata: 70,899",,
Opisthokonta,24345,158758
Eukaryota.U.division,9333,39360
Alveolata,9042,60488
Discoba,5496,21089
Rhizaria,5126,24072
Amoebozoa.U.division,4214,15143
Stramenopiles,3668,24799
Evosea,2431,13475
Streptophyta,2252,16099
Chlorophyta,1505,14229
Tubulinea,1323,4810
Metamonada,573,3242
TSAR.U.division,509,1675
Discosea,399,1365
Archaeplastida.U.division,342,1480
Centroplasthelida,185,530
Rigifilida,79,246
Picozoa,51,366
Hemimastigophora,20,81
Nibbleridia,3,11
Rhodophyta,2,21
Nebulidia,1,3
