name,count,sequence_count
"# Total rows in original metadata: 70,899",,
Eukaryota.U.family,9333,39360
Metazoa.U.family,4480,25091
Amoebozoa.U.family,4214,15143
Insecta,3087,19878
Embryophyceae_XX,2248,16076
Mastigamoebidae,1609,10879
Euglenida.U.family,1526,5350
Sordariomycetes,1305,9434
Nematoda.U.family,1163,5960
Cercozoa.U.family,1152,3275
Fungi.U.family,1112,2638
Dinophyceae.U.family,1090,4487
Stramenopiles.U.family,1038,7804
Pezizomycotina.U.family,987,5074
Heterolobosea.U.family,896,4751
Dothideomycetes,874,4225
Platyhelminthes.U.family,851,2920
Gyrista.U.family,833,3060
Ciliophora.U.family,803,4342
Oxytrichidae,800,7715
Chromadorea_X,778,4386
Agaricomycetes,759,5519
Opisthokonta.U.family,687,3638
Dino-Group-II.U.family,657,2568
Sandonidae,645,3733
Eurotiomycetes,604,6441
Hexamitidae,573,3242
Dino-Group-II-Clade-7,547,1828
Chytridiomycota.U.family,530,1528
TSAR.U.family,509,1675
Monothalamids_X.U.family,507,2233
Chlorophyta_X.U.family,499,2267
Hartmannellidae,472,2106
Euglenaceae,470,1572
Thoracosphaeraceae,468,2008
Kinetoplastea.U.family,451,1621
Crustacea.U.family,436,2433
Petalomonadida.U.family,422,1103
Dino-Group-II-Clade-10-and-11,415,1595
Alveolata.U.family,393,8253
Polycystinea.U.family,391,4253
Leotiomycetes,374,2629
Peronosporales,373,2022
Mollusca.U.family,353,2354
Archaeplastida.U.family,342,1480
Oligohymenophorea.U.family,339,1781
Agaricomycotina.U.family,328,2666
Craniata_X.U.family,326,2470
Foraminifera.U.family,322,2196
Chlorellales_X,315,3348
Vampyrellida.U.family,315,1110
Thalassiosiraceae,309,6048
Bathycoccaceae,308,6531
Exobasidiomycetes,306,11775
Anthozoa,297,2971
Maxillopoda,290,3923
Ascomycota.U.family,288,3632
Dino-Group-II-Clade-6,286,4127
Bicoecea.U.family,280,1227
Radiolaria.U.family,272,1717
Rozellomycota_XX,268,757
Saccharomycotina.U.family,259,3098
Mammalia,257,852
Dileptidae,253,2935
Scytomonadidae,240,549
Glomerales,236,4813
Saccharomycetales,233,2434
Perkinsida_XX,221,1396
Neobodonida.U.family,221,929
Lecanoromycetes,220,1048
Opalozoa.U.family,218,1086
Chlamydomonadales_X,217,1479
Neovahlkampfiidae,211,780
Nassellaria.U.family,209,918
Acantharea_3a,208,1225
Tetramitia_I.U.family,200,796
Flamellidae.U.family,197,567
Dino-Group-I.U.family,197,907
Dino-Group-I-Clade-5,196,1050
Eupetalomonads_X,192,534
Digenea,190,955
Fungi_XXX,190,809
Phyllopharyngea.U.family,186,686
Kinetoplastea_XX,183,428
Dino-Group-I-Clade-4,182,1189
Sessilida,174,1759
WIM80-lineage,173,656
Actinocephalidae,172,567
Rhizophydiales_X,157,593
Cercomonadidae,154,294
Turbellaria.U.family,153,634
Centroplasthelida_X.U.family,151,475
Difflugina,151,397
Salpingoecidae_Group_C1,148,357
Trypanosomatidae,147,1188
Nolandellidae,142,405
Arthropoda.U.family,138,741
Rotifera_XX,135,1684
Rhogostoma-lineage,134,853
Branchiopoda,132,783
Arachnida,130,496
Gregarinidae,130,692
Tremellomycetes,126,690
Schizoplasmodiidae,124,320
Acanthamoebidae,123,773
Tubulinea_X.U.family,121,492
Dino-Group-I-Clade-1,116,2072
Psalteriomonadidae,108,544
Plasmodiidae,103,612
Theileriidae,101,1221
Gastrotricha_XX,99,612
Dino-Group-II-Clade-3,92,284
Monothalamids_XX,92,231
Thaumatomonadida.U.family,88,597
Euamoebida.U.family,86,246
Suctoria_X,83,403
Endostelium-lineage,82,179
Dino-Group-II-Clade-1,80,328
Rigifilida_XXXX,79,246
Cyclotrichium_like_organism_XX,79,227
Phaeophyceae_XX,77,666
Sarcocystidae,76,608
Arcellinida.U.family,75,271
AND16-lineage,75,194
