name,count,sequence_count
"# Total rows in original metadata: 70,899",,
Eukaryota.U.genus,9333,39360
Metazoa.U.genus,4480,25091
Amoebozoa.U.genus,4214,15143
Insecta.U.genus,2513,16928
Mastigamoeba,1609,10879
Embryophyceae_XX.U.genus,1535,7457
Euglenida.U.genus,1526,5350
Nematoda.U.genus,1163,5960
Cercozoa.U.genus,1152,3275
Fungi.U.genus,1112,2638
Dinophyceae.U.genus,1090,4487
Stramenopiles.U.genus,1038,7804
Pezizomycotina.U.genus,987,5074
Heterolobosea.U.genus,896,4751
Platyhelminthes.U.genus,851,2920
Gyrista.U.genus,833,3060
Ciliophora.U.genus,803,4342
Stylonychia,800,7715
Opisthokonta.U.genus,687,3638
Agaricomycetes.U.genus,665,4615
Dino-Group-II.U.genus,657,2568
Flectomonas,639,3724
Dino-Group-II-Clade-7_X,547,1828
Dothideomycetes.U.genus,539,2447
Chytridiomycota.U.genus,530,1528
TSAR.U.genus,509,1675
Monothalamids_X.U.genus,507,2233
Chlorophyta_X.U.genus,499,2267
Hexamitidae.U.genus,484,3018
Trachelomonas,470,1572
Sordariomycetes.U.genus,469,2392
Gibberella,466,4262
Pentapharsodinium,466,2001
Kinetoplastea.U.genus,451,1621
Crustacea.U.genus,436,2433
Petalomonadida.U.genus,422,1103
Dino-Group-II-Clade-10-and-11_X,415,1595
Alveolata.U.genus,393,8253
Polycystinea.U.genus,391,4253
Eurotiomycetes.U.genus,381,3580
Zea,372,6252
Mollusca.U.genus,353,2354
Archaeplastida.U.genus,342,1480
Oligohymenophorea.U.genus,339,1781
Agaricomycotina.U.genus,328,2666
Craniata_X.U.genus,326,2470
Foraminifera.U.genus,322,2196
Vampyrellida.U.genus,315,1110
Thalassiosira,309,6048
Pythium,302,870
Malassezia,298,11722
Ostreococcus,293,6432
Ascomycota.U.genus,288,3632
Dino-Group-II-Clade-6_X,286,4127
Chromadorea_X.U.genus,282,791
Bicoecea.U.genus,280,1227
Saccamoeba,279,1566
Radiolaria.U.genus,272,1717
Rozellomycota_XXX,268,757
Saccharomycotina.U.genus,259,3098
Chlorellales_X.U.genus,255,2704
Dileptidae_X,253,2935
Anthozoa.U.genus,248,2766
Rhizophagus,236,4813
Apis,236,762
Leotiomycetes.U.genus,230,1747
Heterodera,228,2028
Lecanicillium,225,1334
Perkinsida_XXX,221,1396
Neobodonida.U.genus,221,929
Opalozoa.U.genus,218,1086
Drosophila,217,1383
Neovahlkampfia,211,780
Nassellaria.U.genus,209,918
Acantharea_3a_X,208,1225
Tetramitia_I.U.genus,200,796
Flamellidae.U.genus,197,567
Dino-Group-I.U.genus,197,907
Dino-Group-I-Clade-5_X,196,1050
Eupetalomonads_XX,192,534
Chlamydomonadales_X.U.genus,191,1360
Saccharomycetales.U.genus,190,1145
Schistosoma,190,955
Fungi_XXXX,190,809
Phyllopharyngea.U.genus,186,686
Dino-Group-I-Clade-4_X,182,1189
WIM80-lineage_X,173,656
Phaeosphaeria,172,1177
Rehmannia,160,265
Rhizophydiales_XX,157,593
Maxillopoda.U.genus,155,2107
Turbellaria.U.genus,153,634
Centroplasthelida_X.U.genus,151,475
Bullinularia,151,397
Salpingoecidae_Group_C1_X,148,357
Scytomonadidae.U.genus,148,357
Nolandellidae_X,142,405
Arthropoda.U.genus,138,741
Rhogostoma-lineage_X,134,853
Copromyxa,133,379
Vorticella,132,1571
Monocystis,131,467
