# Genus Unclassified Combinations
# Analysis date: 2025-10-15 11:14:40
# Total combinations: 38
# Total clusters: 9,338
# Total sequences: 58,642

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Opisthokonta|Insecta|Insecta.U.genus,Opisthokonta,Insecta,Insecta.U.genus,2513,16928,6.74,IMG_3300006045.a_Ga0082212_10006321; IMG_3300036817.a_Ga0376687_0003533; REF_SPR_EU164639.1.3718_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Hexapoda_Insecta_Corynomalus_Corynomalus_laevigatus
Streptophyta|Embryophyceae_XX|Embryophyceae_XX.U.genus,Streptophyta,Embryophyceae_XX,Embryophyceae_XX.U.genus,1535,7457,4.86,IMG_3300044461.a_Ga0483960_0000475; IMG_3300005937.a_Ga0081455_10009994; IMG_3300049024.a_Ga0498808_000419
Opisthokonta|Agaricomycetes|Agaricomycetes.U.genus,Opisthokonta,Agaricomycetes,Agaricomycetes.U.genus,665,4615,6.94,IMG_3300044819.a_Ga0480562_0001829; IMG_3300025949.a_Ga0207667_10011890; IMG_3300034130.a_Ga0370494_000462
Opisthokonta|Dothideomycetes|Dothideomycetes.U.genus,Opisthokonta,Dothideomycetes,Dothideomycetes.U.genus,539,2447,4.54,IMG_3300036786.a_Ga0376659_0007084; IMG_3300043384.a_Ga0454644_0000459; REF_SPR_LT558703.1.3546_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Eurotiomycetes_Chaetothyriales_Trichomeriaceae_Bacillicladium_Bacillicladium_lobatum
Metamonada|Hexamitidae|Hexamitidae.U.genus,Metamonada,Hexamitidae,Hexamitidae.U.genus,484,3018,6.24,IMG_3300037279.a_Ga0397552_0007522; IMG_3300020715.a_Ga0214254_1001637; REF_SPR_DQ520097.1.2051_U_18S_rRNA_nucleus_specimen_MAFF_305810_Eukaryota_Opisthokonta_Fungi_Basidiomycota_Agaricomycotina_Agaricomycetes_Tulasnella_Tulasnella_violea
Opisthokonta|Sordariomycetes|Sordariomycetes.U.genus,Opisthokonta,Sordariomycetes,Sordariomycetes.U.genus,469,2392,5.1,REF_SPR_LT604109.1.3894_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Sordariomycetes_Incertae_Sedis_Incertae_Sedis_Xylomelasma_Xylomelasma_sp._EMSL_2471; REF_SPR_AB278174.1.3604_G_18S_rRNA_nucleus_strain_CBS_246.91_Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Togninia_Togninia_minima; REF_SPR_JN941751.1.3446_U_18S_rRNA_nucleus_strain_NBRC_101408_Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Cordyceps_Cordyceps_nipponica
Opisthokonta|Eurotiomycetes|Eurotiomycetes.U.genus,Opisthokonta,Eurotiomycetes,Eurotiomycetes.U.genus,381,3580,9.4,IMG_3300039109.a_Ga0120178_004481; IMG_3300011432.a_Ga0137428_1001754_1; REF_SPR_EF413600.1.3847_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Eurotiomycetes_Polyblastia_Polyblastia_melaspora
Opisthokonta|Chromadorea_X|Chromadorea_X.U.genus,Opisthokonta,Chromadorea_X,Chromadorea_X.U.genus,282,791,2.8,REF_SPR_LC147027.1.3725_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Tylenchomorpha_sp._Spondylis_PT; REF_SPR_KY907662.1.3256_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Neotylenchidae_gen._sp._1_QY-2017; REF_SPR_KJ934162.1.2557_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Hemicriconemoides_chitwoodi
Chlorophyta|Chlorellales_X|Chlorellales_X.U.genus,Chlorophyta,Chlorellales_X,Chlorellales_X.U.genus,255,2704,10.6,IMG_3300038696.a_Ga0400669_003343; IMG_3300042289.a_Ga0453148_0012922; REF_SPR_JQ315799.1.3183_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Trebouxiophyceae_Chlorellales_Oocystis_Oocystis_sp._KMMCC_251
Opisthokonta|Anthozoa|Anthozoa.U.genus,Opisthokonta,Anthozoa,Anthozoa.U.genus,248,2766,11.15,REF_SPR_HG931673.1.2709_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Cnidaria_Cnidaria_X_Scyphozoa_Phyllorhiza_Phyllorhiza_punctata; REF_SPR_KT722439.1.1960_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata_Symplectoscyphus_curvatus; REF_SPR_KT722383.1.1934_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata_Antarctoscyphus_grandis
