# Multiple Unclassified Combinations
# Analysis date: 2025-10-15 11:14:40
# Total combinations: 83
# Total clusters: 41,506
# Total sequences: 198,486

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Eukaryota.U.division|Eukaryota.U.family|Eukaryota.U.genus,Eukaryota.U.division,Eukaryota.U.family,Eukaryota.U.genus,9333,39360,4.22,IMG_3300027741.a_Ga0209085_1003614; IMG_3300042143.a_Ga0451492_002059; IMG_3300028047.a_Ga0209526_10006985
Opisthokonta|Metazoa.U.family|Metazoa.U.genus,Opisthokonta,Metazoa.U.family,Metazoa.U.genus,4480,25091,5.6,IMG_3300046500.a_Ga0495596_0001183; IMG_3300005985.a_Ga0081539_10004659; IMG_3300045963.a_Ga0485833_0001840
Amoebozoa.U.division|Amoebozoa.U.family|Amoebozoa.U.genus,Amoebozoa.U.division,Amoebozoa.U.family,Amoebozoa.U.genus,4214,15143,3.59,IMG_3300028585.a_Ga0265797_10025277; IMG_3300047172.a_Ga0495340_0014787_1; IMG_3300003403.a_JGI26532J50257_10002121
Discoba|Euglenida.U.family|Euglenida.U.genus,Discoba,Euglenida.U.family,Euglenida.U.genus,1526,5350,3.51,IMG_3300025701.a_Ga0209771_1003594; REF_SPR_AF386644.1.4503_U_18S_rRNA_nucleus_strain_SAG_222.80_Eukaryota_Excavata_Discoba_Euglenida_Aphagea_Distigmidae_Distigma_Distigma_sennii; IMG_3300031521.a_Ga0311364_10030619
Opisthokonta|Nematoda.U.family|Nematoda.U.genus,Opisthokonta,Nematoda.U.family,Nematoda.U.genus,1163,5960,5.12,IMG_3300030399.a_Ga0311353_10009522; IMG_3300041431.a_Ga0439243_0007564; IMG_3300035088.a_Ga0373940_0000162
Rhizaria|Cercozoa.U.family|Cercozoa.U.genus,Rhizaria,Cercozoa.U.family,Cercozoa.U.genus,1152,3275,2.84,IMG_3300024981.a_Ga0209934_1002102; IMG_3300024981.a_Ga0209934_1002160; IMG_3300025526.a_Ga0208492_1002470
Opisthokonta|Fungi.U.family|Fungi.U.genus,Opisthokonta,Fungi.U.family,Fungi.U.genus,1112,2638,2.37,IMG_3300043422.a_Ga0451741_0000762; IMG_3300037418.a_Ga0395900_0007985; IMG_3300022743.a_Ga0228699_1002103
Alveolata|Dinophyceae.U.family|Dinophyceae.U.genus,Alveolata,Dinophyceae.U.family,Dinophyceae.U.genus,1090,4487,4.12,IMG_3300044614.a_Ga0453753_0007084; IMG_3300012952.a_Ga0163180_10006073; IMG_3300035664.a_Ga0335067_0008086
Stramenopiles|Stramenopiles.U.family|Stramenopiles.U.genus,Stramenopiles,Stramenopiles.U.family,Stramenopiles.U.genus,1038,7804,7.52,IMG_3300022659.a_Ga0248194_14304580; IMG_3300027786.a_Ga0209812_10003318; IMG_3300022468.a_Ga0233289_14264464
Opisthokonta|Pezizomycotina.U.family|Pezizomycotina.U.genus,Opisthokonta,Pezizomycotina.U.family,Pezizomycotina.U.genus,987,5074,5.14,IMG_3300025241.a_Ga0207893_1000802; IMG_3300034137.a_Ga0334943_000835; IMG_3300031569.a_Ga0307489_10005156
Discoba|Heterolobosea.U.family|Heterolobosea.U.genus,Discoba,Heterolobosea.U.family,Heterolobosea.U.genus,896,4751,5.3,IMG_3300028415.a_Ga0306867_1002025; IMG_3300025572.a_Ga0207864_1006230; IMG_3300032431.a_Ga0335395_10008884
Opisthokonta|Platyhelminthes.U.family|Platyhelminthes.U.genus,Opisthokonta,Platyhelminthes.U.family,Platyhelminthes.U.genus,851,2920,3.43,IMG_3300047169.a_Ga0495336_0006418; REF_SPR_EU541306.1.3736_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Monogenea_Monopisthocotylea_Ancyrocephalidae_Haliotrema_cromileptis; REF_SPR_JQ609340.1.2891_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Cestoda_Eucestoda_Cyclophyllidea_Hydatigera_taeniaeformis
