# Total Size Outliers
# Analysis date: 2025-10-15 11:15:54
# Total outliers: 70
# Outliers identified using IQR method (1.5 * IQR)

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Eukaryota.U.division|Eukaryota.U.family|Eukaryota.U.genus,Eukaryota.U.division,Eukaryota.U.family,Eukaryota.U.genus,9333,39360,4.22,IMG_3300027741.a_Ga0209085_1003614; IMG_3300042143.a_Ga0451492_002059; IMG_3300028047.a_Ga0209526_10006985
Opisthokonta|Metazoa.U.family|Metazoa.U.genus,Opisthokonta,Metazoa.U.family,Metazoa.U.genus,4480,25091,5.6,IMG_3300046500.a_Ga0495596_0001183; IMG_3300005985.a_Ga0081539_10004659; IMG_3300045963.a_Ga0485833_0001840
Opisthokonta|Insecta|Insecta.U.genus,Opisthokonta,Insecta,Insecta.U.genus,2513,16928,6.74,IMG_3300006045.a_Ga0082212_10006321; IMG_3300036817.a_Ga0376687_0003533; REF_SPR_EU164639.1.3718_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Hexapoda_Insecta_Corynomalus_Corynomalus_laevigatus
Amoebozoa.U.division|Amoebozoa.U.family|Amoebozoa.U.genus,Amoebozoa.U.division,Amoebozoa.U.family,Amoebozoa.U.genus,4214,15143,3.59,IMG_3300028585.a_Ga0265797_10025277; IMG_3300047172.a_Ga0495340_0014787_1; IMG_3300003403.a_JGI26532J50257_10002121
Opisthokonta|Exobasidiomycetes|Malassezia,Opisthokonta,Exobasidiomycetes,Malassezia,298,11722,39.34,IMG_3300036830.a_Ga0376669_0013612; IMG_3300018906.a_Ga0193609_1001625; REF_SPR_EU167573.1.3042_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Pleosporales_Didymellaceae_Stagonosporopsis_Stagonosporopsis_cucurbitacearum
Evosea|Mastigamoebidae|Mastigamoeba,Evosea,Mastigamoebidae,Mastigamoeba,1609,10879,6.76,IMG_3300038162.a_Ga0401957_000476; IMG_3300004603.a_Ga0068918_1030891; IMG_3300037613.a_Ga0401885_000302
Alveolata|Alveolata.U.family|Alveolata.U.genus,Alveolata,Alveolata.U.family,Alveolata.U.genus,393,8253,21.0,IMG_3300008117.a_Ga0114351_1026149; IMG_3300032006.a_Ga0310344_10012182; IMG_3300034010.a_Ga0365732_0667847
Stramenopiles|Stramenopiles.U.family|Stramenopiles.U.genus,Stramenopiles,Stramenopiles.U.family,Stramenopiles.U.genus,1038,7804,7.52,IMG_3300022659.a_Ga0248194_14304580; IMG_3300027786.a_Ga0209812_10003318; IMG_3300022468.a_Ga0233289_14264464
Alveolata|Oxytrichidae|Stylonychia,Alveolata,Oxytrichidae,Stylonychia,800,7715,9.64,REF_SPR_JQ924058.1.3007_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Spirotrichea_Choreotrichia_Amphorellopsis_Amphorellopsis_quinquealata; REF_SPR_JQ924053.1.2998_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Spirotrichea_Choreotrichia_Codonellopsis_Codonellopsis_gaussi; REF_SPR_HQ219459.1.2399_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Spirotrichea_Oxytrichidae_uncultured_ciliate
Streptophyta|Embryophyceae_XX|Embryophyceae_XX.U.genus,Streptophyta,Embryophyceae_XX,Embryophyceae_XX.U.genus,1535,7457,4.86,IMG_3300044461.a_Ga0483960_0000475; IMG_3300005937.a_Ga0081455_10009994; IMG_3300049024.a_Ga0498808_000419
