# 18S EukCensus Taxonomic Combination Analysis
# Analysis date: 2025-10-15 11:26:29
# Total original records: 70,899
# Unique taxonomic combinations: 491
# Total sequences: 401,342

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Eukaryota.U.division|Eukaryota.U.family|Eukaryota.U.genus,Eukaryota.U.division,Eukaryota.U.family,Eukaryota.U.genus,9333,39360,4.22,IMG_3300027741.a_Ga0209085_1003614; IMG_3300042143.a_Ga0451492_002059; IMG_3300028047.a_Ga0209526_10006985
Opisthokonta|Metazoa.U.family|Metazoa.U.genus,Opisthokonta,Metazoa.U.family,Metazoa.U.genus,4480,25091,5.6,IMG_3300046500.a_Ga0495596_0001183; IMG_3300005985.a_Ga0081539_10004659; IMG_3300045963.a_Ga0485833_0001840
Opisthokonta|Insecta|Insecta.U.genus,Opisthokonta,Insecta,Insecta.U.genus,2513,16928,6.74,IMG_3300006045.a_Ga0082212_10006321; IMG_3300036817.a_Ga0376687_0003533; REF_SPR_EU164639.1.3718_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Hexapoda_Insecta_Corynomalus_Corynomalus_laevigatus
Opisthokonta|Nematoda.U.family|Nematoda.U.genus,Opisthokonta,Nematoda.U.family,Nematoda.U.genus,1163,5960,5.12,IMG_3300030399.a_Ga0311353_10009522; IMG_3300041431.a_Ga0439243_0007564; IMG_3300035088.a_Ga0373940_0000162
Opisthokonta|Fungi.U.family|Fungi.U.genus,Opisthokonta,Fungi.U.family,Fungi.U.genus,1112,2638,2.37,IMG_3300043422.a_Ga0451741_0000762; IMG_3300037418.a_Ga0395900_0007985; IMG_3300022743.a_Ga0228699_1002103
Opisthokonta|Pezizomycotina.U.family|Pezizomycotina.U.genus,Opisthokonta,Pezizomycotina.U.family,Pezizomycotina.U.genus,987,5074,5.14,IMG_3300025241.a_Ga0207893_1000802; IMG_3300034137.a_Ga0334943_000835; IMG_3300031569.a_Ga0307489_10005156
Opisthokonta|Platyhelminthes.U.family|Platyhelminthes.U.genus,Opisthokonta,Platyhelminthes.U.family,Platyhelminthes.U.genus,851,2920,3.43,IMG_3300047169.a_Ga0495336_0006418; REF_SPR_EU541306.1.3736_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Monogenea_Monopisthocotylea_Ancyrocephalidae_Haliotrema_cromileptis; REF_SPR_JQ609340.1.2891_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Cestoda_Eucestoda_Cyclophyllidea_Hydatigera_taeniaeformis
Opisthokonta|Opisthokonta.U.family|Opisthokonta.U.genus,Opisthokonta,Opisthokonta.U.family,Opisthokonta.U.genus,687,3638,5.3,IMG_3300024981.a_Ga0209934_1002558; IMG_3300028375.a_Ga0306865_1001041_1; REF_SPR_HQ191350.1.2633_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Choanoflagellata_Filasterea_Ministeriida_Capsasporidae_AT4-11_uncultured_Chytridiomycota
Opisthokonta|Agaricomycetes|Agaricomycetes.U.genus,Opisthokonta,Agaricomycetes,Agaricomycetes.U.genus,665,4615,6.94,IMG_3300044819.a_Ga0480562_0001829; IMG_3300025949.a_Ga0207667_10011890; IMG_3300034130.a_Ga0370494_000462
Opisthokonta|Dothideomycetes|Dothideomycetes.U.genus,Opisthokonta,Dothideomycetes,Dothideomycetes.U.genus,539,2447,4.54,IMG_3300036786.a_Ga0376659_0007084; IMG_3300043384.a_Ga0454644_0000459; REF_SPR_LT558703.1.3546_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Eurotiomycetes_Chaetothyriales_Trichomeriaceae_Bacillicladium_Bacillicladium_lobatum
