taxon_name,taxid,occurrence_count,rank
Opisthokonta,33154,24345,clade
Alveolata,33630,9042,clade
Discoba,2611352,5496,clade
Rhizaria,543769,5126,clade
Stramenopiles,33634,3668,clade
Evosea,2605435,2431,phylum
Streptophyta,35493,2252,phylum
Chlorophyta,3041,1505,phylum
Tubulinea,555369,1323,phylum
Metamonada,2611341,573,clade
Discosea,555280,399,phylum
Centroplasthelida,193537,185,class
Rigifilida,1237875,79,order
Picozoa,419944,51,phylum
Hemimastigophora,2489521,20,phylum
Nibbleridia,3004207,3,phylum
Rhodophyta,2763,2,phylum
Nebulidia,3004449,1,phylum
