taxid,taxon_name,domain,member_size,occurrence_count
50557,Insecta,Eukaryota,19878,3087
NA,Blastocystis-Group,Eukaryota,618,72
4776,Peronosporales,Eukaryota,2022,373
147548,Leotiomycetes,Eukaryota,2629,374
147541,Dothideomycetes,Eukaryota,4225,874
155619,Agaricomycetes,Eukaryota,5519,759
NA,Embryophyceae_XX,Eukaryota,16076,2248
35460,Chlorellales_X,Eukaryota,3348,315
36750,Glomerales,Eukaryota,4813,236
4763,Saprolegniales,Eukaryota,126,5
452283,Exobasidiomycetes,Eukaryota,11775,306
NA,Chytridiomycetaceae,Eukaryota,82,12
27901,Rhabdocoela,Eukaryota,58,21
119088,Enoplea_X,Eukaryota,209,21
27998,Perkinsida_XX,Eukaryota,1396,221
147545,Eurotiomycetes,Eukaryota,6441,604
451442,Rhizophydiales_X,Eukaryota,593,157
1525212,Bathycoccaceae,Eukaryota,6531,308
4892,Saccharomycetales,Eukaryota,2434,233
NA,Dino-Group-I-Clade-4,Eukaryota,1189,182
147550,Sordariomycetes,Eukaryota,9434,1305
6142,Scyphozoa,Eukaryota,32,13
155616,Tremellomycetes,Eukaryota,690,126
NA,Maxillopoda,Eukaryota,3923,290
1031332,Rozellomycota_XX,Eukaryota,757,268
NA,Dino-Group-II-Clade-7,Eukaryota,1828,547
33313,Gastrotricha_XX,Eukaryota,612,99
NA,Dino-Group-II-Clade-3,Eukaryota,284,92
NA,Dino-Group-II-Clade-10-and-11,Eukaryota,1595,415
5739,Hexamitidae,Eukaryota,3242,573
1129782,Psalteriomonadidae,Eukaryota,544,108
340080,Parameciidae,Eukaryota,547,65
2689233,Aphelidiaceae,Eukaryota,17,12
NA,Dino-Group-II-Clade-1,Eukaryota,328,80
6854,Arachnida,Eukaryota,496,130
NA,Dino-Group-II-Clade-14,Eukaryota,51,19
6101,Anthozoa,Eukaryota,2971,297
119089,Chromadorea_X,Eukaryota,4386,778
NA,Dino-Group-II-Clade-6,Eukaryota,4127,286
NA,Dino-Group-II-Clade-21,Eukaryota,78,17
2602010,Neovahlkampfiidae,Eukaryota,780,211
1656265,Collophidiidae,Eukaryota,87,42
NA,Tholoniidae,Eukaryota,77,26
650287,Actinocephalidae,Eukaryota,567,172
NA,Dino-Group-II_X,Eukaryota,29,12
NA,Flamella-lineage,Eukaryota,262,62
65574,Acantharea_3a,Eukaryota,1225,208
35088,Gregarinidae,Eukaryota,692,130
NA,Dino-Group-I-Clade-5,Eukaryota,1050,196
35132,Labyrinthulaceae,Eukaryota,238,62
NA,Dino-Group-I-Clade-1,Eukaryota,2072,116
650329,Stylocephalidae,Eukaryota,39,20
2605703,Alphamonaceae,Eukaryota,10,2
1691972,Thoracosphaeraceae,Eukaryota,2008,468
39451,Ceratiaceae,Eukaryota,65,3
238883,Bicoecaceae,Eukaryota,469,57
75966,Trebouxiophyceae_XX,Eukaryota,8,5
212497,Lagynidae,Eukaryota,66,18
2681634,Difflugina,Eukaryota,397,151
NA,Nucleohelea,Eukaryota,14,5
147547,Lecanoromycetes,Eukaryota,1048,220
163659,Evaginogenida,Eukaryota,17,9
5809,Sarcocystidae,Eukaryota,608,76
39462,Suctoria_X,Eukaryota,403,83
65582,Sphaeropleales_X,Eukaryota,6,4
2570648,Ustilaginomycetes,Eukaryota,166,69
65582,Ulvales-relatives_X,Eukaryota,176,55
5257,Stygamoebida_XX,Eukaryota,120,37
33677,Acanthamoebidae,Eukaryota,773,123
29827,Lipomycetaceae,Eukaryota,6,3
NA,LOS7N/I-lineage,Eukaryota,299,60
1505960,Monothalamids_XX,Eukaryota,231,92
1913638,Zoopagomycota_XX,Eukaryota,72,27
35472,Coccomyxaceae,Eukaryota,87,20
2870,Phaeophyceae_XX,Eukaryota,666,77
29202,Thalassiosiraceae,Eukaryota,6048,309
NA,Nolandellidae,Eukaryota,405,142
86649,Rhabdomonadales,Eukaryota,100,26
81529,Salpingoecidae_Group_C1,Eukaryota,357,148
147555,Taphrinomycetes,Eukaryota,80,17
1131320,Euglenaceae,Eukaryota,1572,470
4861,Kickxellales,Eukaryota,40,12
2682475,Pelobiontida_X,Eukaryota,67,34
