taxid,taxon_name,domain,member_size,occurrence_count
12967,Blastocystis,Eukaryota,618,72
4797,Pythium,Eukaryota,870,302
295919,Rhizophagus,Eukaryota,4813,236
4769,Saprolegnia,Eukaryota,126,5
1500560,Tilletiopsis,Eukaryota,53,8
109967,Rhizoclosmatium,Eukaryota,82,12
3846,Glycine,Eukaryota,1830,85
29901,Mrakia,Eukaryota,95,11
1311870,Unclassified_Provorticidae,Eukaryota,58,21
266273,Clavicaudoides,Eukaryota,142,8
27998,Perkinsida_XXX,Eukaryota,1396,221
55193,Malassezia,Eukaryota,11722,298
451442,Rhizophydiales_XX,Eukaryota,593,157
4575,Zea,Eukaryota,6252,372
70447,Ostreococcus,Eukaryota,6432,293
5402,Russula,Eukaryota,776,71
4930,Saccharomyces,Eukaryota,969,13
7215,Drosophila,Eukaryota,1383,217
32281,Dino-Group-I-Clade-4_X,Eukaryota,1189,182
2081351,Penicillium,Eukaryota,2067,100
5506,Gibberella,Eukaryota,4262,466
5073,Chrysaora,Eukaryota,32,13
5506,Tremellomycetes_X,Eukaryota,282,27
6147,Trichosporon,Eukaryota,252,42
290625,Trichocladium,Eukaryota,579,25
290625,Eudiaptomus,Eukaryota,901,14
1031332,Rozellomycota_XXX,Eukaryota,757,268
NA,Dino-Group-II-Clade-7_X,Eukaryota,1828,547
68038,Chaetonotus,Eukaryota,611,98
5475,Candida,Eukaryota,319,29
136182,Centropages,Eukaryota,13,5
NA,Dino-Group-II-Clade-3_X,Eukaryota,284,92
291363,Lecanicillium,Eukaryota,1334,225
5052,Aspergillus,Eukaryota,646,48
NA,Dino-Group-II-Clade-10-and-11_X,Eukaryota,1595,415
306058,Trimitus,Eukaryota,88,47
194529,Sawyeria,Eukaryota,544,108
5884,Paramecium,Eukaryota,547,65
1498217,Aphelidium,Eukaryota,17,12
NA,Dino-Group-II-Clade-1_X,Eukaryota,328,80
72232,Isaria,Eukaryota,489,64
768103,Spinibdella,Eukaryota,179,31
NA,Dino-Group-II-Clade-14_X,Eukaryota,51,19
86570,Anthoptilum,Eukaryota,169,35
114066,Metridia,Eukaryota,70,5
163471,Paracalanus,Eukaryota,324,15
34509,Heterodera,Eukaryota,2028,228
NA,Maxillopoda_X,Eukaryota,352,63
NA,Dino-Group-II-Clade-6_X,Eukaryota,4127,286
3689,Populus,Eukaryota,126,16
NA,Dino-Group-II-Clade-21_X,Eukaryota,78,17
166955,Neovahlkampfia,Eukaryota,780,211
1130125,Collophidium,Eukaryota,87,42
2748069,Tholomura,Eukaryota,77,26
7459,Apis,Eukaryota,762,236
110315,Monocystis,Eukaryota,467,131
NA,Dino-Group-II_XX,Eukaryota,29,12
310561,Anomalocera,Eukaryota,55,4
490353,Flamella,Eukaryota,262,62
65574,Acantharea_3a_X,Eukaryota,1225,208
NA,Gregarina3,Eukaryota,218,27
NA,Dino-Group-I-Clade-5_X,Eukaryota,1050,196
35133,Labyrinthula,Eukaryota,238,62
NA,Leidyana2,Eukaryota,258,73
NA,Leidyana1,Eukaryota,29,3
NA,Dino-Group-I-Clade-1_X,Eukaryota,2072,116
44997,Trepomonas,Eukaryota,23,10
NA,Hyplorynchus,Eukaryota,10,5
650332,Xiphocephalus,Eukaryota,39,20
NA,Alphamonadea_ALPH1,Eukaryota,10,2
66472,Pentapharsodinium,Eukaryota,2001,466
2915,Ceratium,Eukaryota,65,3
45350,Nematostella,Eukaryota,36,14
54902,Scrippsiella,Eukaryota,7,2
13567,Hexamita,Eukaryota,113,32
238883,Bicoecaceae_X,Eukaryota,469,57
4527,Oryza,Eukaryota,29,1
38880,Botryococcus,Eukaryota,8,5
164077,Nemogullmia,Eukaryota,66,18
5583,Exophiala,Eukaryota,94,48
318543,Bullinularia,Eukaryota,397,151
238766,Actinosphaerium,Eukaryota,14,5
45312,Massaria,Eukaryota,4,1
404711,Tuckermannopsis,Eukaryota,5,1
163659,Evaginogenida_X,Eukaryota,17,9
NA,Sarcocystis10,Eukaryota,608,76
39462,Suctoria_XX,Eukaryota,403,83
65582,Raphidocelis,Eukaryota,2,2
307709,Ustanciosporium,Eukaryota,166,69
65582,Ulva,Eukaryota,176,55
307709,Stygamoebida_XXX,Eukaryota,120,37
5754,Acanthamoeba,Eukaryota,748,104
29828,Lipomyces,Eukaryota,6,3
NA,LOS7N/I-lineage_X,Eukaryota,221,31
35460,Chlorellales_XX,Eukaryota,93,25
4783,Phytophthora,Eukaryota,1107,67
46079,Astrorhiza,Eukaryota,9,9
41891,Coccomyxa,Eukaryota,87,20
320428,Leohumicola,Eukaryota,81,13
290614,Ectocarpus,Eukaryota,666,77
2879,Thalassiosira,Eukaryota,6048,309
35127,Nolandellidae_X,Eukaryota,405,142
86636,Gyropaigne,Eukaryota,100,26
86636,Salpingoecidae_Group_C1_X,Eukaryota,357,148
5010,Taphrina,Eukaryota,80,17
96503,Trachelomonas,Eukaryota,1572,470
170001,Bellemerea,Eukaryota,667,90
4863,Coemansia,Eukaryota,40,12
180814,Mastigella,Eukaryota,67,34
318745,Pycnora,Eukaryota,237,46
253308,Articulospora,Eukaryota,62,19
3191,Spermatozopsis,Eukaryota,12,3
5600,Phialophora,Eukaryota,31,15
1165382,Physochila,Eukaryota,151,30
168138,Tokophrya,Eukaryota,176,33
NA,Novel-clade-10_XX,Eukaryota,48,38
NA,Allogromiina,Eukaryota,222,83
5948,Stylonychia,Eukaryota,7715,800
81099,Mastigamoeba,Eukaryota,10879,1609
1239209,Sandona,Eukaryota,9,6
143959,Coelomomyces,Eukaryota,29,10
2842,Skeletonema,Eukaryota,1,1
212491,Reophax,Eukaryota,34,10
55067,Phaeosphaeria,Eukaryota,1177,172
668361,Endostelium,Eukaryota,179,82
111720,Psora,Eukaryota,24,10
5144,Podospora,Eukaryota,12,6
88631,Lecidea,Eukaryota,9,3
360660,Encentrum,Eukaryota,25,16
1652550,Dileptidae_X,Eukaryota,2935,253
5690,Trypanosoma,Eukaryota,824,85
1732441,Scytomonas,Eukaryota,151,66
1629392,Tectonidula,Eukaryota,5,3
3052,Chlamydomonas,Eukaryota,107,23
3217,Physcomitrella,Eukaryota,50,28
44055,Aureococcus,Eukaryota,182,36
33652,Cafeteria,Eukaryota,75,18
6237,Caenorhabditis,Eukaryota,495,57
NA,MAST-12C,Eukaryota,27,15
NA,Eupetalomonads_XX,Eukaryota,534,192
60849,Vorticella,Eukaryota,1571,132
34111,Monoraphidium,Eukaryota,1,1
119089,Chromadorea_XX,Eukaryota,526,104
4815,Spizellomyces,Eukaryota,167,52
7028,Acyrthosiphon,Eukaryota,436,49
439828,Spadicoides,Eukaryota,103,24
"78690
Acineta",Acineta_1,Eukaryota,104,37
1315712,Picomonas,Eukaryota,366,51
1336388,Diptilomiopus,Eukaryota,31,19
931553,Copromyxa,Eukaryota,379,133
54692,Chlorociboria,Eukaryota,565,56
47747,Hyaloscypha,Eukaryota,131,40
2601529,Tetramitia_I_XX,Eukaryota,319,58
NA,Protaspa-lineage_X,Eukaryota,88,44
160821,Chaos,Eukaryota,66,35
1938442,Flectomonas,Eukaryota,3724,639
6849,Limulus,Eukaryota,122,36
1454509,Surapoda,Eukaryota,2,1
83913,Distigma,Eukaryota,188,24
5653,Kinetoplastea_XX_MET10,Eukaryota,72,37
5455,Colletotrichum,Eukaryota,15,10
191392,Auxenochlorella,Eukaryota,524,23
948560,Chloroparva,Eukaryota,17,10
268487,Neocercomonas,Eukaryota,116,69
644139,Aculops,Eukaryota,7,5
5024,Venturia,Eukaryota,4,4
92443,Kinetoplastea_XX_MET3,Eukaryota,14,8
77744,Chydorus,Eukaryota,27,12
2681632,Paulinella,Eukaryota,24,17
6447,Leptomonas,Eukaryota,327,53
5683,Tetrachaetum,Eukaryota,36,12
253301,Ptolemeba,Eukaryota,78,29
1525728,Plasmodium4,Eukaryota,6,4
5653,Kinetoplastea_XXX,Eukaryota,230,90
166384,Plasmodium1,Eukaryota,404,44
41874,Bathycoccus,Eukaryota,99,15
2607628,Pterocystida_XXX,Eukaryota,24,10
457378,Urotricha,Eukaryota,128,38
1938521,Protaspa,Eukaryota,4,4
312470,Neobodo,Eukaryota,74,43
NA,NC12A-lineage_X,Eukaryota,45,22
7954,Danio,Eukaryota,111,65
5712,Bodo,Eukaryota,15,10
310678,Pseudovorticella,Eukaryota,76,6
71870,Campanella,Eukaryota,3,1
168241,Chloropicon,Eukaryota,50,15
2302914,Oribatida,Eukaryota,24,16
66551,Strigomonas,Eukaryota,30,6
1003010,Group-Te,Eukaryota,2,1
NA,Novel-Gran-6_X,Eukaryota,142,42
492102,Paradinium,Eukaryota,43,27
7586,Echinodermata_XXX,Eukaryota,349,48
5706,Phytomonas,Eukaryota,7,3
126838,Micractinium,Eukaryota,10,2
5653,Kinetoplastea_XX_MET8,Eukaryota,67,23
247151,Hartmannulidae_X,Eukaryota,6,3
117531,Diaphanosoma,Eukaryota,5,4
7174,Culex,Eukaryota,345,62
35131,Korotnevella,Eukaryota,50,34
6490,Conus,Eukaryota,225,45
99299,Rehmannia,Eukaryota,265,160
27402,Bosmina,Eukaryota,43,4
154966,Nucleariidae_Nuclearia_2_X,Eukaryota,30,11
NA,Plasmodium2,Eukaryota,35,10
39757,Mayetiola,Eukaryota,11,2
6181,Schistosoma,Eukaryota,955,190
138668,Diplophrys,Eukaryota,26,17
174825,Culiseta,Eukaryota,6,3
3701,Arabidopsis,Eukaryota,32,30
110092,Polychytrium,Eukaryota,6,5
66526,Balamuthia,Eukaryota,12,8
40674,Mammalia_X,Eukaryota,159,72
5748,Nannochloropsis,Eukaryota,315,39
84130,Plagiostomum,Eukaryota,25,12
200890,Paramoeba,Eukaryota,31,20
4888,Smittium,Eukaryota,247,60
155619,Agaricomycetes_X,Eukaryota,27,8
30087,Philaenus,Eukaryota,7,5
1407634,Filoreta,Eukaryota,52,34
NA,NPK2-lineage_X,Eukaryota,137,48
147541,Dothideomycetes_X,Eukaryota,240,56
1913638,Zoopagomycota_XXX,Eukaryota,43,18
136463,Saccamoeba,Eukaryota,1566,279
NA,WIM80-lineage_X,Eukaryota,656,173
77650,Simocephalus,Eukaryota,2,1
2663723,Polychaos,Eukaryota,43,14
88014,Eurytemora,Eukaryota,89,21
NA,Theileria1,Eukaryota,1221,101
686739,Cavernomonas,Eukaryota,92,50
198625,Ichthyophonida_XXX,Eukaryota,11,6
121148,Acartia,Eukaryota,7,4
NA,epibiont,Eukaryota,29,6
56451,Petalomonas,Eukaryota,26,16
28581,Allomyces,Eukaryota,114,16
5777,Hartmannella,Eukaryota,155,46
NA,OLIGO2_X,Eukaryota,158,13
45108,Cercomonadidae_X,Eukaryota,26,13
2027450,Hemimastix,Eukaryota,81,20
NA,Mariager-Fjord-lineage_X,Eukaryota,198,50
NA,LKM74-lineage_X,Eukaryota,10,8
NA,Endo5-lineage_XXX,Eukaryota,2,2
661161,Ceratiomyxella,Eukaryota,54,20
NA,AND16-lineage_X,Eukaryota,194,75
95228,Vannella,Eukaryota,94,56
NA,Endomyxa-Ascetosporea_XXX,Eukaryota,8,4
286006,Farlowiella,Eukaryota,4,2
4842,Rhizopus,Eukaryota,969,67
296206,Penthaleus,Eukaryota,143,5
1633384,Mitosporidium,Eukaryota,13,9
136419,Cercozoa_XXXX,Eukaryota,21,12
1237874,Rigifila,Eukaryota,17,13
NA,Rhogostoma-lineage_X,Eukaryota,853,134
229752,Parhypochthonius,Eukaryota,6,4
10114,Rattus,Eukaryota,114,58
6668,Daphnia,Eukaryota,26,10
80635,Coniophora,Eukaryota,3,2
2759743,Gadixcellia,Eukaryota,22,19
NA,NC12B-lineage_X,Eukaryota,11,3
5931,Ichthyophthirius,Eukaryota,444,19
6564,Crassostrea,Eukaryota,29,13
NA,Sey055-lineage_X,Eukaryota,123,50
1047167,Zymoseptoria,Eukaryota,52,16
NA,Eimeria1,Eukaryota,535,68
327476,Tobrilus,Eukaryota,65,11
45156,Cyanidioschyzon,Eukaryota,21,2
941459,Vampyrella,Eukaryota,18,10
35493,Streptophyta_XXXXX,Eukaryota,23,4
5140,Neurospora,Eukaryota,243,13
3004453,Nebulomonas,Eukaryota,3,1
4751,Fungi_XXXX,Eukaryota,809,190
65589,Sphaerozoum,Eukaryota,3,2
129901,Sabatieria,Eukaryota,95,16
NA,Cryptosporidium1,Eukaryota,922,50
59585,Corynespora,Eukaryota,265,55
211208,Alaimus,Eukaryota,2,2
3004211,Nibbleromonas,Eukaryota,9,2
100474,Batrachochytrium,Eukaryota,45,3
877183,Colpodellida_CHR1_X,Eukaryota,70,18
238095,Mattesia,Eukaryota,3,2
5500,Coccidioides,Eukaryota,17,11
54125,Pristionchus,Eukaryota,366,70
2849,Phaeodactylum,Eukaryota,37,15
3987,Ricinus,Eukaryota,15,13
160061,Plectonchus,Eukaryota,71,9
114872,Cyclotrichium,Eukaryota,227,79
751773,Prodesmodora,Eukaryota,10,8
238088,Spumella,Eukaryota,14,12
293849,Anolis,Eukaryota,42,4
89043,Loimia,Eukaryota,6,3
28376,Allobodo,Eukaryota,30,14
2864,Dinophyceae_XXX,Eukaryota,19,14
NA,Cryptosporidium13,Eukaryota,4,3
1493516,Paramicrosporidium,Eukaryota,8,2
127149,Rhynchomonas,Eukaryota,14,4
77706,Leptodora,Eukaryota,7,1
1078833,Cryptodifflugia,Eukaryota,11,6
1170543,Trochilia,Eukaryota,115,25
4855,Mortierella,Eukaryota,6,6
35216,Gromia,Eukaryota,56,33
1416936,Fusiforma,Eukaryota,96,40
NA,ARMOP1_X,Eukaryota,9,6
NA,Babesia6,Eukaryota,68,3
3004335,Ubysseya,Eukaryota,2,1
143937,Neofabraea,Eukaryota,6,3
NA,Paradinida_XX,Eukaryota,5,4
186759,Notosolenus,Eukaryota,15,10
263416,Cyclops,Eukaryota,5,4
NA,OLIGO5_XX,Eukaryota,4,4
8353,Xenopus,Eukaryota,9,5
262014,Allantion,Eukaryota,4,3
188942,Ascomorpha,Eukaryota,7,6
360654,Sorghum,Eukaryota,2,1
4557,Acanthamoebidae_X,Eukaryota,22,16
4558,Ankistrodesmus,Eukaryota,2,1
127226,Massisteria,Eukaryota,2,1
127226,Phryganella,Eukaryota,2,2
35491,Sphaeropleales_XX,Eukaryota,2,1
193537,Centroplasthelida_XXXXX,Eukaryota,25,19
237584,Teratosphaeria,Eukaryota,32,29
661164,Nematostelium,Eukaryota,8,6
45109,Cercomonas,Eukaryota,57,20
451455,Neocallimastigomycota_XXX,Eukaryota,78,54
1287651,Amphitrema,Eukaryota,60,16
15367,Brachypodium,Eukaryota,18,7
325061,Protacanthamoeba,Eukaryota,3,3
82105,Cladophialophora,Eukaryota,6,1
4895,Schizosaccharomyces,Eukaryota,13,2
451507,Mucoromycotina_XX,Eukaryota,8,8
78914,Thamnocephalis,Eukaryota,4,3
299888,Choanocystis,Eukaryota,6,5
661159,Schizoplasmodium,Eukaryota,36,20
414971,Halodaphnea,Eukaryota,2,1
151025,Cryothecomonas,Eukaryota,3,2
238745,Micronuclearia,Eukaryota,28,12
4761,Chytridiomycota_XXX,Eukaryota,3,3
NA,Mb5C-lineage_X,Eukaryota,111,46
NA,CCW10-lineage_X,Eukaryota,6,4
203141,Adelina,Eukaryota,3,3
NA,Filosa-Thecofilosea_XXX,Eukaryota,4,3
555369,Tubulinea_XXXXX,Eukaryota,15,7
266049,Ripidomyxa,Eukaryota,6,5
1938435,Limnofilidae_X,Eukaryota,6,4
NA,Cryptosporidium15,Eukaryota,3,3
33651,Bicoecea_XXX,Eukaryota,9,7
372085,Paracercomonas,Eukaryota,4,4
"89593
Craniata",Craniata_XXX,Eukaryota,1,1
4756,Neocallimastix,Eukaryota,4,3
4810,Chytridiales_XX,Eukaryota,5,1
136449,Echinamoeba,Eukaryota,2,1
1238681,Glissomonadida_XX,Eukaryota,2,2
33849,Bacillariophyceae_XXX,Eukaryota,29,8
5635,Panellus,Eukaryota,3,2
1938507,Ventrifissura,Eukaryota,9,9
166009,Ditylenchus,Eukaryota,4,4
NA,Mataza-lineage_X,Eukaryota,5,4
NA,Novel-Clade-4_X,Eukaryota,6,5
45099,Thaumatomonas,Eukaryota,9,8
78241,Heterolepidoderma,Eukaryota,1,1
NA,Corallicolla,Eukaryota,2,2
589444,Cryomonadida_XX,Eukaryota,1,1
188944,Thaumatomonadida_XX,Eukaryota,2,2
4821,Piromyces,Eukaryota,6,1
NA,MAST-3E,Eukaryota,7,3
143596,Guepiniopsis,Eukaryota,5,5
33634,Stramenopiles_XXXXX,Eukaryota,8,5
5206,Cryptococcus,Eukaryota,5,5
543769,Cryptosporidium4,Eukaryota,2,2
