family,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,coverage_percentage
Enterobacteriaceae,1996,23615,0.76,1.98,95395,95395,0,16.04,16.04,0.0,0.021,47.793,1,0,1,matched,
Lachnospiraceae,12280,29811,4.68,2.5,35105,35105,0,5.9,5.9,0.0,0.35,2.859,1,0,1,matched,
Muribaculaceae,1547,3396,0.59,0.28,24600,24600,0,4.14,4.14,0.0,0.063,15.902,1,0,1,matched,
Staphylococcaceae,889,7490,0.34,0.63,21933,21933,0,3.69,3.69,0.0,0.041,24.672,1,0,1,matched,
Streptococcaceae,1499,9958,0.57,0.83,21213,21213,0,3.57,3.57,0.0,0.071,14.151,1,0,1,matched,
Pseudomonadaceae,2409,13628,0.92,1.14,17078,17078,0,2.87,2.87,0.0,0.141,7.089,1,0,1,matched,
Burkholderiaceae,1013,8806,0.39,0.74,15903,15903,0,2.67,2.67,0.0,0.064,15.699,1,0,1,matched,
Bacteroidaceae,1171,6085,0.45,0.51,15545,15545,0,2.61,2.61,0.0,0.075,13.275,1,0,1,matched,
Mycobacteriaceae,307,4412,0.12,0.37,15323,15323,0,2.58,2.58,0.0,0.02,49.912,1,0,1,matched,
Moraxellaceae,1204,6928,0.46,0.58,12327,12327,0,2.07,2.07,0.0,0.098,10.238,1,0,1,matched,
Lactobacillaceae,1380,7843,0.53,0.66,11685,11685,0,1.96,1.96,0.0,0.118,8.467,1,0,1,matched,
Bacillaceae,4810,22660,1.83,1.9,8564,8564,0,1.44,1.44,0.0,0.562,1.78,1,0,1,matched,
Enterococcaceae,447,2971,0.17,0.25,8333,8333,0,1.4,1.4,0.0,0.054,18.642,1,0,1,matched,
Oscillospiraceae,5753,16512,2.19,1.38,7861,7861,0,1.32,1.32,0.0,0.732,1.366,1,0,1,matched,
Vibrionaceae,893,5299,0.34,0.44,7565,7565,0,1.27,1.27,0.0,0.118,8.471,1,0,1,matched,
Rhizobiaceae,893,4481,0.34,0.38,6932,6932,0,1.17,1.17,0.0,0.129,7.763,1,0,1,matched,
Rikenellaceae,1913,5299,0.73,0.44,6028,6028,0,1.01,1.01,0.0,0.317,3.151,1,0,1,matched,
Campylobacteraceae,194,1558,0.07,0.13,5856,5856,0,0.98,0.98,0.0,0.033,30.186,1,0,1,matched,
Listeriaceae,31,1399,0.01,0.12,5500,5500,0,0.92,0.92,0.0,0.006,177.419,1,0,1,matched,
