genus,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Escherichia,169,7573,0.06,0.63,39673,39673,0,6.71,6.71,0.0,23475.15,0.004,234.751,1,0,1,matched
Klebsiella,308,3580,0.12,0.3,22500,22500,0,3.8,3.8,0.0,7305.19,0.014,73.052,1,0,1,matched
Staphylococcus,824,7225,0.31,0.6,21291,21291,0,3.6,3.6,0.0,2583.86,0.039,25.839,1,0,1,matched
Streptococcus,1316,9034,0.5,0.76,20045,20045,0,3.39,3.39,0.0,1523.18,0.066,15.232,1,0,1,matched
Pseudomonas,2357,13398,0.9,1.12,16261,16261,0,2.75,2.75,0.0,689.9,0.145,6.899,1,0,1,matched
Salmonella,82,5721,0.03,0.48,15373,15373,0,2.6,2.6,0.0,18747.56,0.005,187.476,1,0,1,matched
Acinetobacter,749,4886,0.29,0.41,11458,11458,0,1.94,1.94,0.0,1529.77,0.065,15.298,1,0,1,matched
Mycobacterium,300,4298,0.11,0.36,11275,11275,0,1.91,1.91,0.0,3758.33,0.027,37.583,1,0,1,matched
Enterococcus,405,2809,0.15,0.24,8175,8175,0,1.38,1.38,0.0,2018.52,0.05,20.185,1,0,1,matched
Bacillus,3741,18159,1.43,1.52,7688,7688,0,1.3,1.3,0.0,205.51,0.487,2.055,1,0,1,matched
Vibrio,684,4478,0.26,0.37,6957,6957,0,1.18,1.18,0.0,1017.11,0.098,10.171,1,0,1,matched
Prevotella,1869,5499,0.71,0.46,5985,5985,0,1.01,1.01,0.0,320.22,0.312,3.202,1,0,1,matched
Campylobacter,194,1558,0.07,0.13,5841,5841,0,0.99,0.99,0.0,3010.82,0.033,30.108,1,0,1,matched
Alistipes,424,1595,0.16,0.13,5624,5624,0,0.95,0.95,0.0,1326.42,0.075,13.264,1,0,1,matched
Listeria,24,1275,0.01,0.11,5469,5469,0,0.92,0.92,0.0,22787.5,0.004,227.875,1,0,1,matched
Enterobacter,491,2388,0.19,0.2,5380,5380,0,0.91,0.91,0.0,1095.72,0.091,10.957,1,0,1,matched
