phylum,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,coverage_percentage
Pseudomonadota,53653,308380,20.45,25.82,214930,214930,0,36.01,36.01,0.0,0.25,4.006,1,0,1,matched,
Bacillota,49858,173190,19.0,14.5,178492,178492,0,29.91,29.91,0.0,0.279,3.58,1,6,7,matched,
Bacteroidota,31180,133133,11.89,11.15,76591,76591,0,12.83,12.83,0.0,0.407,2.456,1,0,1,matched,
Actinomycetota,15932,109549,6.07,9.17,44996,44996,0,7.54,7.54,0.0,0.354,2.824,1,0,1,matched,
Campylobacterota,2352,9638,0.9,0.81,11149,11149,0,1.87,1.87,0.0,0.211,4.74,1,0,1,matched,
Verrucomicrobiota,10214,45775,3.89,3.83,6636,6636,0,1.11,1.11,0.0,1.539,0.65,1,0,1,matched,
Cyanobacteriota,2484,12888,0.95,1.08,5634,5634,0,0.94,0.94,0.0,0.441,2.268,1,0,1,matched,
Chloroflexota,13210,58834,5.04,4.93,4762,4762,0,0.8,0.8,0.0,2.774,0.36,1,0,1,matched,
Spirochaetota,3573,12265,1.36,1.03,4402,4402,0,0.74,0.74,0.0,0.812,1.232,1,0,1,matched,
Planctomycetota,13119,44891,5.0,3.76,3814,3814,0,0.64,0.64,0.0,3.44,0.291,1,0,1,matched,
Acidobacteriota,9124,44683,3.48,3.74,3175,3175,0,0.53,0.53,0.0,2.874,0.348,1,0,1,matched,
Thermoproteota,569,2540,0.22,0.21,2535,2535,0,0.42,0.42,0.0,0.224,4.455,1,0,1,matched,
Myxococcota,3648,15086,1.39,1.26,1518,1518,0,0.25,0.25,0.0,2.403,0.416,1,0,1,matched,
Nitrospirota,1216,6479,0.46,0.54,1237,1237,0,0.21,0.21,0.0,0.983,1.017,1,0,1,matched,
Gemmatimonadota,2576,11870,0.98,0.99,988,988,0,0.17,0.17,0.0,2.607,0.384,1,0,1,matched,
Chlamydiota,12,54,0.0,0.0,891,891,0,0.15,0.15,0.0,0.013,74.25,1,0,1,matched,
Elusimicrobiota,686,2029,0.26,0.17,787,787,0,0.13,0.13,0.0,0.872,1.147,1,0,1,matched,
Bdellovibrionota,2646,8064,1.01,0.68,772,772,0,0.13,0.13,0.0,3.427,0.292,1,0,1,matched,
Fusobacteriota,728,3793,0.28,0.32,695,695,0,0.12,0.12,0.0,1.047,0.955,1,0,1,matched,
Deferribacterota,99,299,0.04,0.03,613,613,0,0.1,0.1,0.0,0.162,6.192,1,0,1,matched,
Armatimonadota,1473,5017,0.56,0.42,526,526,0,0.09,0.09,0.0,2.8,0.357,1,1,2,matched,
Synergistota,665,2035,0.25,0.17,511,511,0,0.09,0.09,0.0,1.301,0.768,1,0,1,matched,
Deinococcota,528,2321,0.2,0.19,485,485,0,0.08,0.08,0.0,1.089,0.919,1,0,1,matched,
Fibrobacterota,723,2395,0.28,0.2,381,381,0,0.06,0.06,0.0,1.898,0.527,1,0,1,matched,
Thermotogota,188,1640,0.07,0.14,340,340,0,0.06,0.06,0.0,0.553,1.809,1,0,1,matched,
Nitrospinota,373,1656,0.14,0.14,218,218,0,0.04,0.04,0.0,1.711,0.584,1,0,1,matched,
Aquificota,166,1085,0.06,0.09,216,216,0,0.04,0.04,0.0,0.769,1.301,1,0,1,matched,
Caldisericota,104,936,0.04,0.08,101,101,0,0.02,0.02,0.0,1.03,0.971,1,0,1,matched,
Atribacterota,223,1405,0.09,0.12,91,91,0,0.02,0.02,0.0,2.451,0.408,1,0,1,matched,
Calditrichota,455,1257,0.17,0.11,69,69,0,0.01,0.01,0.0,6.594,0.152,1,0,1,matched,
Dictyoglomota,7,133,0.0,0.01,16,16,0,0.0,0.0,0.0,0.438,2.286,1,0,1,matched,
Coprothermobacterota,56,278,0.02,0.02,14,14,0,0.0,0.0,0.0,4.0,0.25,1,0,1,matched,
Chrysiogenota,5,13,0.0,0.0,4,4,0,0.0,0.0,0.0,1.25,0.8,1,0,1,matched,
Patescibacteria,0,0,0.0,0.0,8106,8106,0,1.36,1.36,0.0,,,0,0,0,gtdb_only,0.0
Desulfobacterota,0,0,0.0,0.0,5381,5381,0,0.9,0.9,0.0,,,0,0,0,gtdb_only,0.0
Thermoplasmatota,0,0,0.0,0.0,3169,3169,0,0.53,0.53,0.0,,,0,0,0,gtdb_only,0.0
Halobacteriota,0,0,0.0,0.0,2351,2351,0,0.39,0.39,0.0,,,0,0,0,gtdb_only,0.0
Nanoarchaeota,0,0,0.0,0.0,1377,1377,0,0.23,0.23,0.0,,,0,0,0,gtdb_only,0.0
Methanobacteriota,0,0,0.0,0.0,1027,1027,0,0.17,0.17,0.0,,,0,0,0,gtdb_only,0.0
Micrarchaeota,0,0,0.0,0.0,1009,1009,0,0.17,0.17,0.0,,,0,0,0,gtdb_only,0.0
Marinisomatota,0,0,0.0,0.0,822,822,0,0.14,0.14,0.0,,,0,0,0,gtdb_only,0.0
Omnitrophota,0,0,0.0,0.0,819,819,0,0.14,0.14,0.0,,,0,0,0,gtdb_only,0.0
Asgardarchaeota,0,0,0.0,0.0,409,409,0,0.07,0.07,0.0,,,0,0,0,gtdb_only,0.0
Eremiobacterota,0,0,0.0,0.0,335,335,0,0.06,0.06,0.0,,,0,0,0,gtdb_only,0.0
Cloacimonadota,0,0,0.0,0.0,313,313,0,0.05,0.05,0.0,,,0,0,0,gtdb_only,0.0
SAR324,0,0,0.0,0.0,252,252,0,0.04,0.04,0.0,,,0,0,0,gtdb_only,0.0
WOR-3,0,0,0.0,0.0,206,206,0,0.03,0.03,0.0,,,0,0,0,gtdb_only,0.0
Aenigmatarchaeota,0,0,0.0,0.0,204,204,0,0.03,0.03,0.0,,,0,0,0,gtdb_only,0.0
Bipolaricaulota,0,0,0.0,0.0,176,176,0,0.03,0.03,0.0,,,0,0,0,gtdb_only,0.0
Zixibacteria,0,0,0.0,0.0,169,169,0,0.03,0.03,0.0,,,0,0,0,gtdb_only,0.0
Latescibacterota,0,0,0.0,0.0,168,168,0,0.03,0.03,0.0,,,0,0,0,gtdb_only,0.0
SZUA-79,0,0,0.0,0.0,167,167,0,0.03,0.03,0.0,,,0,0,0,gtdb_only,0.0
Dependentiae,0,0,0.0,0.0,166,166,0,0.03,0.03,0.0,,,0,0,0,gtdb_only,0.0
Margulisbacteria,0,0,0.0,0.0,147,147,0,0.02,0.02,0.0,,,0,0,0,gtdb_only,0.0
Methylomirabilota,0,0,0.0,0.0,146,146,0,0.02,0.02,0.0,,,0,0,0,gtdb_only,0.0
Poribacteria,0,0,0.0,0.0,143,143,0,0.02,0.02,0.0,,,0,0,0,gtdb_only,0.0
Iainarchaeota,0,0,0.0,0.0,132,132,0,0.02,0.02,0.0,,,0,0,0,gtdb_only,0.0
Krumholzibacteriota,0,0,0.0,0.0,129,129,0,0.02,0.02,0.0,,,0,0,0,gtdb_only,0.0
Hydrogenedentota,0,0,0.0,0.0,103,103,0,0.02,0.02,0.0,,,0,0,0,gtdb_only,0.0
KSB1,0,0,0.0,0.0,100,100,0,0.02,0.02,0.0,,,0,0,0,gtdb_only,0.0
UBA10199,0,0,0.0,0.0,74,74,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Fermentibacterota,0,0,0.0,0.0,68,68,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Eisenbacteria,0,0,0.0,0.0,62,62,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Ratteibacteria,0,0,0.0,0.0,58,58,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Altiarchaeota,0,0,0.0,0.0,58,58,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Electryoneota,0,0,0.0,0.0,56,56,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Sumerlaeota,0,0,0.0,0.0,53,53,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Riflebacteria,0,0,0.0,0.0,49,49,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
CSP1-3,0,0,0.0,0.0,44,44,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
EX4484-52,0,0,0.0,0.0,44,44,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
UBA8248,0,0,0.0,0.0,43,43,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Firestonebacteria,0,0,0.0,0.0,43,43,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
UBP6,0,0,0.0,0.0,39,39,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Nanohaloarchaeota,0,0,0.0,0.0,38,38,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
JAAXHH01,0,0,0.0,0.0,37,37,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Aerophobota,0,0,0.0,0.0,35,35,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Hydrothermarchaeota,0,0,0.0,0.0,35,35,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Hadarchaeota,0,0,0.0,0.0,34,34,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Delongbacteria,0,0,0.0,0.0,34,34,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
VGIX01,0,0,0.0,0.0,33,33,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
JAMCPX01,0,0,0.0,0.0,31,31,0,0.01,0.01,0.0,,,0,0,0,gtdb_only,0.0
Hinthialibacterota,0,0,0.0,0.0,29,29,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Edwardsbacteria,0,0,0.0,0.0,28,28,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA9089,0,0,0.0,0.0,25,25,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CG03,0,0,0.0,0.0,25,25,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA6262,0,0,0.0,0.0,23,23,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA3054,0,0,0.0,0.0,22,22,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
B1Sed10-29,0,0,0.0,0.0,21,21,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBP14,0,0,0.0,0.0,20,20,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Thermosulfidibacterota,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JdFR-76,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
