family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Enterobacteriaceae,1996,23615,0.76,1.98,1093115,4021,1089610,45.88,5.12,99.68,0.496,2.015,1,1,-1,1,matched,Bacteria,
Streptococcaceae,1499,9958,0.57,0.83,158092,659,155933,6.64,0.84,98.63,2.275,0.44,1,1,-1,1,matched,Bacteria,
Campylobacteraceae,194,1558,0.07,0.13,138607,314,137815,5.82,0.4,99.43,0.618,1.619,1,1,-1,1,matched,Bacteria,
Staphylococcaceae,889,7490,0.34,0.63,127616,781,126883,5.36,1.0,99.43,1.138,0.879,1,1,-1,1,matched,Bacteria,
Listeriaceae,31,1399,0.01,0.12,68449,44,68444,2.87,0.06,99.99,0.705,1.419,1,1,-1,1,matched,Bacteria,
Neisseriaceae,472,2677,0.18,0.22,58488,225,57817,2.45,0.29,98.85,2.098,0.477,1,1,-1,1,matched,Bacteria,
Pseudomonadaceae,2409,13628,0.92,1.14,52709,3102,50504,2.21,3.95,95.82,0.777,1.288,1,1,-1,1,matched,Bacteria,
Enterococcaceae,447,2971,0.17,0.25,47640,477,46604,2.0,0.61,97.83,0.937,1.067,1,1,-1,1,matched,Bacteria,
Moraxellaceae,1204,6928,0.46,0.58,45481,1177,43436,1.91,1.5,95.5,1.023,0.978,1,1,-1,1,matched,Bacteria,
Lachnospiraceae,12280,29811,4.68,2.5,42345,1444,3055,1.78,1.84,7.21,8.504,0.118,1,1,-1,1,matched,Bacteria,
Vibrionaceae,893,5299,0.34,0.44,35179,1052,35061,1.48,1.34,99.66,0.849,1.178,1,1,-1,1,matched,Bacteria,
Muribaculaceae,1547,3396,0.59,0.28,23988,64,75,1.01,0.08,0.31,24.172,0.041,1,1,-1,1,matched,Bacteria,
Oscillospiraceae,5753,16512,2.19,1.38,23786,1039,1203,1.0,1.32,5.06,5.537,0.181,1,1,-1,1,matched,Bacteria,
Peptostreptococcaceae,422,3019,0.16,0.25,23344,132,22722,0.98,0.17,97.34,3.197,0.313,1,1,-1,1,matched,Bacteria,
Bacillaceae,4810,22660,1.83,1.9,17899,2854,17361,0.75,3.64,96.99,1.685,0.593,1,1,-1,1,matched,Bacteria,
Lactobacillaceae,1380,7843,0.53,0.66,16494,712,10638,0.69,0.91,64.5,1.938,0.516,1,1,-1,1,matched,Bacteria,
Bacteroidaceae,1171,6085,0.45,0.51,16288,367,6360,0.68,0.47,39.05,3.191,0.313,1,1,-1,1,matched,Bacteria,
Mycobacteriaceae,307,4412,0.12,0.37,14439,605,13860,0.61,0.77,95.99,0.507,1.971,1,1,-1,1,matched,Bacteria,
Yersiniaceae,333,2663,0.13,0.22,12506,284,12354,0.52,0.36,98.78,1.173,0.853,1,1,-1,1,matched,Bacteria,
Streptomycetaceae,1376,8291,0.52,0.69,12413,6996,12287,0.52,8.92,98.98,0.197,5.084,1,1,-1,1,matched,Bacteria,
Burkholderiaceae,1013,8806,0.39,0.74,12198,1162,10050,0.51,1.48,82.39,0.872,1.147,1,1,-1,1,matched,Bacteria,
Clostridiaceae,1843,8212,0.7,0.69,11020,788,6116,0.46,1.0,55.5,2.339,0.428,1,1,-1,1,matched,Bacteria,
