genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Salmonella,82,5721,0.03,0.48,589923,1258,589857,26.23,1.72,99.99,0.065,15.341,1,1,-1,1,matched,Bacteria,
Escherichia,169,7573,0.06,0.63,332100,299,331161,14.77,0.41,99.72,0.565,1.769,1,1,-1,1,matched,Bacteria,
Streptococcus,1316,9034,0.5,0.76,156178,590,154669,6.95,0.8,99.03,2.231,0.448,1,1,-1,1,matched,Bacteria,
Campylobacter,194,1558,0.07,0.13,138348,309,137814,6.15,0.42,99.61,0.628,1.593,1,1,-1,1,matched,Bacteria,
Staphylococcus,824,7225,0.31,0.6,126754,617,126170,5.64,0.84,99.54,1.335,0.749,1,1,-1,1,matched,Bacteria,
Klebsiella,308,3580,0.12,0.3,98371,658,97687,4.37,0.9,99.3,0.468,2.136,1,1,-1,1,matched,Bacteria,
Listeria,24,1275,0.01,0.11,68410,40,68409,3.04,0.05,100.0,0.6,1.667,1,1,-1,1,matched,Bacteria,
Neisseria,265,1963,0.1,0.16,57810,133,57444,2.57,0.18,99.37,1.992,0.502,1,1,-1,1,matched,Bacteria,
Pseudomonas,2357,13398,0.9,1.12,50935,2953,49819,2.27,4.03,97.81,0.798,1.253,1,1,-1,1,matched,Bacteria,
Enterococcus,405,2809,0.15,0.24,47205,413,46301,2.1,0.56,98.08,0.981,1.02,1,1,-1,1,matched,Bacteria,
Shigella,28,154,0.01,0.01,45495,148,45350,2.02,0.2,99.68,0.189,5.286,1,1,-1,1,matched,Bacteria,
Acinetobacter,749,4886,0.29,0.41,43964,868,42741,1.96,1.18,97.22,0.863,1.159,1,1,-1,1,matched,Bacteria,
Vibrio,684,4478,0.26,0.37,34377,877,34294,1.53,1.2,99.76,0.78,1.282,1,1,-1,1,matched,Bacteria,
Clostridioides,15,817,0.01,0.07,22509,44,22421,1.0,0.06,99.61,0.341,2.933,1,1,-1,1,matched,Bacteria,
Enterobacter,491,2388,0.19,0.2,15307,677,14839,0.68,0.92,96.94,0.725,1.379,1,1,-1,1,matched,Bacteria,
Bacillus,3741,18159,1.43,1.52,14294,1641,14131,0.64,2.24,98.86,2.28,0.439,1,0,0,1,matched,Bacteria,
Streptomyces,1322,7725,0.5,0.65,11850,6620,11761,0.53,9.03,99.25,0.2,5.008,1,1,-1,1,matched,Bacteria,
Mycobacterium,300,4298,0.11,0.36,11116,389,10672,0.49,0.53,96.01,0.771,1.297,1,1,-1,1,matched,Bacteria,
Bacteroides,1166,6061,0.44,0.51,10675,282,4979,0.47,0.38,46.64,4.135,0.242,1,1,-1,1,matched,Bacteria,
Clostridium,1127,6053,0.43,0.51,9809,635,5928,0.44,0.87,60.43,1.775,0.563,1,1,-1,1,matched,Bacteria,
Alistipes,424,1595,0.16,0.13,8527,85,481,0.38,0.12,5.64,4.988,0.2,1,1,-1,1,matched,Bacteria,
Legionella,405,1303,0.15,0.11,8385,93,8307,0.37,0.13,99.07,4.355,0.23,1,1,-1,1,matched,Bacteria,
Helicobacter,97,732,0.04,0.06,7937,98,6716,0.35,0.13,84.62,0.99,1.01,1,1,-1,1,matched,Bacteria,
Yersinia,31,906,0.01,0.08,7769,43,7760,0.35,0.06,99.88,0.721,1.387,1,0,0,1,matched,Bacteria,
Burkholderia,225,2918,0.09,0.24,7603,361,7523,0.34,0.49,98.95,0.623,1.604,1,1,-1,1,matched,Bacteria,
Bifidobacterium,129,1722,0.05,0.14,7271,213,4414,0.32,0.29,60.71,0.606,1.651,1,1,-1,1,matched,Bacteria,
Prevotella,1869,5499,0.71,0.46,6323,290,286,0.28,0.4,4.52,6.445,0.155,1,1,-1,1,matched,Bacteria,
Citrobacter,100,1786,0.04,0.15,5685,423,5518,0.25,0.58,97.06,0.236,4.23,1,1,-1,1,matched,Bacteria,
Lactobacillus,828,5707,0.32,0.48,5292,203,2680,0.24,0.28,50.64,4.079,0.245,1,1,-1,1,matched,Bacteria,
Xanthomonas,41,1292,0.02,0.11,5165,173,5109,0.23,0.24,98.92,0.237,4.22,1,1,-1,1,matched,Bacteria,
Proteus,70,381,0.03,0.03,5010,87,4952,0.22,0.12,98.84,0.805,1.243,1,0,0,1,matched,Bacteria,
Serratia,264,1508,0.1,0.13,4521,173,4420,0.2,0.24,97.77,1.526,0.655,1,0,0,1,matched,Bacteria,
Ruminococcus,1003,3172,0.38,0.27,4215,276,291,0.19,0.38,6.9,3.634,0.275,1,1,-1,1,matched,Bacteria,
Corynebacterium,735,4516,0.28,0.38,3845,558,3289,0.17,0.76,85.54,1.317,0.759,1,1,-1,1,matched,Bacteria,
Aeromonas,279,1791,0.11,0.15,3739,271,3630,0.17,0.37,97.08,1.03,0.971,1,1,-1,1,matched,Bacteria,
Phocaeicola,1,3,0.0,0.0,3414,39,1344,0.15,0.05,39.37,0.026,39.0,1,1,-1,1,matched,Bacteria,
Stenotrophomonas,220,1637,0.08,0.14,3270,309,2639,0.15,0.42,80.7,0.712,1.405,1,1,-1,1,matched,Bacteria,
Cronobacter,27,270,0.01,0.02,3208,12,3187,0.14,0.02,99.35,2.25,0.444,1,1,-1,1,matched,Bacteria,
Eubacterium,83,528,0.03,0.04,3169,118,140,0.14,0.16,4.42,0.703,1.422,1,1,-1,1,matched,Bacteria,
Collinsella,123,997,0.05,0.08,3079,146,456,0.14,0.2,14.81,0.842,1.187,1,1,-1,1,matched,Bacteria,
Parabacteroides,218,1565,0.08,0.13,2890,100,730,0.13,0.14,25.26,2.18,0.459,1,1,-1,1,matched,Bacteria,
Akkermansia,206,1200,0.08,0.1,2637,97,357,0.12,0.13,13.54,2.124,0.471,1,1,-1,1,matched,Bacteria,
Mannheimia,12,190,0.0,0.02,2480,14,2478,0.11,0.02,99.92,0.857,1.167,1,1,-1,1,matched,Bacteria,
Haemophilus,362,1988,0.14,0.17,2465,41,2056,0.11,0.06,83.41,8.829,0.113,1,1,-1,1,matched,Bacteria,
Bordetella,30,1700,0.01,0.14,2387,40,2115,0.11,0.05,88.6,0.75,1.333,1,1,-1,1,matched,Bacteria,
Cutibacterium,369,2216,0.14,0.19,2271,11,2134,0.1,0.02,93.97,33.545,0.03,1,1,-1,1,matched,Bacteria,
Treponema,980,2616,0.37,0.22,2161,127,712,0.1,0.17,32.95,7.717,0.13,1,1,-1,1,matched,Bacteria,
Muribaculum,10,37,0.0,0.0,2119,8,17,0.09,0.01,0.8,1.25,0.8,1,1,-1,1,matched,Bacteria,
Acetatifactor,18,25,0.01,0.0,2103,6,4,0.09,0.01,0.19,3.0,0.333,1,1,-1,1,matched,Bacteria,
Paenibacillus,874,3783,0.33,0.32,2090,916,1990,0.09,1.25,95.22,0.954,1.048,1,1,-1,1,matched,Bacteria,
Flavobacterium,1041,5992,0.4,0.5,2064,593,1199,0.09,0.81,58.09,1.755,0.57,1,1,-1,1,matched,Bacteria,
Faecalibacterium,733,2649,0.28,0.22,2009,77,220,0.09,0.11,10.95,9.519,0.105,1,1,-1,1,matched,Bacteria,
Blautia,1123,3402,0.43,0.28,1996,162,535,0.09,0.22,26.8,6.932,0.144,1,1,-1,1,matched,Bacteria,
Ligilactobacillus,63,109,0.02,0.01,1991,36,604,0.09,0.05,30.34,1.75,0.571,1,1,-1,1,matched,Bacteria,
Pasteurella,23,364,0.01,0.03,1936,14,1930,0.09,0.02,99.69,1.643,0.609,1,1,-1,1,matched,Bacteria,
Limosilactobacillus,109,229,0.04,0.02,1920,50,1054,0.09,0.07,54.9,2.18,0.459,1,1,-1,1,matched,Bacteria,
Lactococcus,168,904,0.06,0.08,1852,54,1245,0.08,0.07,67.22,3.111,0.321,1,1,-1,1,matched,Bacteria,
