division,census_otu_count,census_size_count,otu_percentage,size_percentage,eukprot_species_count,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Stramenopiles,3668,24799,5.17,6.18,191,5.21,19.204,0.052,0,191,191,matched
Opisthokonta,24345,158758,34.34,39.56,180,0.74,135.25,0.007,0,180,180,matched
Alveolata,9042,60488,12.75,15.07,169,1.87,53.503,0.019,0,169,169,matched
Discoba,5496,21089,7.75,5.25,82,1.49,67.024,0.015,0,82,82,matched
Chlorophyta,1505,14229,2.12,3.55,79,5.25,19.051,0.052,0,79,79,matched
Rhizaria,5126,24072,7.23,6.0,40,0.78,128.15,0.008,0,40,40,matched
Streptophyta,2252,16099,3.18,4.01,35,1.55,64.343,0.016,0,35,35,matched
Evosea,2431,13475,3.43,3.36,30,1.23,81.033,0.012,0,30,30,matched
Rhodophyta,2,21,0.0,0.01,29,1450.0,0.069,14.5,0,29,29,matched
Discosea,399,1365,0.56,0.34,29,7.27,13.759,0.073,0,29,29,matched
Metamonada,573,3242,0.81,0.81,19,3.32,30.158,0.033,0,19,19,matched
Tubulinea,1323,4810,1.87,1.2,13,0.98,101.769,0.01,0,13,13,matched
Picozoa,51,366,0.07,0.09,11,21.57,4.636,0.216,0,11,11,matched
Centroplasthelida,185,530,0.26,0.13,4,2.16,46.25,0.022,0,4,4,matched
Hemimastigophora,20,81,0.03,0.02,2,10.0,10.0,0.1,0,2,2,matched
Rigifilida,79,246,0.11,0.06,1,1.27,79.0,0.013,0,1,1,matched
Nebulidia,1,3,0.0,0.0,1,100.0,1.0,1.0,0,1,1,matched
Nibbleridia,3,11,0.0,0.0,0,0.0,inf,0.0,0,0,0,census_only
