family,census_otu_count,census_size_count,otu_percentage,size_percentage,eukprot_species_count,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Insecta,3087,19878,4.35,4.95,14,0.45,220.5,0.005,0,14,14,matched
Trypanosomatidae,147,1188,0.21,0.3,13,8.84,11.308,0.088,0,13,13,matched
Thalassiosiraceae,309,6048,0.44,1.51,11,3.56,28.091,0.036,0,11,11,matched
Peronosporales,373,2022,0.53,0.5,6,1.61,62.167,0.016,0,6,6,matched
Chloropicaceae,15,50,0.02,0.01,6,40.0,2.5,0.4,0,6,6,matched
Plasmodiidae,103,612,0.15,0.15,6,5.83,17.167,0.058,0,6,6,matched
Mammalia,257,852,0.36,0.21,6,2.33,42.833,0.023,0,6,6,matched
Neocallimastigaceae,10,79,0.01,0.02,5,50.0,2.0,0.5,0,5,5,matched
Vannellidae,56,94,0.08,0.02,5,8.93,11.2,0.089,0,5,5,matched
Teleostei,65,111,0.09,0.03,5,7.69,13.0,0.077,0,5,5,matched
Bathycoccaceae,308,6531,0.43,1.63,4,1.3,77.0,0.013,0,4,4,matched
Saprolegniales,5,126,0.01,0.03,4,80.0,1.25,0.8,0,4,4,matched
Hexamitidae,573,3242,0.81,0.81,4,0.7,143.25,0.007,0,4,4,matched
Theileriidae,101,1221,0.14,0.3,4,3.96,25.25,0.04,0,4,4,matched
Eurotiomycetes,604,6441,0.85,1.6,4,0.66,151.0,0.007,0,4,4,matched
Thoracosphaeraceae,468,2008,0.66,0.5,3,0.64,156.0,0.006,0,3,3,matched
Acanthamoebidae,123,773,0.17,0.19,3,2.44,41.0,0.024,0,3,3,matched
Ochromonadaceae,12,14,0.02,0.0,3,25.0,4.0,0.25,0,3,3,matched
Scyphozoa,13,32,0.02,0.01,3,23.08,4.333,0.231,0,3,3,matched
Oxytrichidae,800,7715,1.13,1.92,3,0.38,266.667,0.004,0,3,3,matched
Babesiidae,23,158,0.03,0.04,3,13.04,7.667,0.13,0,3,3,matched
Pelagomonadaceae,36,182,0.05,0.05,3,8.33,12.0,0.083,0,3,3,matched
Euglenaceae,470,1572,0.66,0.39,3,0.64,156.667,0.006,0,3,3,matched
Cryptosporidiidae,64,939,0.09,0.23,3,4.69,21.333,0.047,0,3,3,matched
Sarcocystidae,76,608,0.11,0.15,3,3.95,25.333,0.039,0,3,3,matched
Paramoebidae,54,81,0.08,0.02,3,5.56,18.0,0.056,0,3,3,matched
Saccharomycetales,233,2434,0.33,0.61,3,1.29,77.667,0.013,0,3,3,matched
