genus,census_otu_count,census_size_count,otu_percentage,size_percentage,eukprot_species_count,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Chlamydomonas,23,107,0.03,0.03,9,39.13,2.556,0.391,0,9,9,matched
Thalassiosira,309,6048,0.44,1.51,8,2.59,38.625,0.026,0,8,8,matched
Skeletonema,1,1,0.0,0.0,6,600.0,0.167,6.0,0,6,6,matched
Chloropicon,15,50,0.02,0.01,5,33.33,3.0,0.333,0,5,5,matched
Trypanosoma,85,824,0.12,0.21,4,4.71,21.25,0.047,0,4,4,matched
Phytophthora,67,1107,0.09,0.28,4,5.97,16.75,0.06,0,4,4,matched
Ostreococcus,293,6432,0.41,1.6,3,1.02,97.667,0.01,0,3,3,matched
Aspergillus,48,646,0.07,0.16,3,6.25,16.0,0.062,0,3,3,matched
Paulinella,17,24,0.02,0.01,2,11.76,8.5,0.118,0,2,2,matched
Paramoeba,20,31,0.03,0.01,2,10.0,10.0,0.1,0,2,2,matched
Arabidopsis,30,32,0.04,0.01,2,6.67,15.0,0.067,0,2,2,matched
Leptomonas,53,327,0.07,0.08,2,3.77,26.5,0.038,0,2,2,matched
Saprolegnia,5,126,0.01,0.03,2,40.0,2.5,0.4,0,2,2,matched
Vannella,56,94,0.08,0.02,2,3.57,28.0,0.036,0,2,2,matched
Blastocystis,72,618,0.1,0.15,2,2.78,36.0,0.028,0,2,2,matched
Phytomonas,3,7,0.0,0.0,2,66.67,1.5,0.667,0,2,2,matched
Cryptococcus,5,5,0.01,0.0,2,40.0,2.5,0.4,0,2,2,matched
Pythium,302,870,0.43,0.22,2,0.66,151.0,0.007,0,2,2,matched
Piromyces,1,6,0.0,0.0,2,200.0,0.5,2.0,0,2,2,matched
Scrippsiella,2,7,0.0,0.0,1,50.0,2.0,0.5,0,1,1,matched
Rhizoclosmatium,12,82,0.02,0.02,1,8.33,12.0,0.083,0,1,1,matched
Notosolenus,10,15,0.01,0.0,1,10.0,10.0,0.1,0,1,1,matched
Daphnia,10,26,0.01,0.01,1,10.0,10.0,0.1,0,1,1,matched
Bodo,10,15,0.01,0.0,1,10.0,10.0,0.1,0,1,1,matched
Coccidioides,11,17,0.02,0.0,1,9.09,11.0,0.091,0,1,1,matched
Monoraphidium,1,1,0.0,0.0,1,100.0,1.0,1.0,0,1,1,matched
Spumella,12,14,0.02,0.0,1,8.33,12.0,0.083,0,1,1,matched
Coemansia,12,40,0.02,0.01,1,8.33,12.0,0.083,0,1,1,matched
