family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Insecta,3087,19878,4.35,4.95,6996,3912,6948,14.06,18.99,99.31,0.789,1.267,0,344,344,matched,Eukaryota,0.0
Sordariomycetes,1305,9434,1.84,2.35,4990,1334,4962,10.03,6.47,99.44,0.978,1.022,0,55,55,matched,Eukaryota,0.0
Mammalia,257,852,0.36,0.21,4357,996,4341,8.75,4.83,99.63,0.258,3.875,0,139,139,matched,Eukaryota,0.0
Teleostei,65,111,0.09,0.03,2860,1779,2848,5.75,8.63,99.58,0.037,27.369,0,260,260,matched,Eukaryota,0.0
Eurotiomycetes,604,6441,0.85,1.6,2737,673,2713,5.5,3.27,99.12,0.897,1.114,0,21,21,matched,Eukaryota,0.0
Saccharomycetales,233,2434,0.33,0.61,2646,164,2618,5.32,0.8,98.94,1.421,0.704,0,1,1,matched,Eukaryota,0.0
Dothideomycetes,874,4225,1.23,1.05,2445,498,2425,4.91,2.42,99.18,1.755,0.57,0,69,69,matched,Eukaryota,0.0
Agaricomycetes,759,5519,1.07,1.38,1672,1056,1669,3.36,5.12,99.82,0.719,1.391,0,103,103,matched,Eukaryota,0.0
Tremellomycetes,126,690,0.18,0.17,541,176,540,1.09,0.85,99.82,0.716,1.397,0,15,15,matched,Eukaryota,0.0
Lecanoromycetes,220,1048,0.31,0.26,409,308,54,0.82,1.49,13.2,0.714,1.4,0,42,42,matched,Eukaryota,0.0
Lepidosauria,4,42,0.01,0.01,383,296,380,0.77,1.44,99.22,0.014,74.0,0,37,37,matched,Eukaryota,0.0
Leotiomycetes,374,2629,0.53,0.66,380,201,374,0.76,0.98,98.42,1.861,0.537,0,29,29,matched,Eukaryota,0.0
Peronosporales,373,2022,0.53,0.5,304,103,304,0.61,0.5,100.0,3.621,0.276,0,2,2,matched,Eukaryota,0.0
Arachnida,130,496,0.18,0.12,300,195,297,0.6,0.95,99.0,0.667,1.5,0,88,88,matched,Eukaryota,0.0
Trypanosomatidae,147,1188,0.21,0.3,282,101,282,0.57,0.49,100.0,1.455,0.687,1,0,1,matched,Eukaryota,0.0
Anthozoa,297,2971,0.42,0.74,281,193,280,0.56,0.94,99.64,1.539,0.65,0,54,54,matched,Eukaryota,0.0
Amphibia,5,9,0.01,0.0,258,194,258,0.52,0.94,100.0,0.026,38.8,0,38,38,matched,Eukaryota,0.0
Kickxellales,12,40,0.02,0.01,171,153,171,0.34,0.74,100.0,0.078,12.75,0,1,1,matched,Eukaryota,0.0
Plasmodiidae,103,612,0.15,0.15,165,26,165,0.33,0.13,100.0,3.962,0.252,1,0,1,matched,Eukaryota,0.0
Ustilaginomycetes,69,166,0.1,0.04,131,52,131,0.26,0.25,100.0,1.327,0.754,0,6,6,matched,Eukaryota,0.0
Schizosaccharomycetes,2,13,0.0,0.0,94,8,93,0.19,0.04,98.94,0.25,4.0,0,1,1,matched,Eukaryota,0.0
Bathycoccaceae,308,6531,0.43,1.63,83,23,22,0.17,0.11,26.51,13.391,0.075,1,0,1,matched,Eukaryota,0.0
Cryptosporidiidae,64,939,0.09,0.23,83,20,82,0.17,0.1,98.8,3.2,0.312,1,0,1,matched,Eukaryota,0.0
Exobasidiomycetes,306,11775,0.43,2.93,79,27,78,0.16,0.13,98.73,11.333,0.088,0,9,9,matched,Eukaryota,0.0
Lipomycetaceae,3,6,0.0,0.0,66,35,66,0.13,0.17,100.0,0.086,11.667,1,0,1,matched,Eukaryota,0.0
Digenea,190,955,0.27,0.24,65,34,65,0.13,0.17,100.0,5.588,0.179,0,11,11,matched,Eukaryota,0.0
Eimeriidae,68,535,0.1,0.13,63,13,63,0.13,0.06,100.0,5.231,0.191,1,0,1,matched,Eukaryota,0.0
Branchiopoda,132,783,0.19,0.2,50,26,43,0.1,0.13,86.0,5.077,0.197,0,7,7,matched,Eukaryota,0.0
Glomerales,236,4813,0.33,1.2,48,12,48,0.1,0.06,100.0,19.667,0.051,0,1,1,matched,Eukaryota,0.0
Caenogastropoda,45,225,0.06,0.06,46,38,46,0.09,0.18,100.0,1.184,0.844,0,17,17,matched,Eukaryota,0.0
Scyphozoa,13,32,0.02,0.01,42,24,42,0.08,0.12,100.0,0.542,1.846,0,9,9,matched,Eukaryota,0.0
Hexamitidae,573,3242,0.81,0.81,40,4,40,0.08,0.02,100.0,143.25,0.007,1,0,1,matched,Eukaryota,0.0
Sarcocystidae,76,608,0.11,0.15,39,6,39,0.08,0.03,100.0,12.667,0.079,1,0,1,matched,Eukaryota,0.0
Thalassiosiraceae,309,6048,0.44,1.51,32,26,28,0.06,0.13,87.5,11.885,0.084,1,0,1,matched,Eukaryota,0.0
