genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Saccharomyces,13,969,0.02,0.24,1936,21,1929,3.88,0.1,99.64,0.619,1.615,1,0,1,matched,Eukaryota,0.0
Homo,5,15,0.01,0.0,1845,1,1845,3.7,0.0,100.0,5.0,0.2,1,0,1,matched,Eukaryota,0.0
Aspergillus,48,646,0.07,0.16,1433,263,1431,2.87,1.27,99.86,0.183,5.479,1,0,1,matched,Eukaryota,0.0
Drosophila,217,1383,0.31,0.34,630,260,630,1.26,1.26,100.0,0.835,1.198,1,0,1,matched,Eukaryota,0.0
Penicillium,100,2067,0.14,0.52,559,174,558,1.12,0.84,99.82,0.575,1.74,1,0,1,matched,Eukaryota,0.0
Colletotrichum,10,15,0.01,0.0,321,104,320,0.64,0.5,99.69,0.096,10.4,1,0,1,matched,Eukaryota,0.0
Arabidopsis,30,32,0.04,0.01,309,6,309,0.62,0.03,100.0,5.0,0.2,1,0,1,matched,Eukaryota,0.0
Candida,29,319,0.04,0.08,302,39,291,0.61,0.19,96.36,0.744,1.345,1,0,1,matched,Eukaryota,0.0
Phytophthora,67,1107,0.09,0.28,260,83,260,0.52,0.4,100.0,0.807,1.239,1,0,1,matched,Eukaryota,0.0
Oryza,1,29,0.0,0.01,251,23,251,0.5,0.11,100.0,0.043,23.0,1,0,1,matched,Eukaryota,0.0
Cryptococcus,5,5,0.01,0.0,231,25,231,0.46,0.12,100.0,0.2,5.0,1,0,1,matched,Eukaryota,0.0
Neurospora,13,243,0.02,0.06,194,34,194,0.39,0.16,100.0,0.382,2.615,1,0,1,matched,Eukaryota,0.0
Coemansia,12,40,0.02,0.01,161,146,161,0.32,0.71,100.0,0.082,12.167,1,0,1,matched,Eukaryota,0.0
Caenorhabditis,57,495,0.08,0.12,146,45,146,0.29,0.22,100.0,1.267,0.789,1,0,1,matched,Eukaryota,0.0
Zea,372,6252,0.52,1.56,124,2,124,0.25,0.01,100.0,186.0,0.005,1,0,1,matched,Eukaryota,0.0
Venturia,4,4,0.01,0.0,110,9,110,0.22,0.04,100.0,0.444,2.25,1,0,1,matched,Eukaryota,0.0
Exophiala,48,94,0.07,0.02,108,19,105,0.22,0.09,97.22,2.526,0.396,1,0,1,matched,Eukaryota,0.0
Rhizopus,67,969,0.09,0.24,96,6,96,0.19,0.03,100.0,11.167,0.09,1,0,1,matched,Eukaryota,0.0
Malassezia,298,11722,0.42,2.92,95,20,84,0.19,0.1,88.42,14.9,0.067,1,0,1,matched,Eukaryota,0.0
Schizosaccharomyces,2,13,0.0,0.0,94,8,93,0.19,0.04,98.94,0.25,4.0,1,0,1,matched,Eukaryota,0.0
Blastocystis,72,618,0.1,0.15,90,15,24,0.18,0.07,26.67,4.8,0.208,1,0,1,matched,Eukaryota,0.0
Trypanosoma,85,824,0.12,0.21,78,22,78,0.16,0.11,100.0,3.864,0.259,1,0,1,matched,Eukaryota,0.0
