rank,genus,novelty_factor,census_otu_count,ncbi_species_count,family,division,combination_row_count
1,Mastigamoeba,1609.0,1609,1,Mastigamoebidae,Evosea,1609
2,Stylonychia,800.0,800,1,Oxytrichidae,Alveolata,800
3,Neovahlkampfia,211.0,211,1,Neovahlkampfiidae,Discoba,211
4,Zea,186.0,372,2,Embryophyceae_XX,Streptophyta,372
5,Rehmannia,160.0,160,1,Embryophyceae_XX,Streptophyta,160
6,Ustanciosporium,69.0,69,1,Ustilaginomycetes,Opisthokonta,69
7,Labyrinthula,62.0,62,1,Labyrinthulaceae,Stramenopiles,62
8,Phaeosphaeria,57.333,172,3,Dothideomycetes,Opisthokonta,172
9,Vannella,56.0,56,1,Vannellidae,Discosea,56
10,Pycnora,46.0,46,1,Saccharomycotina_X,Opisthokonta,46
11,Apis,39.333,236,6,Insecta,Opisthokonta,236
12,Lecanicillium,37.5,225,6,Sordariomycetes,Opisthokonta,225
13,Aureococcus,36.0,36,1,Pelagomonadaceae,Stramenopiles,36
14,Limulus,36.0,36,1,Merostomata,Opisthokonta,36
15,Rhizophagus,33.714,236,7,Glomerales,Opisthokonta,236
16,Hexamita,32.0,32,1,Hexamitidae,Metamonada,32
17,Rattus,29.0,58,2,Mammalia,Opisthokonta,58
18,Chlorociboria,28.0,56,2,Leotiomycetes,Opisthokonta,56
19,Corynespora,27.5,55,2,Dothideomycetes,Opisthokonta,55
20,Leptomonas,26.5,53,2,Trypanosomatidae,Discoba,53
