genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Mastigamoeba,1609,10879,2.27,2.71,2,1,2,0.0,0.0,100.0,1609.0,0.001,1,0,1,matched,Eukaryota,0.0
Stylonychia,800,7715,1.13,1.92,2,1,2,0.0,0.0,100.0,800.0,0.001,1,0,1,matched,Eukaryota,0.0
Neovahlkampfia,211,780,0.3,0.19,1,1,1,0.0,0.0,100.0,211.0,0.005,1,0,1,matched,Eukaryota,0.0
Zea,372,6252,0.52,1.56,124,2,124,0.25,0.01,100.0,186.0,0.005,1,0,1,matched,Eukaryota,0.0
Rehmannia,160,265,0.23,0.07,1,1,1,0.0,0.0,100.0,160.0,0.006,1,0,1,matched,Eukaryota,0.0
Ustanciosporium,69,166,0.1,0.04,2,1,2,0.0,0.0,100.0,69.0,0.014,1,0,1,matched,Eukaryota,0.0
Labyrinthula,62,238,0.09,0.06,1,1,1,0.0,0.0,100.0,62.0,0.016,1,0,1,matched,Eukaryota,0.0
Phaeosphaeria,172,1177,0.24,0.29,3,3,3,0.01,0.01,100.0,57.333,0.017,1,0,1,matched,Eukaryota,0.0
Vannella,56,94,0.08,0.02,2,1,0,0.0,0.0,0.0,56.0,0.018,1,0,1,matched,Eukaryota,0.0
Pycnora,46,237,0.06,0.06,1,1,0,0.0,0.0,0.0,46.0,0.022,1,0,1,matched,Eukaryota,0.0
Apis,236,762,0.33,0.19,26,6,26,0.05,0.03,100.0,39.333,0.025,1,0,1,matched,Eukaryota,0.0
Lecanicillium,225,1334,0.32,0.33,8,6,8,0.02,0.03,100.0,37.5,0.027,1,0,1,matched,Eukaryota,0.0
Limulus,36,122,0.05,0.03,2,1,2,0.0,0.0,100.0,36.0,0.028,1,0,1,matched,Eukaryota,0.0
Aureococcus,36,182,0.05,0.05,5,1,5,0.01,0.0,100.0,36.0,0.028,1,0,1,matched,Eukaryota,0.0
Rhizophagus,236,4813,0.33,1.2,41,7,41,0.08,0.03,100.0,33.714,0.03,1,0,1,matched,Eukaryota,0.0
Hexamita,32,113,0.05,0.03,1,1,1,0.0,0.0,100.0,32.0,0.031,1,0,1,matched,Eukaryota,0.0
Rattus,58,114,0.08,0.03,20,2,20,0.04,0.01,100.0,29.0,0.034,1,0,1,matched,Eukaryota,0.0
Chlorociboria,56,565,0.08,0.14,4,2,4,0.01,0.01,100.0,28.0,0.036,1,0,1,matched,Eukaryota,0.0
Corynespora,55,265,0.08,0.07,58,2,58,0.12,0.01,100.0,27.5,0.036,1,0,1,matched,Eukaryota,0.0
Leptomonas,53,327,0.07,0.08,3,2,3,0.01,0.01,100.0,26.5,0.038,1,0,1,matched,Eukaryota,0.0
