Family,GTDB_Domain,NCBI_Domain,Database_Presence,Match_Status,Anchor_Type,GTDB_Genome_Count,GTDB_Species_Count,NCBI_Genome_Count,NCBI_Species_Count
Abditibacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,8,3,26,4
Acanthopleuribacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,9,6,4,3
Acetobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1658,111,1873,290
Acetomicrobiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,15,1,37,10
Acholeplasmataceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,200,16,594,118
Acidaminobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,55,20,113,5
Acidaminococcaceae,Bacteria,Bacteria,Both,Match,Direct_Name,657,18,1349,39
Acidiferrobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,120,3,188,10
Acidilobaceae,Archaea,Archaea,Both,Match,Direct_Name,97,14,201,18
Acidilutibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,1,1
Acidimicrobiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,310,8,2361,42
Acidithiobacillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,252,5,281,39
Acidobacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,618,41,2248,108
Acidothermaceae,Bacteria,Bacteria,Both,Match,Direct_Name,7,3,20,4
Actinomycetaceae,Bacteria,Bacteria,Both,Match,Direct_Name,977,35,1627,261
Actinopolymorphaceae,Bacteria,Bacteria,Both,Match,Direct_Name,9,3,18,10
Acutalibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,5635,162,1793,50
Aerococcaceae,Bacteria,Bacteria,Both,Match,Direct_Name,467,21,479,96
Aeromonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1301,12,3845,314
Aestuariirhabdaceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,4,3
Aestuariivirgaceae,Bacteria,Bacteria,Both,Match,Direct_Name,110,10,115,7
Afifellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,19,4,23,10
Aggregatilineaceae,Bacteria,Bacteria,Both,Match,Direct_Name,19,12,13,3
Ahniellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,25,7,7,1
Akkermansiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2106,16,3461,128
Alcaligenaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,231,31,4024,313
Alcanivoracaceae,Bacteria,Bacteria,Both,Match,Direct_Name,194,8,411,114
Algiphilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,20,4
Alicyclobacillaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,73,18,124,57
Alkalispirochaetaceae,Bacteria,Bacteria,Both,Match,Direct_Name,13,2,6,1
Alteromonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1645,60,1054,286
Aminiphilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,7,3,5,3
Aminithiophilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,12,1,1,1
Aminobacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,184,20,135,30
Amoebophilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,31,7,40,23
Amorphaceae,Bacteria,Bacteria,Both,Match,Direct_Name,13,2,13,11
Amphibacillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,321,44,1,1
Anaerobacaceae,Bacteria,Bacteria,Both,Match,Direct_Name,116,0,1,1
Anaerohalosphaeraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,52,16,43,3
Anaerolineaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,261,46,1292,95
Anaeromyxobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,55,6,140,20
Anaeroplasmataceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,615,8,589,5
Anaerosomataceae,Bacteria,Bacteria,Both,Match,Direct_Name,40,11,2,2
Anaerotignaceae,Bacteria,Bacteria,Both,Match,Direct_Name,583,18,436,10
Anaerovoracaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1142,106,805,66
Anaplasmataceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1462,9,1864,385
Ancalomicrobiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,24,6,14,8
Anoxybacillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,263,8,360,121
Antricoccaceae,Bacteria,Bacteria,Both,Match,Direct_Name,6,3,3,2
Aphanothecaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,4,3,60,21
Aquaspirillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,66,5,81,9
Aquificaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,100,11,309,28
Aquisalimonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,26,5,4,1
Archaeoglobaceae,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,102,14,232,40
Arcobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,511,20,915,81
Ardenticatenaceae,Bacteria,Bacteria,Both,Match,Direct_Name,20,6,79,4
Arenicellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,40,3,55,7
Aristaeellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1021,54,4,2
Armatimonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,18,9,23,4
Atopobiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1094,37,1395,154
Atribacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,16,3,13,7
Azospirillaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,166,17,341,93
Bacillaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,8564,56,17983,2898
Bacillales Family X. Incertae Sedis,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,13,3,18,6
Bacteriovoracaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,207,54,327,43
Bacteroidaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,15545,39,16288,367
Balneolaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,202,22,426,82
Barnesiellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,180,4,496,23
Beijerinckiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1113,45,276,31
Bernardetiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,10,4,16,8
Beutenbergiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,38,11,19,8
Bianqueaceae,Bacteria,Bacteria,Both,Match,Direct_Name,67,6,8,2
Bifidobacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3723,15,8126,374
Blastochloridaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,7,3,16,6
Blattabacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,100,7,97,13
Borreliaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,542,2,917,48
