family,gtdb_domain,ncbi_domain,database_presence,match_status,gtdb_genome_count,gtdb_species_count,ncbi_genome_count,ncbi_species_count,reason_filtered,sample_accessions
UBA184,Archaea,,GTDB_Only,No_Match,421,7,0,0,No verifiable NCBI taxonomy classification,"GCA_027376215.1, GCA_027378275.1, GCA_030037695.1, GCA_030045235.1, GCA_021844945.1"
UBA9973,Bacteria,,GTDB_Only,No_Match,327,35,0,0,No verifiable NCBI taxonomy classification,"GCA_001785775.1, GCA_026396065.1, GCA_023267415.1, GCA_943354205.1, GCA_027428255.1"
D2472,Bacteria,,GTDB_Only,No_Match,313,11,0,0,No verifiable NCBI taxonomy classification,"GCA_018607365.1, GCA_902602185.1, GCA_902626385.1, GCA_002346805.1, GCA_028344535.1"
GW2011-AR1,Archaea,,GTDB_Only,No_Match,307,119,0,0,No verifiable NCBI taxonomy classification,"GCA_002784645.1, GCA_028713455.1, GCA_018693615.1, GCA_018304985.1, GCA_023397215.1"
UBA3495,Bacteria,,GTDB_Only,No_Match,253,19,0,0,No verifiable NCBI taxonomy classification,"GCA_009392645.1, GCA_027250365.1, GCA_950067965.1, GCA_950067055.1, GCA_009840135.1"
UBA4665,Bacteria,,GTDB_Only,No_Match,245,46,0,0,No verifiable NCBI taxonomy classification,"GCA_002441585.1, GCA_027427435.1, GCA_027356525.1, GCA_027365555.1, GCA_027366295.1"
TCS55,Bacteria,,GTDB_Only,No_Match,207,7,0,0,No verifiable NCBI taxonomy classification,"GCA_018692975.1, GCA_913047535.1, GCA_913020205.1, GCA_018676305.1, GCA_018668935.1"
NAC60-12,Bacteria,,GTDB_Only,No_Match,204,4,0,0,No verifiable NCBI taxonomy classification,"GCA_002291585.1, GCA_018670705.1, GCA_030741695.1, GCA_002082295.1, GCA_030749895.1"
Profunditerraquicolaceae,Bacteria,,GTDB_Only,No_Match,175,63,0,0,No verifiable NCBI taxonomy classification,"GCA_028716245.1, GCA_016783625.1, GCA_026416665.1, GCA_018822885.1, GCA_002441245.1"
UBA2103,Bacteria,,GTDB_Only,No_Match,174,3,0,0,No verifiable NCBI taxonomy classification,"GCA_019752595.1, GCA_021784815.1, GCA_937879955.1, GCA_027328985.1, GCA_001781625.1"
Acidulodesulfobacteraceae,Bacteria,,GTDB_Only,No_Match,167,6,0,0,No verifiable NCBI taxonomy classification,"GCA_027335755.1, GCA_027307555.1, GCA_027328345.1, GCA_027358305.1, GCA_004195025.1"
Peribacteraceae,Bacteria,,GTDB_Only,No_Match,156,39,0,0,No verifiable NCBI taxonomy classification,"GCA_001004775.1, GCA_018698515.1, GCA_028712095.1, GCA_002328295.1, GCA_009691405.1"
AG-339-G14,Bacteria,,GTDB_Only,No_Match,144,4,0,0,No verifiable NCBI taxonomy classification,"GCA_023703675.1, GCA_902514765.1, GCA_902611885.1, GCA_902566815.1, GCA_902598915.1"
UBA1611,Bacteria,,GTDB_Only,No_Match,143,13,0,0,No verifiable NCBI taxonomy classification,"GCA_018674095.1, GCA_018700115.1, GCA_018663065.1, GCA_002695075.1, GCA_905478065.1"
GWC2-37-13,Bacteria,,GTDB_Only,No_Match,132,34,0,0,No verifiable NCBI taxonomy classification,"GCA_001789405.1, GCA_001790195.1, GCA_026004455.1, GCA_021836465.1, GCA_000991135.1"
UBA12049,Bacteria,,GTDB_Only,No_Match,132,55,0,0,No verifiable NCBI taxonomy classification,"GCA_001782475.1, GCA_001783985.1, GCA_021813005.1, GCA_002786605.1, GCA_001784055.1"
UBA1829,Bacteria,,GTDB_Only,No_Match,131,10,0,0,No verifiable NCBI taxonomy classification,"GCA_900761535.1, GCA_946494365.1, GCA_902790365.1, GCA_003522165.1, GCA_937944685.1"
PALSA-1337,Bacteria,,GTDB_Only,No_Match,123,10,0,0,No verifiable NCBI taxonomy classification,"GCA_028713005.1, GCA_030648705.1, GCA_903883465.1, GCA_903823535.1, GCA_903853505.1"
SOKP01,Archaea,,GTDB_Only,No_Match,118,15,0,0,No verifiable NCBI taxonomy classification,"GCA_016839555.1, GCA_005222975.1, GCA_016930515.1, GCA_011364975.1, GCA_023705845.1"
UBA2100,Bacteria,,GTDB_Only,No_Match,118,6,0,0,No verifiable NCBI taxonomy classification,"GCA_016867375.1, GCA_001781685.1, GCA_903845825.1, GCA_943354425.1, GCA_016217965.1"
GCA-001856825,Archaea,,GTDB_Only,No_Match,107,4,0,0,No verifiable NCBI taxonomy classification,"GCA_027369095.1, GCA_027369085.1, GCA_027369045.1, GCA_027373715.1, GCA_027373575.1"
UBA7960,Bacteria,,GTDB_Only,No_Match,105,13,0,0,No verifiable NCBI taxonomy classification,"GCA_007123065.1, GCA_007126985.1, GCA_007131095.1, GCA_007120525.1, GCA_007134045.1"
Bog-877,Bacteria,,GTDB_Only,No_Match,101,5,0,0,No verifiable NCBI taxonomy classification,"GCA_003135795.1, GCA_027345325.1, GCA_021802045.1, GCA_027402605.1, GCA_027402175.1"
