family,domain,family_counts,taxid,lineage,lineage_ranks,lineage_taxids
Enterobacteriaceae,Bacteria,95395,1691888815,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1851777887;1691888815
Lachnospiraceae,Bacteria,35105,388561380,Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;827000254;388561380
Muribaculaceae,Bacteria,24600,813337039,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;813337039
Staphylococcaceae,Bacteria,21933,2105860973,Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1005846224;2105860973
Streptococcaceae,Bacteria,21213,1857721238,Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;57970979;1857721238
Pseudomonadaceae,Bacteria,17078,614420664,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1250912789;614420664
Burkholderiaceae,Bacteria,15903,2122036841,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;2074272703;2122036841
Bacteroidaceae,Bacteria,15545,1986917900,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;1986917900
Mycobacteriaceae,Bacteria,15323,1649679021,Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;720352763;1649679021
Moraxellaceae,Bacteria,12327,1438135273,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1250912789;1438135273
Lactobacillaceae,Bacteria,11685,126272678,Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;57970979;126272678
Bacillaceae,Bacteria,8564,638863860,Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;51306968;638863860
Enterococcaceae,Bacteria,8333,1607767996,Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;57970979;1607767996
Oscillospiraceae,Bacteria,7861,236610545,Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;855679871;236610545
Vibrionaceae,Bacteria,7565,973101697,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Vibrionaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1851777887;973101697
Rhizobiaceae,Bacteria,6932,1777118899,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1585583143;1777118899
Rikenellaceae,Bacteria,6028,2138817633,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;2138817633
Ruminococcaceae,Bacteria,6008,138421653,Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;855679871;138421653
Campylobacteraceae,Bacteria,5856,1423851567,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae,superkingdom;phylum;class;order;family,81602897;1536518028;1492690008;536303497;1423851567
Acutalibacteraceae,Bacteria,5635,726709100,Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;855679871;726709100
Listeriaceae,Bacteria,5500,233170948,Bacteria;Bacillota;Bacilli;Lactobacillales;Listeriaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;57970979;233170948
