Genus,GTDB_Domain,NCBI_Domain,Database_Presence,Match_Status,Anchor_Type,GTDB_Genome_Count,GTDB_Species_Count,NCBI_Genome_Count,NCBI_Species_Count
Abditibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,12,3
Abiotrophia,Bacteria,Bacteria,Both,Match,Direct_Name,31,1,59,4
Absicoccus,Bacteria,Bacteria,Both,Match,Direct_Name,35,1,25,4
Abyssalbus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Abyssibacter,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,8,3
Abyssibius,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Abyssicoccus,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,3,1
Abyssisolibacter,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Acanthopleuribacter,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Acaryochloris,Bacteria,Bacteria,Both,Match,Direct_Name,13,1,17,11
Acerihabitans,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,4,4
Acetanaerobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,17,1,4,3
Acetatifactor,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2526,1,2103,6
Aceticella,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Acetilactobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,2,1
Acetitomaculum,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,2,2
Acetivibrio,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,57,11
Acetoanaerobium,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,13,4
Acetobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,310,1,473,68
Acetobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,35,1,47,17
Acetobacteroides,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,3,2
Acetofilamentum,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,9,1,17,1
Acetohalobium,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Acetomicrobium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,15,1,37,10
Acetonema,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,2,2
Acholeplasma,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,32,2,66,10
Achromatium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,4,4
Achromobacter,Bacteria,Bacteria,Both,Match,Direct_Name,412,2,803,88
Acidaminobacter,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,12,4
Acidaminococcus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,151,1,301,18
Acidianus,Archaea,Archaea,Both,Match,Direct_Name,12,2,20,10
Acidibrevibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,91,1,2,1
Acidicaldus,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Acidicapsa,Bacteria,Bacteria,Both,Match,Direct_Name,10,1,4,3
Acididesulfobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,2,1
Acidiferrobacter,Bacteria,Bacteria,Both,Match,Direct_Name,96,1,80,4
Acidihalobacter,Bacteria,Bacteria,Both,Match,Direct_Name,6,2,12,6
Acidilobus,Archaea,Archaea,Both,Match,Direct_Name,18,1,34,9
Acidiluteibacter,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,1,1
Acidilutibacter,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,1,1
Acidimangrovimonas,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,3,3
Acidimicrobium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,149,13
Acidiphilium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,83,1,125,24
Acidipila,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,5,1,7,4
Acidiplasma,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,15,1,26,4
Acidipropionibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,29,1,37,6
Acidisarcina,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,7,2
Acidisoma,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,8,6
Acidisphaera,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,94,5
Aciditerrimonas,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,1
Acidithiobacillus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,218,3,265,33
Acidithrix,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,77,1,10,3
Acidobacterium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,41,4
Acidocella,Bacteria,Bacteria,Both,Match,Direct_Name,103,1,82,16
Acidomonas,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,6,1
Acidothermus,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,5,2
Acidovorax,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,186,2,331,122
Aciduricibacillus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,2,1,1,1
Acinetobacter,Bacteria,Bacteria,Both,Match,Direct_Name,11458,1,43964,868
Acrocarpospora,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,9,6
Actibacterium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,11,5,23,13
Actinacidiphila,Bacteria,Bacteria,Both,Match,Direct_Name,40,1,41,18
Actinoallomurus,Bacteria,Bacteria,Both,Match,Direct_Name,10,1,22,15
Actinoalloteichus,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,12,7
Actinobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,173,4,240,20
Actinobaculum,Bacteria,Bacteria,Both,Match,Direct_Name,12,1,34,6
Actinocatenispora,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,9,5
Actinocorallia,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,10,10
Actinocrinis,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,11,2
Actinocrispum,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,2,2
Actinokineospora,Bacteria,Bacteria,Both,Match,Direct_Name,26,1,32,21
Actinomarinicola,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Actinomyces,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,235,1,754,107
Actinomycetospora,Bacteria,Bacteria,Both,Match,Direct_Name,18,1,35,24
Actinophytocola,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,27,8
Actinoplanes,Bacteria,Bacteria,Both,Match,Direct_Name,100,1,156,90
Actinopolymorpha,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,13,9
Actinopolyspora,Bacteria,Bacteria,Both,Match,Direct_Name,14,1,14,12
Actinorhabdospora,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Actinorugispora,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Actinospica,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,13,5
Actinosynnema,Bacteria,Bacteria,Both,Match,Direct_Name,31,1,25,19
Actinotalea,Bacteria,Bacteria,Both,Match,Direct_Name,31,1,34,16
Actinotignum,Bacteria,Bacteria,Both,Match,Direct_Name,45,1,76,5
Actirhodobacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Acutalibacter,Bacteria,Bacteria,Both,Match,Direct_Name,515,1,245,14
Acuticoccus,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,10,8
Adhaeretor,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Adhaeribacter,Bacteria,Bacteria,Both,Match,Direct_Name,10,2,13,12
Adlercreutzia,Bacteria,Bacteria,Both,Match,Direct_Name,249,2,402,24
Advenella,Bacteria,Bacteria,Both,Match,Direct_Name,23,2,26,12
Aedoeadaptatus,Bacteria,Bacteria,Both,Match,Direct_Name,20,1,15,7
Aegicerativicinus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Aeoliella,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,3,3
Aequitasia,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,2,1
Aequoribacter,Bacteria,Bacteria,Both,Match,Direct_Name,15,1,2,1
Aequorivita,Bacteria,Bacteria,Both,Match,Direct_Name,63,1,124,45
Aeribacillus,Bacteria,Bacteria,Both,Match,Direct_Name,10,1,34,15
Aeriscardovia,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,8,1,57,3
Aerococcus,Bacteria,Bacteria,Both,Match,Direct_Name,248,1,310,34
Aeromicrobium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,85,1,203,65
Aeromonas,Bacteria,Bacteria,Both,Match,Direct_Name,1256,1,3739,271
Aerophototrophica,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,1
Aeropyrum,Archaea,Archaea,Both,Match,Direct_Name,10,1,7,3
Aerosticca,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Aestuariibacter,Bacteria,Bacteria,Both,Match,Direct_Name,2,2,11,4
Aestuariibaculum,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,9,7
Aestuariimicrobium,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,4,4
Aestuariirhabdus,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,4,3
Aestuariispira,Bacteria,Bacteria,Both,Match,Direct_Name,2,2,2,2
Aestuariivirga,Bacteria,Bacteria,Both,Match,Direct_Name,66,1,92,3
Aestuariivita,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,15,3
Aestuariivivens,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,8,5
Aetokthonos,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,5,1
Afifella,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,11,1,14,8
Afipia,Bacteria,Bacteria,Both,Match,Direct_Name,65,1,76,26
Agaribacterium,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,2,2
Agaricicola,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,1
Agarilytica,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,7,3
Agarivorans,Bacteria,Bacteria,Both,Match,Direct_Name,14,1,22,17
Agathobacter,Bacteria,Bacteria,Both,Match,Direct_Name,626,1,992,4
Agathobaculum,Bacteria,Bacteria,Both,Match,Direct_Name,219,1,275,18
Aggregatibacter,Bacteria,Bacteria,Both,Match,Direct_Name,249,1,295,11
Aggregatilinea,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,2
Aggregicoccus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,2
Agilicoccus,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Agitococcus,Bacteria,Bacteria,Both,Match,Direct_Name,19,1,39,3
Agreia,Bacteria,Bacteria,Both,Match,Direct_Name,13,1,15,10
Agrilactobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,6,3
Agriterribacter,Bacteria,Bacteria,Both,Match,Direct_Name,24,1,18,2
Agrobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,997,1,720,114
Agrococcus,Bacteria,Bacteria,Both,Match,Direct_Name,27,1,43,31
Agromyces,Bacteria,Bacteria,Both,Match,Direct_Name,78,1,148,90
Ahniella,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,2
Ahrensia,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,1,19,7
Aidingimonas,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,4,2
Akkermansia,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1729,1,2637,97
Albibacillus,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Albibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,7,3
Albidovulum,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,38,1,45,8
Albimonas,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,5,4
Alcaligenes,Bacteria,Bacteria,Both,Match,Direct_Name,99,1,154,27
Alcanivorax,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,72,1,270,87
Aldersonia,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,4,3
Alexandriicola,Bacteria,Bacteria,Both,Match,Direct_Name,36,1,1,1
Algibacillus,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Algibacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,32,5,70,21
Algicola,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,6,2
Algihabitans,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,5,2
Alginatibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,1,1
Algiphilus,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,19,3
Algisphaera,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,4,3
Algoriella,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,9,2
Algoriphagus,Bacteria,Bacteria,Both,Match,Direct_Name,120,1,164,63
Aliagarivorans,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,2
Aliarcobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,368,1,654,11
Alicycliphilus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,27,1,39,12
Alicyclobacillus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,57,9,75,33
Alienimonas,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,3,3
Aliibacillus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,1
Aliicoccus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,16,2
Aliidiomarina,Bacteria,Bacteria,Both,Match,Direct_Name,27,1,19,15
Aliidongia,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,7,2
Aliiglaciecola,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,15,12
Aliihoeflea,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,6,4
Aliikangiella,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,7,5
Aliiroseovarius,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,57,2,65,38
Aliishimia,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,4,3
Aliivibrio,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,122,1,140,25
Alishewanella,Bacteria,Bacteria,Both,Match,Direct_Name,18,1,25,14
Alistipes,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,5624,2,8527,85
Aliterella,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,5,4
Alitiscatomonas,Bacteria,Bacteria,Both,Match,Direct_Name,264,1,3,2
Alkalibacillus,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,11,8
Alkalibacter,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,5,5
Alkalibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,23,1,33,13
Alkalibaculum,Bacteria,Bacteria,Both,Match,Direct_Name,4,2,6,4
Alkalicella,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Alkalicoccobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,12,4
Alkalicoccus,Bacteria,Bacteria,Both,Match,Direct_Name,9,1,8,7
Alkaliflexus,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,4,3
Alkalihalobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,30,20
Alkalihalobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,6,6
Alkalihalophilus,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,12,4
Alkalilimnicola,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,1,12,4
Alkalimarinus,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,7,3
Alkalimonas,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,10,7
Alkalinema,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,5,1,5,5
Alkaliphilus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,13,5,24,14
Alkalispirochaeta,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,15,5
Alkanindiges,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,5,1,5,4
Allisonella,Bacteria,Bacteria,Both,Match,Direct_Name,20,1,27,2
Alloacidobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,7,2
Alloalcanivorax,Bacteria,Bacteria,Both,Match,Direct_Name,102,1,81,11
Allobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,9,1,10,8
Allobaculum,Bacteria,Bacteria,Both,Match,Direct_Name,64,1,71,7
Allobranchiibius,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,6,5
Allocatelliglobosispora,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Allocoleopsis,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,6,2
Allocoprobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,39,1,1,1
Allofournierella,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,61,1,61,11
Allofrancisella,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,7,3
Allofustis,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Alloiococcus,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,7,2
Allokutzneria,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,6,5
Allomeiothermus,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,4,1
Allonocardiopsis,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Allopontixanthobacter,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,6,3
Alloprevotella,Bacteria,Bacteria,Both,Match,Direct_Name,875,1,309,7
Allorhizobium,Bacteria,Bacteria,Both,Match,Direct_Name,215,1,31,12
Allorhizocola,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,4,2
Allosaccharopolyspora,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Allosalinactinospora,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Alloscardovia,Bacteria,Bacteria,Both,Match,Direct_Name,30,1,48,8
Allosediminivita,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,1
Allosphingosinicella,Bacteria,Bacteria,Both,Match,Direct_Name,41,1,120,4
Allostreptomyces,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Alpinimonas,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,2
Alsobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,6,1,23,6
Alteracholeplasma,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,1,1
Alteraurantiacibacter,Bacteria,Bacteria,Both,Match,Direct_Name,46,1,17,5
Altererythrobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,4,1,74,31
Alteribacillus,Bacteria,Bacteria,Both,Match,Direct_Name,7,2,7,6
Alteribacter,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,6,6
Altericroceibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,4,2,4,4
Alterileibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,2,2
Alterinioella,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,1,1
Alteripontixanthobacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,6,4
Alteriqipengyuania,Bacteria,Bacteria,Both,Match,Direct_Name,38,2,66,6
Alteromonas,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,325,3,494,112
Altibacter,Bacteria,Bacteria,Both,Match,Direct_Name,9,1,9,4
Amantichitinum,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Amaricoccus,Bacteria,Bacteria,Both,Match,Direct_Name,15,1,30,7
Amazonocrinis,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,1,1
Amedibacillus,Bacteria,Bacteria,Both,Match,Direct_Name,14,1,24,3
Amedibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,25,1,17,10
Ameyamaea,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,3,1
Aminicella,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,3,1
Aminiphilus,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,5,3
Aminipila,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,13,5
Aminithiophilus,Bacteria,Bacteria,Both,Match,Direct_Name,12,1,1,1
Aminivibrio,Bacteria,Bacteria,Both,Match,Direct_Name,17,1,18,2
Aminobacter,Bacteria,Bacteria,Both,Match,Direct_Name,26,1,36,21
Aminobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,44,1,62,23
Aminomonas,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,1
Ammonifex,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,4,3
Ammoniphilus,Bacteria,Bacteria,Both,Match,Direct_Name,2,2,6,6
Amnibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,22,8
Amniculibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,2,2
Amorphus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,3,3
Amphibacillus,Bacteria,Bacteria,Both,Match,Direct_Name,8,4,9,9
Amphiplicatus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,8,2
Amphritea,Bacteria,Bacteria,Both,Match,Direct_Name,30,1,33,9
Amycolatopsis,Bacteria,Bacteria,Both,Match,Direct_Name,160,3,313,221
Amylibacter,Bacteria,Bacteria,Both,Match,Direct_Name,89,1,295,6
Amylolactobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,5,2
Anabaena,Bacteria,Bacteria,Both,Match,Direct_Name,12,1,56,42
Anabaenopsis,Bacteria,Bacteria,Both,Match,Direct_Name,13,1,6,5
Anaerobaca,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,21,1,1,1
Anaerobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,31,2,13,10
Anaerobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Anaerobiospirillum,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,37,2,40,12
Anaerobium,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Anaerobranca,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,4,4
Anaerobutyricum,Bacteria,Bacteria,Both,Match,Direct_Name,176,1,222,8
Anaerocaecibacter,Bacteria,Bacteria,Both,Match,Direct_Name,315,1,1,1
Anaerococcus,Bacteria,Bacteria,Both,Match,Direct_Name,131,1,231,45
Anaerocolumna,Bacteria,Bacteria,Both,Match,Direct_Name,44,1,46,12
Anaerofilum,Bacteria,Bacteria,Both,Match,Direct_Name,16,1,22,6
Anaerofustis,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,14,1,22,5
Anaeroglobus,Bacteria,Bacteria,Both,Match,Direct_Name,45,1,20,4
Anaerohalosphaera,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,2,2
Anaerolinea,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,9,1,164,6
Anaeromassilibacillus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,35,1,83,12
Anaeromicrobium,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,2
Anaeromicropila,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,3
Anaeromonas,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,2,2
Anaeromusa,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,5,3
Anaeromyxobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,24,3,86,18
Anaeropeptidivorans,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,1,1
Anaerophaga,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,6,2
Anaeroplasma,Bacteria,Bacteria,Both,Match,Direct_Name,59,1,18,3
