genus,gtdb_domain,ncbi_domain,database_presence,match_status,gtdb_genome_count,gtdb_species_count,ncbi_genome_count,ncbi_species_count,reason_filtered,sample_accessions
RGIG4057,Bacteria,,GTDB_Only,No_Match,481,1,0,0,No verifiable NCBI taxonomy classification,"GCA_948816325.1, GCA_947053895.1, GCA_949383805.1, GCA_948744315.1, GCA_948569605.1"
PALSA-747,Bacteria,,GTDB_Only,No_Match,347,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903868775.1, GCA_903917815.1, GCA_947449965.1, GCA_947450125.1, GCA_903878925.1"
VSOB01,Bacteria,,GTDB_Only,No_Match,324,1,0,0,No verifiable NCBI taxonomy classification,"GCA_022796495.1, GCA_947064495.1, GCA_947645765.1, GCA_947088215.1, GCA_948799295.1"
CAG-170,Bacteria,,GTDB_Only,No_Match,275,1,0,0,No verifiable NCBI taxonomy classification,"GCA_029007455.1, GCA_934668445.1, GCA_934645305.1, GCA_934631005.1, GCA_934615685.1"
CAG-582,Bacteria,,GTDB_Only,No_Match,231,1,0,0,No verifiable NCBI taxonomy classification,"GCA_949060705.1, GCA_949472705.1, GCA_948727785.1, GCA_949435215.1, GCA_947642365.1"
HTCC2207,Bacteria,,GTDB_Only,No_Match,210,1,0,0,No verifiable NCBI taxonomy classification,"GCA_943845925.1, GCA_943789055.1, GCA_905182275.1, GCA_943841225.1, GCA_938084965.1"
CAG-103,Bacteria,,GTDB_Only,No_Match,195,1,0,0,No verifiable NCBI taxonomy classification,"GCA_946187475.1, GCA_958345815.1, GCA_934878385.1, GCA_959028835.1, GCA_934841195.1"
UBA9973,Bacteria,,GTDB_Only,No_Match,192,1,0,0,No verifiable NCBI taxonomy classification,"GCA_001785775.1, GCA_026396065.1, GCA_943350445.1, GCA_028868715.1, GCA_943359465.1"
MGIIa-L1,Archaea,,GTDB_Only,No_Match,182,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002170315.2, GCA_028097745.1, GCA_030828785.1, GCA_029941925.1, GCA_018667055.1"
F23-B02,Bacteria,,GTDB_Only,No_Match,182,1,0,0,No verifiable NCBI taxonomy classification,"GCA_905205965.1, GCA_934629985.1, GCA_001916715.1, GCA_900772805.1, GCA_945628325.1"
UBA1067,Bacteria,,GTDB_Only,No_Match,177,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002363575.1, GCA_002451635.1, GCA_900767325.1, GCA_945487985.1, GCA_945495185.1"
HIMB59,Bacteria,,GTDB_Only,No_Match,161,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902600285.1, GCA_902518505.1, GCA_902617265.1, GCA_902612935.1, GCA_902610175.1"
C7867-001,Bacteria,,GTDB_Only,No_Match,158,1,0,0,No verifiable NCBI taxonomy classification,"GCA_021784815.1, GCA_937879955.1, GCA_027328985.1, GCA_001781625.1, GCA_023267775.1"
UBA183,Archaea,,GTDB_Only,No_Match,154,1,0,0,No verifiable NCBI taxonomy classification,"GCA_023484575.1, GCA_027386695.1, GCA_029785815.1, GCA_028866945.1, GCA_029785335.1"
13-2-20CM-66-19,Bacteria,,GTDB_Only,No_Match,147,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027456625.1, GCA_005878845.1, GCA_027317705.1, GCA_001914695.1, GCA_955652625.1"
Arctic96AD-7,Bacteria,,GTDB_Only,No_Match,140,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002082295.1, GCA_902564345.1, GCA_950072535.1, GCA_937895245.1, GCA_950066495.1"
MS024-2A,Bacteria,,GTDB_Only,No_Match,139,1,0,0,No verifiable NCBI taxonomy classification,"GCA_008081175.1, GCA_017857105.1, GCA_018667315.1, GCA_029248185.1, GCA_029246125.1"
MGBC163016,Bacteria,,GTDB_Only,No_Match,138,1,0,0,No verifiable NCBI taxonomy classification,"GCA_948497855.1, GCA_910588985.1, GCA_948822495.1, GCA_946551805.1, GCA_948504285.1"
MGBC164599,Bacteria,,GTDB_Only,No_Match,136,1,0,0,No verifiable NCBI taxonomy classification,"GCA_948608005.1, GCA_947087515.1, GCA_949004665.1, GCA_949152795.1, GCA_948847645.1"
AG-337-I02,Bacteria,,GTDB_Only,No_Match,131,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902630465.1, GCA_902560725.1, GCA_902590695.1, GCA_902530685.1, GCA_902574475.1"
MGBC161649,Bacteria,,GTDB_Only,No_Match,126,1,0,0,No verifiable NCBI taxonomy classification,"GCA_949014785.1, GCA_948650335.1, GCA_948867525.1, GCA_949473155.1, GCA_948555985.1"
RUG420,Bacteria,,GTDB_Only,No_Match,126,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902776915.1, GCA_902765325.1, GCA_902798275.1, GCA_017614275.1, GCA_902758025.1"
MGBC124762,Bacteria,,GTDB_Only,No_Match,123,1,0,0,No verifiable NCBI taxonomy classification,"GCA_947570125.1, GCA_949878475.1, GCA_948827395.1, GCA_947173465.1, GCA_948719765.1"
UBA7185,Bacteria,,GTDB_Only,No_Match,121,1,0,0,No verifiable NCBI taxonomy classification,"GCA_948693645.1, GCA_948584075.1, GCA_948755275.1, GCA_949497225.1, GCA_948597485.1"
UBA4421,Bacteria,,GTDB_Only,No_Match,116,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002450275.1, GCA_024743175.1, GCA_004213395.1, GCA_949373195.1, GCA_913065065.1"
UBA9611,Bacteria,,GTDB_Only,No_Match,114,1,0,0,No verifiable NCBI taxonomy classification,"GCA_009392645.1, GCA_027250365.1, GCA_950067965.1, GCA_950067055.1, GCA_950073195.1"
F23-D06,Bacteria,,GTDB_Only,No_Match,114,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902758455.1, GCA_002392325.1, GCA_900315705.1, GCA_947165685.1, GCA_902771145.1"
UBA4572,Bacteria,,GTDB_Only,No_Match,113,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027415605.1, GCA_021827365.1, GCA_027415835.1, GCA_027415805.1, GCA_027415255.1"
UBA2868,Bacteria,,GTDB_Only,No_Match,108,1,0,0,No verifiable NCBI taxonomy classification,"GCA_905235745.1, GCA_017620255.1, GCA_946184315.1, GCA_947165025.1, GCA_937896245.1"
JAFLTL01,Bacteria,,GTDB_Only,No_Match,107,1,0,0,No verifiable NCBI taxonomy classification,"GCA_949541435.1, GCA_948707545.1, GCA_029060745.1, GCA_948466005.1, GCA_947425625.1"
TCS55,Bacteria,,GTDB_Only,No_Match,104,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018692975.1, GCA_913020205.1, GCA_018668935.1, GCA_950059105.1, GCA_028817675.1"
UBA4951,Bacteria,,GTDB_Only,No_Match,103,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017542885.1, GCA_946542485.1, GCA_002440125.1, GCA_002296455.1, GCA_017540455.1"
UBA2882,Bacteria,,GTDB_Only,No_Match,103,1,0,0,No verifiable NCBI taxonomy classification,"GCA_949510605.1, GCA_947427735.1, GCA_900548235.1, GCA_949414855.1, GCA_949391425.1"
LD21,Bacteria,,GTDB_Only,No_Match,102,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003154675.1, GCA_003141895.1, GCA_003141475.1, GCA_015712185.1, GCA_903844815.1"
CAIKZZ01,Bacteria,,GTDB_Only,No_Match,101,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903901645.1, GCA_903895245.1, GCA_903841625.1, GCA_903878885.1, GCA_903881185.1"
RUG410,Bacteria,,GTDB_Only,No_Match,98,1,0,0,No verifiable NCBI taxonomy classification,"GCA_937925905.1, GCA_022785225.1, GCA_023454075.1, GCA_934255555.1, GCA_017635595.1"
Marinisoma,Bacteria,,GTDB_Only,No_Match,96,1,0,0,No verifiable NCBI taxonomy classification,"GCA_913045065.1, GCA_902568115.1, GCA_018655745.1, GCA_002450675.1, GCA_902575395.1"
GCA-001856825,Archaea,,GTDB_Only,No_Match,93,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027369095.1, GCA_027369085.1, GCA_027369045.1, GCA_027373715.1, GCA_027373575.1"
MAG-121220-bin8,Bacteria,,GTDB_Only,No_Match,92,1,0,0,No verifiable NCBI taxonomy classification,"GCA_029252065.1, GCA_902554615.1, GCA_004214185.1, GCA_014239275.1, GCA_938088195.1"
MB11C04,Bacteria,,GTDB_Only,No_Match,92,1,0,0,No verifiable NCBI taxonomy classification,"GCA_943788785.1, GCA_002694035.1, GCA_029252505.1, GCA_002167265.1, GCA_028150635.1"
