phylum,domain,phylum_counts,lineage,lineage_ranks,lineage_taxids,taxid
Pseudomonadota,Bacteria,214930,Bacteria;Pseudomonadota,superkingdom;phylum,81602897;1712663402,1712663402.0
Bacillota,Bacteria,178462,Bacteria;Bacillota,superkingdom;phylum,81602897;131003083,131003083.0
Bacteroidota,Bacteria,76591,Bacteria;Bacteroidota,superkingdom;phylum,81602897;504177835,504177835.0
Actinomycetota,Bacteria,44996,Bacteria;Actinomycetota,superkingdom;phylum,81602897;922471546,922471546.0
Campylobacterota,Bacteria,11149,Bacteria;Campylobacterota,superkingdom;phylum,81602897;1536518028,1536518028.0
Patescibacteria,Bacteria,8106,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group,cellular root;domain;no rank;clade;clade,131567;2;2323;1783234;1783273,1783273.0
Verrucomicrobiota,Bacteria,6636,Bacteria;Verrucomicrobiota,superkingdom;phylum,81602897;605906842,605906842.0
Cyanobacteriota,Bacteria,5634,Bacteria;Cyanobacteriota,superkingdom;phylum,81602897;15887558,15887558.0
Desulfobacterota,Bacteria,5381,Bacteria;Desulfobacterota,superkingdom;phylum,81602897;1568916253,1568916253.0
Chloroflexota,Bacteria,4762,Bacteria;Chloroflexota,superkingdom;phylum,81602897;510129959,510129959.0
Spirochaetota,Bacteria,4402,Bacteria;Spirochaetota,superkingdom;phylum,81602897;39784000,39784000.0
Planctomycetota,Bacteria,3814,Bacteria;Planctomycetota,superkingdom;phylum,81602897;678426958,678426958.0
Acidobacteriota,Bacteria,3175,Bacteria;Acidobacteriota,superkingdom;phylum,81602897;884358093,884358093.0
Thermoplasmatota,Archaea,3169,Archaea;Thermoplasmatota,superkingdom;phylum,1337977286;1319660302,1319660302.0
Thermoproteota,Archaea,2535,Archaea;Thermoproteota,superkingdom;phylum,1337977286;1464800560,1464800560.0
Halobacteriota,Archaea,2351,Archaea;Halobacteriota,superkingdom;phylum,1337977286;187206606,187206606.0
Myxococcota,Bacteria,1518,Bacteria;Myxococcota,superkingdom;phylum,81602897;1995082271,1995082271.0
Nanoarchaeota,Archaea,1377,cellular organisms;Archaea;Nanobdellati;Nanobdellota,cellular root;domain;kingdom;phylum,131567;2157;1783276;192989,192989.0
Nitrospirota,Bacteria,1237,Bacteria;Nitrospirota,superkingdom;phylum,81602897;1669227019,1669227019.0
Methanobacteriota,Archaea,1027,Archaea;Methanobacteriota,superkingdom;phylum,1337977286;361030032,361030032.0
Micrarchaeota,Archaea,1009,Archaea;Micrarchaeota,superkingdom;phylum,1337977286;741135215,741135215.0
Gemmatimonadota,Bacteria,988,Bacteria;Gemmatimonadota,superkingdom;phylum,81602897;460251340,460251340.0
Chlamydiota,Bacteria,891,Bacteria;Chlamydiota,superkingdom;phylum,81602897;1417588462,1417588462.0
Marinisomatota,Bacteria,822,Bacteria;Marinisomatota,superkingdom;phylum,81602897;576088655,576088655.0
Omnitrophota,Bacteria,819,Bacteria;Omnitrophota,superkingdom;phylum,81602897;1725231264,1725231264.0
Elusimicrobiota,Bacteria,787,Bacteria;Elusimicrobiota,superkingdom;phylum,81602897;848567609,848567609.0
Bdellovibrionota,Bacteria,772,Bacteria;Bdellovibrionota,superkingdom;phylum,81602897;1668872378,1668872378.0
Fusobacteriota,Bacteria,695,Bacteria;Fusobacteriota,superkingdom;phylum,81602897;1100026331,1100026331.0
Deferribacterota,Bacteria,613,cellular organisms;Bacteria;Pseudomonadati;Deferribacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;200930,200930.0
Armatimonadota,Bacteria,523,Bacteria;Armatimonadota,superkingdom;phylum,81602897;386011820,386011820.0
Synergistota,Bacteria,511,Bacteria;Synergistota,superkingdom;phylum,81602897;265651168,265651168.0
Deinococcota,Bacteria,485,Bacteria;Deinococcota,superkingdom;phylum,81602897;636856615,636856615.0
Asgardarchaeota,Archaea,409,Archaea;Asgardarchaeota,superkingdom;phylum,1337977286;613311890,613311890.0
Fibrobacterota,Bacteria,381,Bacteria;Fibrobacterota,superkingdom;phylum,81602897;31572563,31572563.0
Thermotogota,Bacteria,340,Bacteria;Thermotogota,superkingdom;phylum,81602897;680329844,680329844.0
Eremiobacterota,Bacteria,335,cellular organisms;Bacteria;Bacillati;Vulcanimicrobiota,cellular root;domain;kingdom;phylum,131567;2;1783272;1154676,1154676.0
Cloacimonadota,Bacteria,313,Bacteria;Cloacimonadota,superkingdom;phylum,81602897;397599777,397599777.0
SAR324,Bacteria,252,Bacteria;SAR324,superkingdom;phylum,81602897;75294333,1046905630.0
Nitrospinota,Bacteria,218,Bacteria;Nitrospinota,superkingdom;phylum,81602897;2117111837,2117111837.0
Aquificota,Bacteria,216,Bacteria;Aquificota,superkingdom;phylum,81602897;2135047596,2135047596.0
WOR-3,Bacteria,206,Bacteria;WOR-3,superkingdom;phylum,81602897;181805123,357330013.0
Aenigmatarchaeota,Archaea,204,Archaea;Aenigmatarchaeota,superkingdom;phylum,1337977286;1072557490,1072557490.0
Bipolaricaulota,Bacteria,176,Bacteria;Bipolaricaulota,superkingdom;phylum,81602897;1875858204,1875858204.0
Zixibacteria,Bacteria,169,Bacteria;Zixibacteria,superkingdom;phylum,81602897;1019969701,1019969701.0
Latescibacterota,Bacteria,168,Bacteria;Latescibacterota,superkingdom;phylum,81602897;1408694990,1408694990.0
SZUA-79,Bacteria,167,Bacteria;SZUA-79,superkingdom;phylum,81602897;175319153,1097170645.0
Dependentiae,Bacteria,166,Bacteria;Dependentiae,domain;phylum,,
Margulisbacteria,Bacteria,147,Bacteria;Margulisbacteria,superkingdom;phylum,81602897;134569813,134569813.0
Methylomirabilota,Bacteria,146,Bacteria;Methylomirabilota,superkingdom;phylum,81602897;589118728,589118728.0
Poribacteria,Bacteria,143,Bacteria;Poribacteria,superkingdom;phylum,81602897;1494688134,1494688134.0
Iainarchaeota,Archaea,132,Archaea;Iainarchaeota,superkingdom;phylum,1337977286;395318807,395318807.0
Krumholzibacteriota,Bacteria,129,Bacteria;Krumholzibacteriota,superkingdom;phylum,81602897;506095882,506095882.0
Hydrogenedentota,Bacteria,103,Bacteria;Hydrogenedentota,superkingdom;phylum,81602897;2109746193,2109746193.0
Caldisericota,Bacteria,101,Bacteria;Caldisericota,superkingdom;phylum,81602897;364811340,364811340.0
KSB1,Bacteria,100,Bacteria;KSB1,domain;phylum,,
Atribacterota,Bacteria,91,Bacteria;Atribacterota,superkingdom;phylum,81602897;1192338416,1192338416.0
UBA10199,Bacteria,74,Bacteria;UBA10199,superkingdom;phylum,81602897;377335207,1956990809.0
Calditrichota,Bacteria,69,Bacteria;Calditrichota,superkingdom;phylum,81602897;332532474,332532474.0
Fermentibacterota,Bacteria,68,Bacteria;Fermentibacterota,superkingdom;phylum,81602897;8280843,8280843.0
Eisenbacteria,Bacteria,62,Bacteria;Eisenbacteria,superkingdom;phylum,81602897;1574484843,1574484843.0
Ratteibacteria,Bacteria,58,Bacteria;Ratteibacteria,superkingdom;phylum,81602897;220880148,220880148.0
Altiarchaeota,Archaea,58,Archaea;Altiarchaeota,superkingdom;phylum,1337977286;126926761,126926761.0
Electryoneota,Bacteria,56,Bacteria;Electryoneota,superkingdom;phylum,81602897;1531611064,1531611064.0
Sumerlaeota,Bacteria,53,Bacteria;Sumerlaeota,superkingdom;phylum,81602897;2009498236,2009498236.0
Riflebacteria,Bacteria,49,Bacteria;Riflebacteria,domain;phylum,,
CSP1-3,Bacteria,44,Bacteria;CSP1-3,domain;phylum,,
EX4484-52,Archaea,44,Archaea;EX4484-52,superkingdom;phylum,1337977286;1942934023,1942934023.0
UBA8248,Bacteria,43,Bacteria;UBA8248,superkingdom;phylum,81602897;1301243328,1662758038.0
Firestonebacteria,Bacteria,43,Bacteria;Firestonebacteria,superkingdom;phylum,81602897;99333900,99333900.0
UBP6,Bacteria,39,Bacteria;UBP6,superkingdom;phylum,81602897;1773410286,1773410286.0
Nanohaloarchaeota,Archaea,38,Archaea;Nanohaloarchaeota,domain;phylum,,
JAAXHH01,Bacteria,37,Bacteria;JAAXHH01,superkingdom;phylum,81602897;161715118,1478888648.0
Aerophobota,Bacteria,35,Bacteria;Aerophobota,superkingdom;phylum,81602897;389208786,389208786.0
Hydrothermarchaeota,Archaea,35,Archaea;Hydrothermarchaeota,superkingdom;phylum,1337977286;1874956389,1874956389.0
Hadarchaeota,Archaea,34,Archaea;Hadarchaeota,superkingdom;phylum,1337977286;2074874654,2074874654.0
Delongbacteria,Bacteria,34,Bacteria;Delongbacteria,domain;phylum,,
VGIX01,Bacteria,33,Bacteria;Joyebacterota,superkingdom;phylum,81602897;310769618,1300699998.0
JAMCPX01,Bacteria,31,Bacteria;JAMCPX01,superkingdom;phylum,81602897;881630995,1793731147.0
Hinthialibacterota,Bacteria,29,Bacteria;Hinthialibacterota,superkingdom;phylum,81602897;481250782,481250782.0
Edwardsbacteria,Bacteria,28,Bacteria;Edwardsbacteria,superkingdom;phylum,81602897;1185576985,1185576985.0
UBA9089,Bacteria,25,Bacteria;UBA9089,superkingdom;phylum,81602897;431966229,1084981032.0
CG03,Bacteria,25,Bacteria;CG03,superkingdom;phylum,81602897;1442529710,1442529710.0
UBA6262,Bacteria,23,Bacteria;UBA6262,superkingdom;phylum,81602897;237476993,1916637993.0
UBA3054,Bacteria,22,Bacteria;UBA3054,superkingdom;phylum,81602897;294054864,1766246859.0
DTU030,Bacteria,21,Bacteria;Bacillota,superkingdom;phylum,81602897;131003083,1069586731.0
B1Sed10-29,Archaea,21,Archaea;B1Sed10-29,superkingdom;phylum,1337977286;1407021021,2059189029.0
UBP14,Bacteria,20,Bacteria;UBP14,superkingdom;phylum,81602897;83836613,83836613.0
Thermosulfidibacterota,Bacteria,18,Bacteria;Thermosulfidibacterota,superkingdom;phylum,81602897;1976045203,1976045203.0
JdFR-76,Bacteria,18,Bacteria;Zhuqueibacterota,superkingdom;phylum,81602897;807627558,1290011739.0
Dictyoglomota,Bacteria,16,Bacteria;Dictyoglomota,superkingdom;phylum,81602897;847586293,847586293.0
Goldbacteria,Bacteria,15,Bacteria;Goldbacteria,superkingdom;phylum,81602897;1271365150,1271365150.0
RBG-13-66-14,Bacteria,15,Bacteria;RBG-13-66-14,superkingdom;phylum,81602897;774941538,902989803.0
BMS3Abin14,Bacteria,15,Bacteria;BMS3Abin14,superkingdom;phylum,81602897;1762881460,1762881460.0
Coprothermobacterota,Bacteria,14,Bacteria;Coprothermobacterota,superkingdom;phylum,81602897;245980837,245980837.0
QNDG01,Bacteria,14,Bacteria;Zhuqueibacterota,superkingdom;phylum,81602897;807627558,1990059589.0
4484-113,Bacteria,13,Bacteria;4484-113,superkingdom;phylum,81602897;53569094,2112131597.0
TA06,Bacteria,13,Bacteria;TA06,superkingdom;phylum,81602897;1229419431,1229419431.0
CG2-30-53-67,Bacteria,12,Bacteria;CG2-30-53-67,superkingdom;phylum,81602897;47144567,1961181379.0
SpSt-1190,Archaea,12,Archaea;SpSt-1190,superkingdom;phylum,1337977286;308274672,1967949164.0
CAIJMQ01,Bacteria,12,Bacteria;CAIJMQ01,superkingdom;phylum,81602897;2046579204,2046579204.0
JAGLYR01,Bacteria,11,Bacteria;Arandabacterota,superkingdom;phylum,81602897;2126172471,1017695016.0
NPL-UPA2,Bacteria,11,Bacteria;NPL-UPA2,superkingdom;phylum,81602897;975611785,1939425158.0
CLD3,Bacteria,11,Bacteria;CLD3,superkingdom;phylum,81602897;667527700,2071097096.0
CG2-30-70-394,Bacteria,11,Bacteria;CG2-30-70-394,superkingdom;phylum,81602897;107270983,1647306078.0
