phylum,domain,phylum_counts,taxid,lineage,lineage_ranks,lineage_taxids
Pseudomonadota,Bacteria,1480377,1224,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota,cellular root;domain;kingdom;phylum,131567;2;3379134;1224
Bacillota,Bacteria,605378,1239,cellular organisms;Bacteria;Bacillati;Bacillota,cellular root;domain;kingdom;phylum,131567;2;1783272;1239
Campylobacterota,Bacteria,149466,29547,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;29547
Bacteroidota,Bacteria,120577,976,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota,cellular root;domain;kingdom;clade;clade;phylum,131567;2;3379134;1783270;68336;976
Actinomycetota,Bacteria,95708,201174,cellular organisms;Bacteria;Bacillati;Actinomycetota,cellular root;domain;kingdom;phylum,131567;2;1783272;201174
Chloroflexota,Bacteria,14682,200795,cellular organisms;Bacteria;Bacillati;Chloroflexota,cellular root;domain;kingdom;phylum,131567;2;1783272;200795
Acidobacteriota,Bacteria,12455,57723,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota,cellular root;domain;kingdom;phylum,131567;2;3379134;57723
Verrucomicrobiota,Bacteria,12194,74201,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783257;74201
Planctomycetota,Bacteria,10360,203682,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783257;203682
Thermodesulfobacteriota,Bacteria,8493,200940,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota,cellular root;domain;kingdom;phylum,131567;2;3379134;200940
Spirochaetota,Bacteria,7841,203691,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota,cellular root;domain;kingdom;phylum,131567;2;3379134;203691
Methanobacteriota,Archaea,7771,28890,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota,cellular root;domain;kingdom;phylum,131567;2157;3366610;28890
Cyanobacteriota,Bacteria,7688,1117,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota,cellular root;domain;kingdom;clade;phylum,131567;2;1783272;1798711;1117
Candidatus Saccharibacteria,Bacteria,6835,95818,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Saccharibacteria,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;95818
Myxococcota,Bacteria,5787,2818505,cellular organisms;Bacteria;Pseudomonadati;Myxococcota,cellular root;domain;kingdom;phylum,131567;2;3379134;2818505
Thermoplasmatota,Archaea,5584,2283796,cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota,cellular root;domain;kingdom;phylum,131567;2157;3366610;2283796
Mycoplasmatota,Bacteria,5182,544448,cellular organisms;Bacteria;Bacillati;Mycoplasmatota,cellular root;domain;kingdom;phylum,131567;2;1783272;544448
Gemmatimonadota,Bacteria,4545,142182,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;142182
Nitrososphaerota,Archaea,3748,651137,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota,cellular root;domain;kingdom;phylum,131567;2157;1783275;651137
Nitrospirota,Bacteria,3039,40117,cellular organisms;Bacteria;Pseudomonadati;Nitrospirota,cellular root;domain;kingdom;phylum,131567;2;3379134;40117
Thermoproteota,Archaea,2576,28889,cellular organisms;Archaea;Thermoproteati;Thermoproteota,cellular root;domain;kingdom;phylum,131567;2157;1783275;28889
Bdellovibrionota,Bacteria,2013,3018035,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota,cellular root;domain;kingdom;phylum,131567;2;3379134;3018035
Candidatus Bathyarchaeota,Archaea,1726,928852,cellular organisms;Archaea;Thermoproteati;Candidatus Bathyarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783275;928852
Candidatus Omnitrophota,Bacteria,1683,67812,cellular organisms;Bacteria;Pseudomonadati;PVC group;Candidatus Omnitrophota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783257;67812
Ignavibacteriota,Bacteria,1582,1134404,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Ignavibacteriota,cellular root;domain;kingdom;clade;clade;phylum,131567;2;3379134;1783270;68336;1134404
Candidatus Woesearchaeota,Archaea,1542,1801616,cellular organisms;Archaea;Nanobdellati;Candidatus Woesearchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783276;1801616
Candidatus Micrarchaeota,Archaea,1532,1801631,cellular organisms;Archaea;Nanobdellati;Candidatus Micrarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783276;1801631
Fusobacteriota,Bacteria,1475,32066,cellular organisms;Bacteria;Fusobacteriati;Fusobacteriota,cellular root;domain;kingdom;phylum,131567;2;3384189;32066
Candidatus Paceibacterota,Bacteria,1421,1752724,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Paceibacterota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752724
Chlamydiota,Bacteria,1410,204428,cellular organisms;Bacteria;Pseudomonadati;PVC group;Chlamydiota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783257;204428
Fidelibacterota,Bacteria,1358,62680,cellular organisms;Bacteria;Pseudomonadati;FCB group;Fidelibacterota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;62680
Elusimicrobiota,Bacteria,1190,74152,cellular organisms;Bacteria;Pseudomonadati;Elusimicrobiota,cellular root;domain;kingdom;phylum,131567;2;3379134;74152
Armatimonadota,Bacteria,1170,67819,cellular organisms;Bacteria;Bacillati;Armatimonadota,cellular root;domain;kingdom;phylum,131567;2;1783272;67819
Candidatus Melainabacteria,Bacteria,1120,1798710,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Candidatus Melainabacteria,cellular root;domain;kingdom;clade;phylum,131567;2;1783272;1798711;1798710
Lentisphaerota,Bacteria,1031,256845,cellular organisms;Bacteria;Pseudomonadati;PVC group;Lentisphaerota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783257;256845
Synergistota,Bacteria,954,508458,cellular organisms;Bacteria;Thermotogati;Synergistota,cellular root;domain;kingdom;phylum,131567;2;3384194;508458
Deferribacterota,Bacteria,942,200930,cellular organisms;Bacteria;Pseudomonadati;Deferribacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;200930
Candidatus Peregrinibacteriota,Bacteria,853,1619053,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Peregrinibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1619053
Deinococcota,Bacteria,824,1297,cellular organisms;Bacteria;Thermotogati;Deinococcota,cellular root;domain;kingdom;phylum,131567;2;3384194;1297
Chlorobiota,Bacteria,813,1090,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Chlorobiota,cellular root;domain;kingdom;clade;clade;phylum,131567;2;3379134;1783270;68336;1090
Candidatus Cloacimonadota,Bacteria,768,456828,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Cloacimonadota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;456828
