Name_to_use,taxid,otu_count,otu_percentage,size_count,size_percentage,lineage,lineage_ranks,lineage_taxids
Pseudomonadota,1224,53653,20.45,308380,25.82,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota,cellular root;domain;kingdom;phylum,131567;2;3379134;1224
Bacillota,1239,49858,19.0,173190,14.5,cellular organisms;Bacteria;Bacillati;Bacillota,cellular root;domain;kingdom;phylum,131567;2;1783272;1239
Bacteroidota,976,31180,11.89,133133,11.15,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota,cellular root;domain;kingdom;clade;clade;phylum,131567;2;3379134;1783270;68336;976
Actinomycetota,201174,15932,6.07,109549,9.17,cellular organisms;Bacteria;Bacillati;Actinomycetota,cellular root;domain;kingdom;phylum,131567;2;1783272;201174
Chloroflexota,200795,13210,5.04,58834,4.93,cellular organisms;Bacteria;Bacillati;Chloroflexota,cellular root;domain;kingdom;phylum,131567;2;1783272;200795
Planctomycetota,203682,13119,5.0,44891,3.76,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783257;203682
Verrucomicrobiota,74201,10214,3.89,45775,3.83,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783257;74201
Mitochondria,NA,9617,3.67,41965,3.51,,,
Acidobacteriota,57723,9124,3.48,44683,3.74,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota,cellular root;domain;kingdom;phylum,131567;2;3379134;57723
Thermodesulfobacteriota,200940,6209,2.37,25872,2.17,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota,cellular root;domain;kingdom;phylum,131567;2;3379134;200940
Patescibacteria,1783273,5626,2.14,17253,1.44,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group,cellular root;domain;no rank;clade;clade,131567;2;2323;1783234;1783273
Bacteria.U.phylum,629395,4221,1.61,19550,1.64,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Phasmatodea;Verophasmatodea;Anareolatae;Diapheromeridae;Diapheromerinae;Diapheromerini;Bacteria Latreille et al. 1825;Bacteria.U.phylum,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;clade;subclass;infraclass;cohort;order;suborder;infraorder;family;subfamily;tribe;genus;original_name,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33341;7020;213547;523720;409189;524135;524136;629395;629395
Myxococcota,2818505,3648,1.39,15086,1.26,cellular organisms;Bacteria;Pseudomonadati;Myxococcota,cellular root;domain;kingdom;phylum,131567;2;3379134;2818505
Euryarchaeota,28890,3600,1.37,18821,1.58,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota,cellular root;domain;kingdom;phylum,131567;2157;3366610;28890
Spirochaetota,203691,3573,1.36,12265,1.03,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota,cellular root;domain;kingdom;phylum,131567;2;3379134;203691
Chloroplast,NA,3414,1.3,15853,1.33,,,
Nanoarchaeota,192989,3178,1.21,9061,0.76,cellular organisms;Archaea;Nanobdellati;Nanobdellota,cellular root;domain;kingdom;phylum,131567;2157;1783276;192989
Bdellovibrionota,3018035,2646,1.01,8064,0.68,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota,cellular root;domain;kingdom;phylum,131567;2;3379134;3018035
Gemmatimonadota,142182,2576,0.98,11870,0.99,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;142182
Cyanobacteriota,1117,2484,0.95,12888,1.08,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota,cellular root;domain;kingdom;clade;phylum,131567;2;1783272;1798711;1117
Campylobacterota,29547,2352,0.9,9638,0.81,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota,cellular root;domain;kingdom;phylum,131567;2;3379134;29547
Mycoplasmatota,544448,1523,0.58,5996,0.5,cellular organisms;Bacteria;Bacillati;Mycoplasmatota,cellular root;domain;kingdom;phylum,131567;2;1783272;544448
Armatimonadota,67819,1473,0.56,5017,0.42,cellular organisms;Bacteria;Bacillati;Armatimonadota,cellular root;domain;kingdom;phylum,131567;2;1783272;67819
Nitrososphaerota,651137,1458,0.56,10698,0.9,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota,cellular root;domain;kingdom;phylum,131567;2157;1783275;651137
Nitrospirota,40117,1216,0.46,6479,0.54,cellular organisms;Bacteria;Pseudomonadati;Nitrospirota,cellular root;domain;kingdom;phylum,131567;2;3379134;40117
Fusobacteriota,32066,728,0.28,3793,0.32,cellular organisms;Bacteria;Fusobacteriati;Fusobacteriota,cellular root;domain;kingdom;phylum,131567;2;3384189;32066
Fibrobacterota,65842,723,0.28,2395,0.2,cellular organisms;Bacteria;Pseudomonadati;FCB group;Fibrobacterota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;65842
