Name_to_use,taxid,otu_count,otu_percentage,size_count,size_percentage,lineage,lineage_ranks,lineage_taxids
Lachnospiraceae,186803,12280,4.68,29811,2.5,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;3085636;186803
Oscillospiraceae,216572,5753,2.19,16512,1.38,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;186802;216572
Clostridia.U.family,186801,5378,2.05,13639,1.14,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Clostridia.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;1239;186801;186801
Verrucomicrobiota.U.family,74201,5114,1.95,15199,1.27,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiota.U.family,cellular root;domain;kingdom;clade;phylum;original_name,131567;2;3379134;1783257;74201;74201
Bacillaceae,186817,4810,1.83,22660,1.9,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;91061;1385;186817
Bacteria.U.family,629395,4221,1.61,19550,1.64,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Phasmatodea;Verophasmatodea;Anareolatae;Diapheromeridae;Diapheromerinae;Diapheromerini;Bacteria Latreille et al. 1825;Bacteria.U.family,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;clade;subclass;infraclass;cohort;order;suborder;infraorder;family;subfamily;tribe;genus;original_name,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33341;7020;213547;523720;409189;524135;524136;629395;629395
Alphaproteobacteria.U.family,28211,4185,1.6,24462,2.05,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Alphaproteobacteria.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;3379134;1224;28211;28211
Gammaproteobacteria.U.family,1236,3688,1.41,17379,1.45,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;3379134;1224;1236;1236
Flavobacteriaceae,49546,3630,1.38,18399,1.54,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;117743;200644;49546
Acidobacteriota.U.family,57723,3109,1.19,16434,1.38,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Acidobacteriota.U.family,cellular root;domain;kingdom;phylum;original_name,131567;2;3379134;57723;57723
Microgenomatia.U.family,NA,2959,1.13,8761,0.73,Microgenomatia.U.family,original_name,NA
Anaerolineae.U.family,292625,2905,1.11,9688,0.81,cellular organisms;Bacteria;Bacillati;Chloroflexota;Anaerolineae;Anaerolineae.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;200795;292625;292625
Pirellulaceae,2691357,2878,1.1,10097,0.85,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;203682;203683;2691354;2691357
Planctomycetota.U.family,203682,2873,1.1,9782,0.82,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetota.U.family,cellular root;domain;kingdom;clade;phylum;original_name,131567;2;3379134;1783257;203682;203682
Prevotellaceae,171552,2810,1.07,8135,0.68,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;171552
Dehalococcoidia.U.family,301297,2599,0.99,11333,0.95,cellular organisms;Bacteria;Bacillati;Chloroflexota;Dehalococcoidia;Dehalococcoidia.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;200795;301297;301297
Anaerolineaceae,292628,2466,0.94,12800,1.07,cellular organisms;Bacteria;Bacillati;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;200795;292625;292629;292628
Pseudomonadaceae,135621,2409,0.92,13628,1.14,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;72274;135621
Bacteroidales.U.family,171549,2210,0.84,6840,0.57,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales.U.family,cellular root;domain;kingdom;clade;clade;phylum;class;order;original_name,131567;2;3379134;1783270;68336;976;200643;171549;171549
Chitinophagaceae,563835,2015,0.77,10370,0.87,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;1853228;1853229;563835
Enterobacteriaceae,543,1996,0.76,23615,1.98,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;91347;543
Verrucomicrobiae.U.family,203494,1914,0.73,10005,0.84,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiae.U.family,cellular root;domain;kingdom;clade;phylum;class;original_name,131567;2;3379134;1783257;74201;203494;203494
Rikenellaceae,171550,1913,0.73,5299,0.44,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;171550
Christensenellaceae,990719,1852,0.71,4396,0.37,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Christensenellales;Christensenellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;3082768;990719
Clostridiaceae,31979,1843,0.7,8212,0.69,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;186802;31979
Chloroflexota.U.family,200795,1816,0.69,14646,1.23,cellular organisms;Bacteria;Bacillati;Chloroflexota;Chloroflexota.U.family,cellular root;domain;kingdom;phylum;original_name,131567;2;1783272;200795;200795
Spirochaetaceae,137,1799,0.69,5941,0.5,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;203691;203692;136;137
Bacteroidota.U.family,976,1737,0.66,9120,0.76,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidota.U.family,cellular root;domain;kingdom;clade;clade;phylum;original_name,131567;2;3379134;1783270;68336;976;976
Phycisphaerae.U.family,666505,1714,0.65,4606,0.39,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Phycisphaerae;Phycisphaerae.U.family,cellular root;domain;kingdom;clade;phylum;class;original_name,131567;2;3379134;1783257;203682;666505;666505
ABY1.U.family,NA,1711,0.65,5467,0.46,ABY1.U.family,original_name,NA
Muribaculaceae,2005473,1547,0.59,3396,0.28,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;171549;2005473
Streptococcaceae,1300,1499,0.57,9958,0.83,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;91061;186826;1300
Gemmatimonadaceae,219687,1494,0.57,8126,0.68,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783270;142182;219685;219686;219687
Comamonadaceae,80864,1468,0.56,9527,0.8,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;80840;80864
Gemmataceae,1914233,1447,0.55,3701,0.31,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;203682;203683;2691355;1914233
Acidimicrobiia.U.family,84992,1406,0.54,10022,0.84,cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiia.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;201174;84992;84992
Sphingomonadaceae,41297,1382,0.53,8519,0.71,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204457;41297
