Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Opisthokonta,33154,24345,158758,cellular organisms;Eukaryota;Opisthokonta,cellular root;domain;clade,131567;2759;33154
Eukaryota.U.division,2759,9333,39360,cellular organisms;Eukaryota;Eukaryota.U.division,cellular root;domain;original_name,131567;2759;2759
Alveolata,33630,9042,60488,cellular organisms;Eukaryota;Sar;Alveolata,cellular root;domain;clade;clade,131567;2759;2698737;33630
Discoba,2611352,5496,21089,cellular organisms;Eukaryota;Discoba,cellular root;domain;clade,131567;2759;2611352
Rhizaria,543769,5126,24072,cellular organisms;Eukaryota;Sar;Rhizaria,cellular root;domain;clade;clade,131567;2759;2698737;543769
Amoebozoa.U.division,554915,4214,15143,cellular organisms;Eukaryota;Amoebozoa;Amoebozoa.U.division,cellular root;domain;clade;original_name,131567;2759;554915;554915
Stramenopiles,33634,3668,24799,cellular organisms;Eukaryota;Sar;Stramenopiles,cellular root;domain;clade;clade,131567;2759;2698737;33634
Evosea,2605435,2431,13475,cellular organisms;Eukaryota;Amoebozoa;Evosea,cellular root;domain;clade;phylum,131567;2759;554915;2605435
Streptophyta,35493,2252,16099,cellular organisms;Eukaryota;Viridiplantae;Streptophyta,cellular root;domain;kingdom;phylum,131567;2759;33090;35493
Chlorophyta,3041,1505,14229,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta,cellular root;domain;kingdom;phylum,131567;2759;33090;3041
Tubulinea,555369,1323,4810,cellular organisms;Eukaryota;Amoebozoa;Tubulinea,cellular root;domain;clade;phylum,131567;2759;554915;555369
Metamonada,2611341,573,3242,cellular organisms;Eukaryota;Metamonada,cellular root;domain;clade,131567;2759;2611341
TSAR.U.division,NA,509,1675,TSAR.U.division,original_name,NA
Discosea,555280,399,1365,cellular organisms;Eukaryota;Amoebozoa;Discosea,cellular root;domain;clade;phylum,131567;2759;554915;555280
Archaeplastida.U.division,NA,342,1480,Archaeplastida.U.division,original_name,NA
Centroplasthelida,193537,185,530,cellular organisms;Eukaryota;Haptista;Centroplasthelida,cellular root;domain;clade;class,131567;2759;2608109;193537
Rigifilida,1237875,79,246,cellular organisms;Eukaryota;CRuMs;Rigifilida,cellular root;domain;clade;order,131567;2759;2608240;1237875
Picozoa,419944,51,366,cellular organisms;Eukaryota;Eukaryota incertae sedis;Picozoa,cellular root;domain;no rank;phylum,131567;2759;2683617;419944
Hemimastigophora,2489521,20,81,cellular organisms;Eukaryota;Hemimastigophora,cellular root;domain;phylum,131567;2759;2489521
Nibbleridia,3004207,3,11,cellular organisms;Eukaryota;Provora;Nibbleridia,cellular root;domain;clade;phylum,131567;2759;3004206;3004207
Rhodophyta,2763,2,21,cellular organisms;Eukaryota;Rhodophyta,cellular root;domain;phylum,131567;2759;2763
Nebulidia,3004449,1,3,cellular organisms;Eukaryota;Provora;Nebulidia,cellular root;domain;clade;phylum,131567;2759;3004206;3004449
