Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Eukaryota.U.genus,2759,9333,39360,cellular organisms;Eukaryota;Eukaryota.U.genus,cellular root;domain;original_name,131567;2759;2759
Metazoa.U.genus,33208,4480,25091,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Metazoa.U.genus,cellular root;domain;clade;kingdom;original_name,131567;2759;33154;33208;33208
Amoebozoa.U.genus,554915,4214,15143,cellular organisms;Eukaryota;Amoebozoa;Amoebozoa.U.genus,cellular root;domain;clade;original_name,131567;2759;554915;554915
Insecta.U.genus,50557,2513,16928,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Insecta.U.genus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;original_name,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;50557
Mastigamoeba,81099,1609,10879,cellular organisms;Eukaryota;Amoebozoa;Evosea;Archamoebae;Mastigamoebida;Mastigamoebidae;Mastigamoeba,cellular root;domain;clade;phylum;clade;order;family;genus,131567;2759;554915;2605435;555406;2682482;174815;81099
Embryophyceae_XX.U.genus,NA,1535,7457,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Embryophyceae_XX.U.genus,clade;genus,131567;2759;33090;35493;131221;3193;NA
Euglenida.U.genus,3035,1526,5350,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Euglenida.U.genus,cellular root;domain;clade;phylum;class;original_name,131567;2759;2611352;33682;3035;3035
Nematoda.U.genus,6231,1163,5960,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Nematoda.U.genus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;phylum;original_name,131567;2759;33154;33208;6072;33213;33317;1206794;6231;6231
Cercozoa.U.genus,136419,1152,3275,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Cercozoa.U.genus,cellular root;domain;clade;clade;phylum;original_name,131567;2759;2698737;543769;136419;136419
Fungi.U.genus,4751,1112,2638,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi.U.genus,cellular root;domain;clade;kingdom;original_name,131567;2759;33154;4751;4751
Dinophyceae.U.genus,2864,1090,4487,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Dinophyceae.U.genus,cellular root;domain;clade;clade;class;original_name,131567;2759;2698737;33630;2864;2864
Stramenopiles.U.genus,33634,1038,7804,cellular organisms;Eukaryota;Sar;Stramenopiles;Stramenopiles.U.genus,cellular root;domain;clade;clade;original_name,131567;2759;2698737;33634;33634
Pezizomycotina.U.genus,147538,987,5074,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Pezizomycotina.U.genus,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;original_name,131567;2759;33154;4751;451864;4890;716545;147538;147538
Heterolobosea.U.genus,5752,896,4751,cellular organisms;Eukaryota;Discoba;Heterolobosea;Heterolobosea.U.genus,cellular root;domain;clade;phylum;original_name,131567;2759;2611352;5752;5752
Platyhelminthes.U.genus,6157,851,2920,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Platyhelminthes.U.genus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;original_name,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6157
Gyrista.U.genus,NA,833,3060,cellular organisms;Eukaryota;Sar;Gyrista.U.genus,clade;genus,131567;2759;2698737;NA
Ciliophora.U.genus,5878,803,4342,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Ciliophora.U.genus,cellular root;domain;clade;clade;phylum;original_name,131567;2759;2698737;33630;5878;5878
Stylonychia,5948,800,7715,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Stichotrichia;Sporadotrichida;Oxytrichidae;Stylonychinae;Stylonychia,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;order;family;subfamily;genus,131567;2759;2698737;33630;5878;431838;33829;194286;693921;57506;1001748;5948
Opisthokonta.U.genus,33154,687,3638,cellular organisms;Eukaryota;Opisthokonta;Opisthokonta.U.genus,cellular root;domain;clade;original_name,131567;2759;33154;33154
Agaricomycetes.U.genus,155619,665,4615,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes.U.genus,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class;original_name,131567;2759;33154;4751;451864;5204;5302;155619;155619
Dino-Group-II.U.genus,NA,657,2568,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Dino-Group-II.U.genus,class;genus,131567;2759;2698737;33630;2864;NA
Flectomonas,1938442,639,3724,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Glissomonadida;Sandonidae;Flectomonas,cellular root;domain;clade;clade;phylum;order;family;genus,131567;2759;2698737;543769;136419;1238681;2586441;1938442
Dino-Group-II-Clade-7_X,NA,547,1828,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Dino-Group-II-Clade-7_X,class;genus,131567;2759;2698737;33630;2864;NA
Dothideomycetes.U.genus,147541,539,2447,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetes.U.genus,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class;original_name,131567;2759;33154;4751;451864;4890;716545;147538;716546;715962;147541;147541
Chytridiomycota.U.genus,4761,530,1528,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota.U.genus,cellular root;domain;clade;kingdom;no rank;phylum;original_name,131567;2759;33154;4751;112252;4761;4761
TSAR.U.genus,NA,509,1675,cellular organisms;Eukaryota;Sar;TSAR.U.genus,clade;genus,131567;2759;2698737;NA
