division,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Pseudomonadota,1224,53653,308380,20.45,25.82,1663258,37705,56.1,36.78,0,0,37705,0,37705,matched,Bacteria,1546434,92.98,1.423,0.703
Bacillota,1239,49858,173190,19.0,14.5,676376,16208,22.81,15.81,0,0,16208,0,16208,matched,Bacteria,518800,76.7,3.076,0.325
Campylobacterota,29547,2352,9638,0.9,0.81,166606,774,5.62,0.75,0,0,774,0,774,matched,Bacteria,161872,97.16,3.039,0.329
Bacteroidota,976,31180,133133,11.89,11.15,130948,7666,4.42,7.48,0,0,7666,0,7666,matched,Bacteria,19099,14.59,4.067,0.246
Actinomycetota,201174,15932,109549,6.07,9.17,108031,20007,3.64,19.52,0,0,20007,0,20007,matched,Bacteria,58897,54.52,0.796,1.256
Archaea.U.phylum,2157,30,87,0.01,0.01,34539,3433,1.17,3.35,0,0,3433,0,3433,matched,Archaea,3220,9.32,0.009,114.433
Chloroflexota,200795,13210,58834,5.04,4.93,17392,726,0.59,0.71,0,0,726,0,726,matched,Bacteria,976,5.61,18.196,0.055
Acidobacteriota,57723,9124,44683,3.48,3.74,14863,377,0.5,0.37,0,0,377,0,377,matched,Bacteria,371,2.5,24.202,0.041
Verrucomicrobiota,74201,10214,45775,3.89,3.83,13334,618,0.45,0.6,0,0,618,0,618,matched,Bacteria,1182,8.86,16.528,0.061
Planctomycetota,203682,13119,44891,5.0,3.76,11876,538,0.4,0.52,0,0,538,0,538,matched,Bacteria,502,4.23,24.385,0.041
Patescibacteria,1783273,5626,17253,2.14,1.44,10971,2859,0.37,2.79,0,0,2859,0,2859,matched,Bacteria,343,3.13,1.968,0.508
Thermodesulfobacteriota,200940,6209,25872,2.37,2.17,10936,953,0.37,0.93,0,0,953,0,953,matched,Bacteria,1007,9.21,6.515,0.153
Euryarchaeota,28890,3600,18821,1.37,1.58,8618,1831,0.29,1.79,0,0,1831,0,1831,matched,Archaea,1909,22.15,1.966,0.509
Spirochaetota,203691,3573,12265,1.36,1.03,8548,540,0.29,0.53,0,0,540,0,540,matched,Bacteria,3257,38.1,6.617,0.151
Cyanobacteriota,1117,2484,12888,0.95,1.08,8374,4067,0.28,3.97,0,0,4067,0,4067,matched,Bacteria,2916,34.82,0.611,1.637
Myxococcota,2818505,3648,15086,1.39,1.26,6405,325,0.22,0.32,0,0,325,0,325,matched,Bacteria,391,6.1,11.225,0.089
Mycoplasmatota,544448,1523,5996,0.58,0.5,6073,662,0.2,0.65,0,0,662,0,662,matched,Bacteria,3319,54.65,2.301,0.435
Gemmatimonadota,142182,2576,11870,0.98,0.99,5143,132,0.17,0.13,0,0,132,0,132,matched,Bacteria,97,1.89,19.515,0.051
Nitrososphaerota,651137,1458,10698,0.56,0.9,4238,270,0.14,0.26,0,0,270,0,270,matched,Archaea,203,4.79,5.4,0.185
Nitrospirota,40117,1216,6479,0.46,0.54,3366,241,0.11,0.24,0,0,241,0,241,matched,Bacteria,163,4.84,5.046,0.198
Thermoproteota,28889,569,2540,0.22,0.21,3278,290,0.11,0.28,0,0,290,0,290,matched,Archaea,433,13.21,1.962,0.51
Bdellovibrionota,3018035,2646,8064,1.01,0.68,2206,253,0.07,0.25,0,0,253,0,253,matched,Bacteria,136,6.17,10.458,0.096
Fusobacteriota,32066,728,3793,0.28,0.32,1826,171,0.06,0.17,0,0,171,0,171,matched,Bacteria,777,42.55,4.257,0.235
Ignavibacteriota,1134404,11,25,0.0,0.0,1758,120,0.06,0.12,0,0,120,0,120,matched,Bacteria,33,1.88,0.092,10.909
Lokiarchaeia,1935183,362,1328,0.14,0.11,1624,92,0.05,0.09,0,0,92,0,92,matched,Archaea,38,2.34,3.935,0.254
Chlamydiota,204428,12,54,0.0,0.0,1484,116,0.05,0.11,0,0,116,0,116,matched,Bacteria,814,54.85,0.103,9.667
Armatimonadota,67819,1473,5017,0.56,0.42,1296,97,0.04,0.09,0,0,97,0,97,matched,Bacteria,21,1.62,15.186,0.066
Elusimicrobiota,74152,686,2029,0.26,0.17,1295,178,0.04,0.17,0,0,178,0,178,matched,Bacteria,41,3.17,3.854,0.259
Synergistota,508458,665,2035,0.25,0.17,1085,139,0.04,0.14,0,0,139,0,139,matched,Bacteria,66,6.08,4.784,0.209
Deferribacterota,200930,99,299,0.04,0.03,970,42,0.03,0.04,0,0,42,0,42,matched,Bacteria,24,2.47,2.357,0.424
Deinococcota,1297,528,2321,0.2,0.19,928,215,0.03,0.21,0,0,215,0,215,matched,Bacteria,397,42.78,2.456,0.407
Thermotogota,200918,188,1640,0.07,0.14,875,160,0.03,0.16,0,0,160,0,160,matched,Bacteria,142,16.23,1.175,0.851
Chlorobiota,1090,3,4,0.0,0.0,875,58,0.03,0.06,0,0,58,0,58,matched,Bacteria,36,4.11,0.052,19.333
Nanoarchaeota,192989,3178,9061,1.21,0.76,849,31,0.03,0.03,0,0,31,0,31,matched,Archaea,57,6.71,102.516,0.01
Fibrobacterota,65842,723,2395,0.28,0.2,750,91,0.03,0.09,0,0,91,0,91,matched,Bacteria,52,6.93,7.945,0.126
Aquificota,200783,166,1085,0.06,0.09,670,70,0.02,0.07,0,0,70,0,70,matched,Bacteria,45,6.72,2.371,0.422
Nitrospinota,1293497,373,1656,0.14,0.14,537,44,0.02,0.04,0,0,44,0,44,matched,Bacteria,24,4.47,8.477,0.118
Calditrichota,1930617,455,1257,0.17,0.11,372,16,0.01,0.02,0,0,16,0,16,matched,Bacteria,32,8.6,28.438,0.035
Thermomicrobiota,3027942,511,1946,0.19,0.16,314,20,0.01,0.02,0,0,20,0,20,matched,Bacteria,7,2.23,25.55,0.039
Atribacterota,67818,223,1405,0.09,0.12,310,63,0.01,0.06,0,0,63,0,63,matched,Bacteria,27,8.71,3.54,0.283
Caldisericota,67814,104,936,0.04,0.08,266,21,0.01,0.02,0,0,21,0,21,matched,Bacteria,3,1.13,4.952,0.202
Abditibacteriota,2109258,257,816,0.1,0.07,50,7,0.0,0.01,0,0,7,0,7,matched,Bacteria,2,4.0,36.714,0.027
Coprothermobacterota,2138240,56,278,0.02,0.02,46,7,0.0,0.01,0,0,7,0,7,matched,Bacteria,4,8.7,8.0,0.125
Heimdallarchaeia,3422291,83,365,0.03,0.03,44,4,0.0,0.0,0,0,4,0,4,matched,Archaea,0,0.0,20.75,0.048
Dictyoglomota,68297,7,133,0.0,0.01,43,12,0.0,0.01,0,0,12,0,12,matched,Bacteria,8,18.6,0.583,1.714
Chrysiogenota,200938,5,13,0.0,0.0,11,6,0.0,0.01,0,0,6,0,6,matched,Bacteria,4,36.36,0.833,1.2
Odinarchaeia,3067281,169,511,0.06,0.04,10,3,0.0,0.0,0,0,3,0,3,matched,Archaea,2,20.0,56.333,0.018
Mitochondria,N/A,9617,41965,3.67,3.51,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Bacteria.U.phylum,629395,4221,19550,1.61,1.64,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Chloroplast,N/A,3414,15853,1.3,1.33,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Cyanobacteriota/Melainabacteria.U.phylum,N/A,148,488,0.06,0.04,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Apicoplast,N/A,81,203,0.03,0.02,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
