genus,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Gammaproteobacteria.U.genus,1236,3171,12696,1.1,0.99,1481562,20386,49.97,19.89,0,0,20386,0,20386,matched,Bacteria,1438611,97.1,0.156,6.429
Enterobacterales.U.genus,91347,15,24,0.01,0.0,1241521,7193,41.88,7.02,0,0,7193,0,7193,matched,Bacteria,1236376,99.59,0.002,479.533
Enterobacteriaceae.U.genus,543,623,1097,0.22,0.09,1211097,5414,40.85,5.28,0,0,5414,0,5414,matched,Bacteria,1206915,99.65,0.115,8.69
Bacillota.U.genus,1239,724,2010,0.25,0.16,676376,16208,22.81,15.81,0,0,16208,0,16208,matched,Bacteria,518800,76.7,0.045,22.387
Salmonella,590,82,5721,0.03,0.45,610991,2412,20.61,2.35,0,0,2412,0,2412,matched,Bacteria,610920,99.99,0.034,29.415
Bacilli.U.genus,91061,691,2261,0.24,0.18,496192,9384,16.74,9.15,0,0,9384,0,9384,matched,Bacteria,479365,96.61,0.074,13.58
Escherichia,561,169,7573,0.06,0.59,388392,313,13.1,0.31,0,0,313,0,313,matched,Bacteria,387295,99.72,0.54,1.852
Lactobacillales.U.genus,186826,25,54,0.01,0.0,249918,2546,8.43,2.48,0,0,2546,0,2546,matched,Bacteria,239359,95.78,0.01,101.84
Bacillales.U.genus,1385,10,12,0.0,0.0,242751,6804,8.19,6.64,0,0,6804,0,6804,matched,Bacteria,239987,98.86,0.001,680.4
Streptococcus,1301,1316,9034,0.46,0.7,174421,632,5.88,0.62,0,0,632,0,632,matched,Bacteria,172565,98.94,2.082,0.48
Campylobacterales.U.genus,213849,61,154,0.02,0.01,166174,707,5.61,0.69,0,0,707,0,707,matched,Bacteria,161826,97.38,0.086,11.59
Clostridia.U.genus,186801,5378,13639,1.87,1.06,159976,5380,5.4,5.25,0,0,5380,0,5380,matched,Bacteria,36998,23.13,1.0,1.0
Campylobacter,194,194,1558,0.07,0.12,152137,308,5.13,0.3,0,0,308,0,308,matched,Bacteria,151532,99.6,0.63,1.588
Staphylococcaceae.U.genus,90964,3,5,0.0,0.0,140752,793,4.75,0.77,0,0,793,0,793,matched,Bacteria,139961,99.44,0.004,264.333
Staphylococcus,1279,824,7225,0.29,0.56,139787,634,4.72,0.62,0,0,634,0,634,matched,Bacteria,139152,99.55,1.3,0.769
Bacteroidota.U.genus,976,1736,9114,0.6,0.71,130948,7666,4.42,7.48,0,0,7666,0,7666,matched,Bacteria,19099,14.59,0.226,4.416
Klebsiella,570,308,3580,0.11,0.28,126992,787,4.28,0.77,0,0,787,0,787,matched,Bacteria,125929,99.16,0.391,2.555
Raoultella,570,23,257,0.01,0.02,126992,787,4.28,0.77,0,0,787,0,787,matched,Bacteria,125929,99.16,0.029,34.217
Actinomycetota.U.genus,201174,743,5173,0.26,0.4,108031,20007,3.64,19.52,0,0,20007,0,20007,matched,Bacteria,58897,54.52,0.037,26.927
Betaproteobacteria.U.genus,28216,7,179,0.0,0.01,107148,4846,3.61,4.73,0,0,4846,0,4846,matched,Bacteria,84216,78.6,0.001,692.286
Bacteroidia.U.genus,200643,326,1307,0.11,0.1,92376,2304,3.12,2.25,0,0,2304,0,2304,matched,Bacteria,9484,10.27,0.141,7.067
