family,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Eukaryota.U.family,2759,9333,39360,13.16,9.81,59130,24211,100.0,100.0,0,0,24211,0,24211,matched,Eukaryota,57069,96.51,0.385,2.594
Opisthokonta.U.family,33154,687,3638,0.97,0.91,48096,19894,81.34,82.17,0,0,19894,0,19894,matched,Eukaryota,46745,97.19,0.035,28.958
Metazoa.U.family,33208,4480,25091,6.32,6.25,24478,12832,41.4,53.0,0,0,12832,0,12832,matched,Eukaryota,24291,99.24,0.349,2.864
Fungi_XXX,4751,190,809,0.27,0.2,23592,7041,39.9,29.08,0,0,7041,0,7041,matched,Eukaryota,22429,95.07,0.027,37.058
Fungi.U.family,4751,1112,2638,1.57,0.66,23592,7041,39.9,29.08,0,0,7041,0,7041,matched,Eukaryota,22429,95.07,0.158,6.332
Ascomycota.U.family,4890,288,3632,0.41,0.9,19277,4926,32.6,20.35,0,0,4926,0,4926,matched,Eukaryota,18198,94.4,0.058,17.104
Pezizomycotina.U.family,147538,987,5074,1.39,1.26,12730,3616,21.53,14.94,0,0,3616,0,3616,matched,Eukaryota,12083,94.92,0.273,3.664
Arthropoda.U.family,6656,138,741,0.19,0.18,9744,5500,16.48,22.72,0,0,5500,0,5500,matched,Eukaryota,9662,99.16,0.025,39.855
Arthropoda_XX,6656,16,24,0.02,0.01,9744,5500,16.48,22.72,0,0,5500,0,5500,matched,Eukaryota,9662,99.16,0.003,343.75
Insecta,50557,3087,19878,4.35,4.95,8796,4858,14.88,20.07,0,0,4858,0,4858,matched,Eukaryota,8739,99.35,0.635,1.574
Streptophyta_XXXX,35493,4,23,0.01,0.01,7835,3043,13.25,12.57,0,0,3043,0,3043,matched,Eukaryota,7722,98.56,0.001,760.75
Saccharomycotina_X,147537,46,237,0.06,0.06,6396,1269,10.82,5.24,0,0,1269,0,1269,matched,Eukaryota,5980,93.5,0.036,27.587
Saccharomycotina.U.family,147537,259,3098,0.37,0.77,6396,1269,10.82,5.24,0,0,1269,0,1269,matched,Eukaryota,5980,93.5,0.204,4.9
Sordariomycetes,147550,1305,9434,1.84,2.35,5769,1506,9.76,6.22,0,0,1506,0,1506,matched,Eukaryota,5729,99.31,0.867,1.154
Mammalia,40674,257,852,0.36,0.21,4692,1050,7.94,4.34,0,0,1050,0,1050,matched,Eukaryota,4674,99.62,0.245,4.086
Teleostei,32443,65,111,0.09,0.03,3440,2169,5.82,8.96,0,0,2169,0,2169,matched,Eukaryota,3428,99.65,0.03,33.369
Basidiomycota.U.family,5204,32,88,0.05,0.02,3277,1567,5.54,6.47,0,0,1567,0,1567,matched,Eukaryota,3229,98.54,0.02,48.969
Eurotiomycetes,147545,604,6441,0.85,1.6,3066,720,5.19,2.97,0,0,720,0,720,matched,Eukaryota,3007,98.08,0.839,1.192
Saccharomycetales,4892,233,2434,0.33,0.61,2825,173,4.78,0.71,0,0,173,0,173,matched,Eukaryota,2770,98.05,1.347,0.742
Dothideomycetes,147541,874,4225,1.23,1.05,2654,584,4.49,2.41,0,0,584,0,584,matched,Eukaryota,2628,99.02,1.497,0.668
Agaricomycotina.U.family,5302,328,2666,0.46,0.66,2396,1320,4.05,5.45,0,0,1320,0,1320,matched,Eukaryota,2387,99.62,0.248,4.024
Agaricomycetes,155619,759,5519,1.07,1.38,1799,1120,3.04,4.63,0,0,1120,0,1120,matched,Eukaryota,1796,99.83,0.678,1.476
Stramenopiles_XXXX,33634,5,8,0.01,0.0,1043,480,1.76,1.98,0,0,480,0,480,matched,Eukaryota,923,88.49,0.01,96.0
