DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Archaea_genome_counts
COLOR	#ff0000
DATA
Candidatus_Woesearchaeota_archaeon_species_2026803	1489
Thermoplasmata_archaeon_species_1906666	1380
Candidatus_Micrarchaeota_archaeon_species_2250274	1131
Methanobacteriota_archaeon_species_2026739	957
uncultured_archaeon_species_115547	785
Nitrososphaerota_archaeon_species_2026795	747
Candidatus_Bathyarchaeota_archaeon_species_2026714	747
Candidatus_Bathyarchaeia_archaeon_species_3045160	613
archaeon_species_1906665	606
Thermoplasmatota_archaeon_species_2806419	604
Thermoplasmatales_archaeon_species_2268204	517
Nanoarchaeota_archaeon_species_2026764	507
uncultured_Methanosarcinales_archaeon_species_183757	469
uncultured_Candidatus_Poseidoniales_archaeon_species_274854	454
Nitrosopumilus_sp._species_2024843	453
Nitrososphaeraceae_archaeon_species_2169593	439
Candidatus_Aenigmatarchaeota_archaeon_species_3121606	437
Thermoproteota_archaeon_species_2056631	402
Promethearchaeota_archaeon_species_2053489	335
Candidatus_Pacearchaeota_archaeon_species_2026773	312
Candidatus_Poseidoniaceae_archaeon_species_2666346	297
uncultured_Candidatus_Bathyarchaeia_archaeon_species_3037984	290
Methanobrevibacter_smithii_species_2173	250
Candidatus_Methanomethylophilaceae_archaeon_species_2517205	241
Candidatus_Poseidoniales_archaeon_species_2163009	237
Nitrosopumilaceae_archaeon_species_2202732	213
Candidatus_Thalassarchaeaceae_archaeon_species_2670411	206
Candidatus_Thorarchaeota_archaeon_species_2053491	204
uncultured_Methanobrevibacter_sp._species_253161	203
uncultured_euryarchaeote_species_114243	198
Methanothrix_sp._species_90426	193
Desulfurococcaceae_archaeon_species_2184738	190
Candidatus_Parvarchaeota_archaeon_species_2077140	187
Methanocorpusculum_sp._species_2058474	186
Methanosarcinales_archaeon_species_2250255	175
Nitrososphaerales_archaeon_species_2268197	173
Sulfolobales_archaeon_species_2268200	173
Candidatus_Nanoarchaeia_archaeon_species_2910166	169
Candidatus_Heimdallarchaeota_archaeon_species_2026747	163
Methanobrevibacter_sp._species_66852	163
Desulfurococcales_archaeon_species_2480821	158
Archaeoglobaceae_archaeon_species_2511821	155
Methanomassiliicoccales_archaeon_species_1906667	152
Acidilobaceae_archaeon_species_2933264	147
Candidatus_Caldarchaeum_sp._species_2972665	137
Nitrososphaeria_archaeon_species_2268198	135
Nitrososphaera_sp._species_1971748	130
Candidatus_Iainarchaeum_archaeon_species_2026736	125
Ignisphaera_sp._species_2268142	114
Methanoregula_sp._species_2052170	110
Methanobacteriaceae_archaeon_species_2099680	106
uncultured_Thermoplasmatales_archaeon_species_215775	104
Candidatus_Nitrosopelagicus_sp._species_2026808	102
Methanoregulaceae_archaeon_species_2485498	101
Thermococcus_sp._species_35749	97
uncultured_Methanomassiliicoccales_archaeon_species_1235852	96
uncultured_Thermoplasmata_archaeon_species_376542	94
Candidatus_Micrarchaeaceae_archaeon_species_2953041	92
Metallosphaera_sp._species_2020860	88
Methanomicrobiales_archaeon_species_2184052	85
Thermoprotei_archaeon_species_2250277	84
uncultured_Candidatus_Micrarchaeota_archaeon_species_2220064	84
Thermofilaceae_archaeon_species_2268203	84
Methanosarcina_mazei_species_2209	83
Methanomassiliicoccaceae_archaeon_species_2052168	82
Candidatus_Methanoperedens_sp._species_2032688	80
uncultured_Nitrososphaerota_archaeon_species_651141	80
Methanoculleus_sp._species_90427	76
Methanobacterium_sp._species_2164	75
uncultured_Halobacteriales_archaeon_species_215774	74
Candidatus_Nitrosocaldus_sp._species_2697468	72
Nitrosarchaeum_sp._species_2026886	71
Methanosarcinaceae_archaeon_species_1945595	70
uncultured_Nitrosopumilaceae_archaeon_species_1118069	69
Saccharolobus_sp._species_2100761	67
Methanomethylophilus_alvi_species_1291540	66
uncultured_Methanomicrobiales_archaeon_species_183760	63
Candidatus_Marsarchaeota_archaeon_species_2823144	63
Thermofilum_sp._species_1961369	62
Candidatus_Poseidoniia_archaeon_species_2666348	62
Pyrobaculum_sp._species_2004705	61
Candidatus_Methanophagales_archaeon_species_2056316	58
Sulfolobus_acidocaldarius_species_2285	58
Candidatus_Micrarchaeia_archaeon_species_3018267	57
Methanomassiliicoccales_archaeon_Mx-03_species_1820006	57
Zestosphaera_sp._species_2303494	56
uncultured_Methanoregulaceae_archaeon_species_1392423	55
Halobacteriales_archaeon_species_1904752	54
Candidatus_Nitrosotenuis_sp._species_2507556	53
Nitrosotalea_sp._species_2833567	52
Poseidonia_sp._species_2666344	51
Candidatus_Nanohaloarchaea_archaeon_species_2594798	51
Pyrodictiaceae_archaeon_species_2528704	50
Candidatus_Nezhaarchaeales_archaeon_species_2952944	49
uncultured_Methanobacteriaceae_archaeon_species_176233	48
Candidatus_Hadarchaeota_archaeon_species_3097284	47
Halorubrum_ezzemoulense_species_337243	47
Methanothrix_soehngenii_species_2223	44
