DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Archaea_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Nitrosopumilus_genus_338191	38
Methanobrevibacter_genus_2172	49
Methanothrix_genus_2222	31
Methanocorpusculum_genus_2192	14
Candidatus Caldarchaeum_genus_1048752	2
Nitrososphaera_genus_497726	13
Candidatus Iainarchaeum_genus_1462418	3
Ignisphaera_genus_334767	4
Methanoregula_genus_395331	21
Candidatus Nitrosopelagicus_genus_1593364	11
Thermococcus_genus_2263	67
Metallosphaera_genus_41980	11
Methanosarcina_genus_2207	58
Candidatus Methanoperedens_genus_1392997	5
Methanoculleus_genus_45989	52
Methanobacterium_genus_2160	80
Candidatus Nitrosocaldus_genus_498374	5
Nitrosarchaeum_genus_1007082	5
Saccharolobus_genus_2100760	7
Methanomethylophilus_genus_1291539	5
Thermofilum_genus_2268	8
Pyrobaculum_genus_2276	12
Sulfolobus_genus_2284	21
Zestosphaera_genus_2303493	2
Candidatus Nitrosotenuis_genus_1825023	7
Nitrosotalea_genus_1078904	8
Candidatus Poseidonia_genus_2599198	2
Halorubrum_genus_56688	91
Ferroplasma_genus_74968	4
Candidatus Nitrosocosmicus_genus_1826864	8
Candidatus Methanofastidiosum_genus_2666130	2
Methanolinea_genus_499551	16
Halobacterium_genus_2239	21
Methanococcus_genus_2184	5
Candidatus Korarchaeum_genus_498845	2
Candidatus Thalassarchaeum_genus_3134675	2
Thermosphaera_genus_54253	4
Vulcanisaeta_genus_164450	16
Acidilobus_genus_105850	9
Thermoproteus_genus_2270	8
Methanospirillum_genus_2202	6
Natronomonas_genus_63743	13
Methanomassiliicoccus_genus_1080709	21
Caldivirga_genus_76886	7
Candidatus Mancarchaeum_genus_2490204	2
Methanosphaera_genus_2316	16
Methanothermobacter_genus_145260	15
Acidiplasma_genus_507753	4
Candidatus Methanosuratincola (ex Wu et al. 2024)_genus_3415501	3
Methanolobus_genus_2220	25
Halodesulfurarchaeum_genus_1980514	3
Haloferax_genus_2251	48
Candidatus Methanarcanum_genus_2911855	2
Methanomethylovorans_genus_101191	5
Candidatus Geocrenenecus_genus_2978051	4
Methanomicrobium_genus_2204	4
Candidatus Wolframiiraptor_genus_2978052	5
Candidatus Cenarchaeum_genus_46769	17
Candidatus Rehaiarchaeum_genus_3036157	1
Candidatus Terraquivivens_genus_2978050	4
Candidatus Nanopusillus_genus_1890407	3
Halovenus_genus_1377992	6
Geoglobus_genus_190818	5
Candidatus Nitrosopolaris_genus_2959592	5
Candidatus Hadarchaeum_genus_2767083	2
Candidatus Aciduliprofundum_genus_379546	5
Pyrococcus_genus_2260	8
Desulfurococcus_genus_2273	3
Haloquadratum_genus_293431	3
Caldisphaera_genus_200414	2
