DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_genome_counts
COLOR	#ff0000
DATA
Salmonella_enterica_species_28901	588575
Escherichia_coli_species_562	330337
Staphylococcus_aureus_species_1280	110778
Campylobacter_jejuni_species_197	97390
Klebsiella_pneumoniae_species_573	87885
Streptococcus_pneumoniae_species_1313	74800
Listeria_monocytogenes_species_1639	66108
Neisseria_gonorrhoeae_species_485	43684
Streptococcus_pyogenes_species_1314	41238
Pseudomonas_aeruginosa_species_287	40484
Acinetobacter_baumannii_species_470	38936
Campylobacter_coli_species_195	37060
Enterococcus_faecium_species_1352	33283
Streptococcus_agalactiae_species_1311	23448
Shigella_sonnei_species_624	23291
Clostridioides_difficile_species_1496	22455
Shigella_flexneri_species_623	20706
uncultured_Lachnospiraceae_bacterium_species_297314	18816
uncultured_Muribaculaceae_bacterium_species_2301481	15343
Neisseria_meningitidis_species_487	13206
Vibrio_cholerae_species_666	13102
Vibrio_parahaemolyticus_species_670	12658
bacterium_species_1869227	11341
Enterococcus_faecalis_species_1351	10363
Enterobacter_hormaechei_species_158836	9452
Mycobacterium_tuberculosis_species_1773	8217
uncultured_Clostridia_bacterium_species_244328	8123
Legionella_pneumophila_species_446	8062
Streptococcus_suis_species_1307	7776
uncultured_bacterium_species_77133	7150
uncultured_Eubacteriales_bacterium_species_172733	6947
Pseudomonadota_bacterium_species_1977087	6721
Gammaproteobacteria_bacterium_species_1913989	6535
Helicobacter_pylori_species_210	6344
uncultured_Oscillospiraceae_bacterium_species_707003	5826
Bacteroidales_bacterium_species_2030927	5667
Lachnospiraceae_bacterium_species_1898203	5504
Staphylococcus_pseudintermedius_species_283734	5500
Oscillospiraceae_bacterium_species_2485925	5343
uncultured_Candidatus_Saccharibacteria_bacterium_species_179883	5016
Staphylococcus_epidermidis_species_1282	5003
Clostridia_bacterium_species_2044939	5000
Actinomycetota_bacterium_species_2900548	4967
Bacteroidota_bacterium_species_1898104	4965
uncultured_Alistipes_sp._species_538949	4895
uncultured_Alphaproteobacteria_bacterium_species_91750	4667
Proteus_mirabilis_species_584	4637
uncultured_Bacteroidales_bacterium_species_194843	4605
Alphaproteobacteria_bacterium_species_1913988	3915
Bacillota_bacterium_species_1879010	3732
uncultured_Gammaproteobacteria_bacterium_species_86473	3527
Yersinia_pestis_species_632	3521
Chloroflexota_bacterium_species_2026724	3442
Burkholderia_pseudomallei_species_28450	3436
Yersinia_enterocolitica_species_630	3320
Citrobacter_freundii_species_546	3286
Serratia_marcescens_species_615	3246
uncultured_Prevotella_sp._species_159272	3086
Bacillus_cereus_species_1396	2952
uncultured_Actinomycetes_bacterium_species_152507	2882
Deltaproteobacteria_bacterium_species_2026735	2702
Klebsiella_quasipneumoniae_species_1463165	2645
Clostridium_perfringens_species_1502	2610
Vibrio_vulnificus_species_672	2587
Acidobacteriota_bacterium_species_1978231	2486
Cronobacter_sakazakii_species_28141	2457
uncultured_Pelagibacteraceae_bacterium_species_1667051	2452
Mannheimia_haemolytica_species_75985	2442
Planctomycetota_bacterium_species_2026780	2399
Mycobacteroides_abscessus_species_36809	2397
Stenotrophomonas_maltophilia_species_40324	2345
Clostridiales_bacterium_species_1898207	2305
Patescibacteria_group_bacterium_species_2052139	2266
Prevotella_sp._species_59823	2260
uncultured_Duncaniella_sp._species_2768039	2259
Christensenellaceae_bacterium_species_2054177	2246
Flavobacteriaceae_bacterium_species_1871037	2214
uncultured_Clostridium_sp._species_59620	2201
Bifidobacterium_longum_species_216816	2155
Klebsiella_variicola_species_244366	2148
uncultured_Eubacterium_sp._species_165185	2109
Muribaculaceae_bacterium_species_2498093	2082
Cutibacterium_acnes_species_1747	2048
Burkholderiales_bacterium_species_1891238	2025
Klebsiella_aerogenes_species_548	2021
Phocaeicola_vulgatus_species_821	1985
uncultured_Acetatifactor_sp._species_1671927	1982
uncultured_Bacilli_bacterium_species_224209	1930
Akkermansia_muciniphila_species_239935	1927
Bacteroidaceae_bacterium_species_2212467	1898
Dehalococcoidia_bacterium_species_2026734	1888
Haemophilus_influenzae_species_727	1836
Streptococcus_equi_species_1336	1822
Pasteurella_multocida_species_747	1820
uncultured_Ruminococcus_sp._species_165186	1808
Gemmatimonadota_bacterium_species_2026742	1786
uncultured_Collinsella_sp._species_165190	1769
Verrucomicrobiota_bacterium_species_2026799	1742
uncultured_Actinomycetota_bacterium_species_3039803	1707
Hyphomicrobiales_bacterium_species_1909294	1661
Bacteroides_fragilis_species_817	1643
Flavobacteriales_bacterium_species_2021391	1625
Pseudomonas_viridiflava_species_33069	1607
uncultured_Bacteroidota_bacterium_species_152509	1593
uncultured_Muribaculum_sp._species_1918613	1567
Listeria_innocua_species_1642	1534
Candidatus_Omnitrophota_bacterium_species_2035772	1514
Bordetella_pertussis_species_520	1510
Acidimicrobiales_bacterium_species_2201156	1488
uncultured_beta_proteobacterium_species_86027	1488
