DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Salmonella_genus_590	1258
Escherichia_genus_561	299
Staphylococcus_genus_1279	617
Campylobacter_genus_194	309
Klebsiella_genus_570	658
Streptococcus_genus_1301	590
Listeria_genus_1637	40
Neisseria_genus_482	133
Pseudomonas_genus_286	2953
Acinetobacter_genus_469	868
Enterococcus_genus_1350	413
Shigella_genus_620	148
Clostridioides_genus_1870884	44
Vibrio_genus_662	878
Enterobacter_genus_547	677
Mycobacterium_genus_1763	389
Legionella_genus_445	94
Helicobacter_genus_209	98
Alistipes_genus_239759	85
Proteus_genus_583	87
Yersinia_genus_629	43
Burkholderia_genus_32008	361
Citrobacter_genus_544	423
Serratia_genus_613	173
Prevotella_genus_838	290
Bacillus_genus_1386	1641
Clostridium_genus_1485	634
Cronobacter_genus_413496	12
Mannheimia_genus_75984	14
Mycobacteroides_genus_670516	23
Stenotrophomonas_genus_40323	309
Duncaniella_genus_2518495	8
Bifidobacterium_genus_1678	213
Eubacterium_genus_1730	118
Cutibacterium_genus_1912216	11
Phocaeicola_genus_909656	39
Acetatifactor_genus_1427378	6
Akkermansia_genus_239934	97
Haemophilus_genus_724	41
Pasteurella_genus_745	13
Ruminococcus_genus_1263	276
Collinsella_genus_102106	146
Bacteroides_genus_816	282
Muribaculum_genus_1918540	8
Bordetella_genus_517	40
Parabacteroides_genus_375288	100
Lactiplantibacillus_genus_2767842	29
Odoribacter_genus_283168	21
Ligilactobacillus_genus_2767887	36
Wolbachia_genus_953	352
Dorea_genus_189330	38
Morganella_genus_581	17
Francisella_genus_262	34
Limosilactobacillus_genus_2742598	50
Christensenella_genus_990721	85
Faecalibacterium_genus_216851	77
Xanthomonas_genus_338	173
Lactobacillus_genus_1578	203
Oscillibacter_genus_459786	25
Glaesserella_genus_2094023	4
Candidatus Pelagibacter_genus_198251	46
Aeromonas_genus_642	271
Kineothrix_genus_2163168	6
Brucella_genus_234	108
Elizabethkingia_genus_308865	23
Corynebacterium_genus_1716	558
Mailhella_genus_1981028	6
Agathobacter_genus_1766253	4
Lactococcus_genus_1357	54
Mucispirillum_genus_248038	4
Stutzerimonas_genus_2901164	24
Lacticaseibacillus_genus_2759736	41
Providencia_genus_586	298
Treponema_genus_157	127
Mycoplasmopsis_genus_2767358	44
Segatella_genus_2974251	20
Mesorhizobium_genus_68287	928
Desulfovibrio_genus_872	78
Raoultella_genus_160674	53
Flavobacterium_genus_237	593
Paramuribaculum_genus_2518497	2
Roseburia_genus_841	58
Oenococcus_genus_46254	9
Ralstonia_genus_48736	69
Hungatella_genus_1649459	21
Sinorhizobium_genus_28105	47
Faecalibaculum_genus_1729679	2
