DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Eukaryota_genome_counts
COLOR	#ff0000
DATA
Homo_sapiens_species_9606	1845
Saccharomyces_cerevisiae_species_4932	1663
Fusarium_oxysporum_species_5507	772
Macrophomina_phaseolina_species_35725	466
Candidozyma_auris_species_498019	414
Pyricularia_oryzae_species_318829	408
Aspergillus_fumigatus_species_746128	356
Beta_vulgaris_species_161934	327
Aspergillus_flavus_species_5059	306
Arabidopsis_thaliana_species_3702	289
Fusarium_asiaticum_species_282267	254
Eukaryota_sp._species_1928008	254
Beauveria_bassiana_species_176275	208
Hordeum_vulgare_species_4513	199
Cryptococcus_neoformans_species_5207	184
Parastagonospora_nodorum_species_13684	178
Bos_taurus_species_9913	176
Botryosphaeria_dothidea_species_55169	139
Komagataella_phaffii_species_460519	137
Fusarium_graminearum_species_5518	129
Oryza_sativa_species_4530	128
Drosophila_melanogaster_species_7227	124
Aspergillus_oryzae_species_5062	124
Zea_mays_species_4577	123
Rhodotorula_mucilaginosa_species_5537	121
Candida_albicans_species_5476	119
Aspergillus_niger_species_5061	118
Scheffersomyces_spartinae_species_45513	110
Lachancea_thermotolerans_species_381046	107
Cryphonectria_parasitica_species_5116	98
Alternaria_alternata_species_5599	91
Venturia_inaequalis_species_5025	90
Clavispora_lusitaniae_species_36911	89
Beauveria_pseudobassiana_species_931006	88
Psilocybe_subaeruginosa_species_181776	87
Penicillium_chrysogenum_species_5076	87
Ophidiomyces_ophidiicola_species_1387563	86
Aureobasidium_pullulans_species_5580	86
Schizosaccharomyces_pombe_species_4896	84
Torulaspora_delbrueckii_species_4950	84
Nakaseomyces_glabratus_species_5478	77
Zygosaccharomyces_parabailii_species_1365886	77
Vitis_vinifera_species_29760	75
Hortaea_werneckii_species_91943	72
Mus_musculus_species_10090	71
Vitis_sp._species_3604	69
Oryza_rufipogon_species_4529	69
Plasmodium_falciparum_species_5833	67
Lagorchestes_hirsutus_species_65632	66
Pyrenophora_tritici-repentis_species_45151	65
Triticum_aestivum_species_4565	63
Aureobasidium_melanogenum_species_46634	63
Ovis_aries_species_9940	63
Candida_parapsilosis_species_5480	60
Zymoseptoria_tritici_species_1047171	60
Fusarium_verticillioides_species_117187	59
Pichia_kudriavzevii_species_4909	58
Corynespora_cassiicola_species_59586	57
Caenorhabditis_elegans_species_6239	57
Saitozyma_podzolica_species_1890683	57
Saccharomyces_paradoxus_species_27291	56
Botrytis_cinerea_species_40559	56
Claviceps_purpurea_species_5111	53
Heliconius_melpomene_species_34740	52
Candida_tropicalis_species_5482	52
Plasmodiophora_brassicae_species_37360	52
Rhizopus_arrhizus_species_64495	52
Yarrowia_lipolytica_species_4952	50
Lasallia_pustulata_species_136370	49
Drosophila_simulans_species_7240	48
Entrophospora_candida_species_984092	48
Verticillium_dahliae_species_27337	47
Rhizoctonia_solani_species_456999	46
Solanum_tuberosum_species_4113	45
Aphelocoma_insularis_species_247969	45
Aphelocoma_coerulescens_species_39617	45
Trypanosoma_cruzi_species_5693	44
Gallus_gallus_species_9031	44
Sus_scrofa_species_9823	44
Aphelocoma_woodhouseii_species_247972	44
Schizophyllum_commune_species_5334	43
Cucumis_melo_species_3656	43
Blastocystis_sp._subtype_3_species_944168	43
Bos_indicus_species_9915	42
Calonectria_ilicicola_species_182845	42
Neurospora_discreta_species_29879	42
Junonia_neildi_species_2691557	41
Cyclospora_cayetanensis_species_88456	41
Komagataella_pastoris_species_4922	41
Eutypa_lata_species_97096	41
Leishmania_infantum_species_5671	41
Malus_domestica_species_3750	41
Capra_hircus_species_9925	40
Psilocybe_cubensis_species_181762	39
Penicillium_roqueforti_species_5082	39
Mycosarcoma_maydis_species_5270	38
Saccharomyces_uvarum_species_230603	38
Panicum_miliaceum_species_4540	37
Giardia_intestinalis_species_5741	37
Exophiala_dermatitidis_species_5970	37
Saccharomyces_cerevisiae_x_Saccharomyces_eubayanus_species_1684324	37
Cordyceps_javanica_species_43265	36
Neurospora_tetraspora_species_94610	36
Glycine_max_species_3847	36
Solanum_lycopersicum_species_4081	35
Exophiala_xenobiotica_species_348802	35
Kluyveromyces_marxianus_species_4911	34
Rhizophagus_irregularis_species_588596	34
Canis_lupus_species_9612	34
Haemorhous_mexicanus_species_30427	34
Paecilomyces_variotii_species_264951	33
Oryzias_latipes_species_8090	33
Cryptosporidium_parvum_species_5807	32
Clupea_harengus_species_7950	32
Fusarium_proliferatum_species_948311	32
Phytophthora_ramorum_species_164328	31
Hermetia_illucens_species_343691	31
Saccharomyces_pastorianus_species_27292	31
Penicillium_nalgiovense_species_60175	31
Entrophospora_sp._SA101_species_2562287	31
Sclerotinia_sclerotiorum_species_5180	31
Neurospora_sp._CHS-2018c_species_2304651	31
Rhodotorula_toruloides_species_5286	30
Aspergillus_latus_species_41734	29
Brassica_oleracea_species_3712	29
Phyllosticta_citricarpa_species_55181	29
