DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Eukaryota_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Homo_genus_9605	1
Saccharomyces_genus_4930	21
Fusarium_genus_5506	262
Macrophomina_genus_35724	6
Candidozyma_genus_3303203	10
Pyricularia_genus_48558	13
Aspergillus_genus_5052	263
Beta_genus_3554	5
Arabidopsis_genus_3701	6
Beauveria_genus_5581	14
Hordeum_genus_4512	4
Cryptococcus_genus_5206	25
Parastagonospora_genus_1351751	2
Bos_genus_9903	10
Botryosphaeria_genus_45132	3
Komagataella_genus_460517	7
Oryza_genus_4527	23
Drosophila_genus_7215	260
Zea_genus_4575	2
Rhodotorula_genus_5533	21
Candida_genus_5475	39
Scheffersomyces_genus_766733	20
Lachancea_genus_300275	13
Cryphonectria_genus_5115	7
Alternaria_genus_5598	62
Venturia_genus_5024	8
Clavispora_genus_36910	9
Psilocybe_genus_71950	12
Penicillium_genus_5073	174
Ophidiomyces_genus_1387562	1
Aureobasidium_genus_5579	27
Schizosaccharomyces_genus_4895	8
Torulaspora_genus_4948	13
Nakaseomyces_genus_374468	7
Zygosaccharomyces_genus_4953	14
Vitis_genus_3603	38
Hortaea_genus_91942	2
Mus_genus_10088	6
Plasmodium_genus_5820	25
Lagorchestes_genus_65623	2
Pyrenophora_genus_5027	4
Triticum_genus_4564	6
Ovis_genus_9935	6
Zymoseptoria_genus_1047167	6
Pichia_genus_4919	48
Corynespora_genus_59585	2
Caenorhabditis_genus_6237	45
Saitozyma_genus_1890244	2
Botrytis_genus_33196	16
Claviceps_genus_5110	34
Heliconius_genus_33416	42
Plasmodiophora_genus_37359	1
Rhizopus_genus_4842	6
Yarrowia_genus_4951	19
Lasallia_genus_87266	2
Entrophospora_genus_27375	2
Verticillium_genus_1036719	10
Rhizoctonia_genus_1322061	1
Solanum_genus_4107	60
Aphelocoma_genus_39616	4
Trypanosoma_genus_5690	22
Gallus_genus_9030	1
Sus_genus_9822	2
Schizophyllum_genus_5333	3
Cucumis_genus_3655	9
Blastocystis_genus_12967	15
Calonectria_genus_57138	19
Neurospora_genus_5140	34
Junonia_genus_39707	14
Cyclospora_genus_44417	1
Eutypa_genus_97095	1
Leishmania_genus_5658	30
Malus_genus_3749	35
Capra_genus_9922	5
Mycosarcoma_genus_2689624	2
Panicum_genus_4539	4
Giardia_genus_5740	2
Exophiala_genus_5583	19
Cordyceps_genus_45234	11
Glycine_genus_3846	4
Kluyveromyces_genus_4910	10
Rhizophagus_genus_1129544	7
Canis_genus_9611	2
Haemorhous_genus_1523891	1
Paecilomyces_genus_33202	19
Oryzias_genus_8089	8
Cryptosporidium_genus_5806	20
Clupea_genus_7949	1
Phytophthora_genus_4783	83
