DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Viruses_genome_counts
COLOR	#ff0000
DATA
Alphainfluenzavirus_influenzae_species_2955291	110376
Betainfluenzavirus_influenzae_species_2955465	16127
Severe_acute_respiratory_syndrome-related_coronavirus_no rank_694009	12627
Siphoviridae_environmental_samples_species_2133760	7135
Monkeypox_virus_species_10244	6960
uncultured_Caudovirales_phage_species_2100421	2562
Rotavirus_A_species_28875	2514
Circovirus_porcine2_species_3048279	2423
Microviridae_sp._species_2202644	1768
Norwalk_virus_species_11983	915
Myoviridae_environmental_samples_species_336724	872
uncultured_podovirus_species_1701671	796
Human_mastadenovirus_B_species_108098	756
uncultured_virus_species_340016	702
Orthoflavivirus_nilense_species_3048448	637
Microvirus_sp._species_2202559	623
Circular_genetic_element_sp._species_2202954	601
Lymphocryptovirus_humangamma4_species_3050299	586
Cressdnaviricota_sp._species_2748378	545
Human_immunodeficiency_virus_1_no rank_11676	499
Caudoviricetes_sp._species_2832643	437
Circovirus_parrot_species_3047561	419
Anelloviridae_sp._species_2055263	414
Prokaryotic_dsDNA_virus_sp._species_2591644	387
Gequatrovirus_G4_species_1986034	363
African_swine_fever_virus_species_10497	348
Cytomegalovirus_humanbeta5_species_3050295	347
Circoviridae_sp._species_1954248	337
Human_mastadenovirus_C_species_129951	310
Human_mastadenovirus_D_species_130310	260
Hepacivirus_hominis_species_3052230	256
Circovirus_porcine3_species_3048280	249
Cucumber_mosaic_virus_species_12305	249
Orbivirus_alphaequi_species_40050	213
Human_mastadenovirus_F_species_130309	209
Bandavirus_dabieense_species_2748958	197
uncultured_Mediterranean_phage_uvMED_species_1407671	196
uncultured_Microviridae_species_926697	179
Bluetongue_virus_species_40051	174
Human_mastadenovirus_A_species_129875	174
Arizlama_microvirus_species_2859450	169
Hepatitis_B_virus_species_10407	157
Orthoflavivirus_denguei_species_3052464	156
Sinsheimervirus_phiX174_species_10847	155
uncultured_marine_virus_species_186617	151
Orthopneumovirus_hominis_species_3049954	148
Human_mastadenovirus_E_species_130308	147
Orthopoxvirus_vaccinia_species_10245	144
uncultured_human_fecal_virus_species_239364	142
Lumpy_skin_disease_virus_species_59509	140
Babuvirus_musae_species_3158386	126
Myxoma_virus_species_10273	121
Genomoviridae_sp._species_2202565	120
Rhinovirus_A_species_147711	116
Circovirus_pigeon_species_3050342	114
Circovirus_duck_species_3047813	114
Blackfly_microvirus_SF02_species_2576452	108
Simian_immunodeficiency_virus_no rank_11723	107
Simplexvirus_humanalpha1_species_3050292	107
Teseptimavirus_T7_species_1985738	106
Enterovirus_B_species_138949	97
Leviviridae_sp._species_2027243	94
Cowpox_virus_species_10243	92
Fowl_aviadenovirus_C_species_190063	90
Gammainfluenzavirus_influenzae_species_2955935	88
Gokushovirus_WZ-2015a_species_1758150	87
Iltovirus_gallidalpha1_species_3050286	85
Rhinovirus_C_species_463676	81
Circovirus_canine_species_3047721	80
Variola_virus_species_10255	78
Barbavirus_barba18A_species_2734090	77
Sapporo_virus_species_95342	75
Inoviridae_sp._species_2219103	75
Circovirus_goose_species_3047842	69
Enterovirus_C_species_138950	68
Salmonella_phage_seszw_species_2865759	68
Mardivirus_gallidalpha2_species_3050287	66
Backyardiganvirus_peaches_species_663557	66
Circovirus_porcine1_species_3048278	64
Molluscum_contagiosum_virus_species_10279	64
Nerrivikvirus_srim2_species_2734125	62
Mohonavirus_ICP1_species_3060313	59
uncultured_Mediterranean_phage_species_1868660	58
Varicellovirus_felidalpha1_species_3050284	55
Frog_virus_3_species_10493	54
Varicellovirus_suidalpha1_species_3050355	53
Gokushovirinae_environmental_samples_species_1478972	53
Varicellovirus_bovinealpha1_species_3050243	50
SFTS_phlebovirus_species_1933190	50
Lyssavirus_rabies_species_11292	49
Posavirus_sp._species_1930510	47
Bhendi_yellow_vein_India_virus_species_908023	47
Ilzatvirus_teagan_species_2845595	46
Lowelvirus_tuscon4d_species_2956131	46
Porcine_epidemic_diarrhea_virus_species_28295	44
Alphacoronavirus_1_species_693997	44
Respirovirus_pneumoniae_species_3049953	43
Enterovirus_A_species_138948	43
Fowl_aviadenovirus_A_species_190061	43
Fowl_aviadenovirus_D_species_190064	43
Veterinaerplatzvirus_vv12210I_species_2844167	42
Avian_orthoreovirus_species_38170	42
Rotavirus_C_species_36427	41
Maize_streak_virus_species_10821	41
Fowl_aviadenovirus_E_species_190065	40
Human_immunodeficiency_virus_2_no rank_11709	39
Atlauavirus_tusconc8_species_2734085	39
Orf_virus_species_10258	38
Metapneumovirus_hominis_species_3048148	38
Pegunavirus_oline_species_1986350	38
Sulfolobus_spindle-shaped_virus_species_2491899	37
Rhadinovirus_humangamma8_species_3050300	37
Infectious_spleen_and_kidney_necrosis_virus_species_180170	37
Bhendi_yellow_vein_mosaic_virus_species_120168	37
Rhinovirus_B_species_147712	37
Pegunavirus_Pg1_species_1986538	36
