DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Viruses_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Alphainfluenzavirus_genus_197911	1
Betainfluenzavirus_genus_197912	1
Betacoronavirus_genus_694002	51
Orthopoxvirus_genus_10242	13
Rotavirus_genus_10912	11
Circovirus_genus_39725	102
Norovirus_genus_142786	4
Mastadenovirus_genus_10509	76
Orthoflavivirus_genus_3044782	101
Lymphocryptovirus_genus_10375	9
Lentivirus_genus_11646	13
Gequatrovirus_genus_1910952	4
Asfivirus_genus_39743	1
Cytomegalovirus_genus_10358	14
Hepacivirus_genus_11102	39
Cucumovirus_genus_12304	7
Orbivirus_genus_10892	43
Bandavirus_genus_2733256	9
Orthohepadnavirus_genus_10405	22
Sinsheimervirus_genus_1910954	2
Orthopneumovirus_genus_1868215	3
Capripoxvirus_genus_10265	3
Babuvirus_genus_251096	3
Leporipoxvirus_genus_10270	3
Enterovirus_genus_12059	25
Microvirus_genus_10842	38
Simplexvirus_genus_10294	16
Teseptimavirus_genus_110456	41
Aviadenovirus_genus_10552	20
Gammainfluenzavirus_genus_197913	1
Iltovirus_genus_180255	3
Barbavirus_genus_2733095	30
Sapovirus_genus_95341	6
Skatevirus_genus_2948910	17
Mardivirus_genus_180252	6
Backyardiganvirus_genus_2946815	65
Molluscipoxvirus_genus_10278	2
Nerrivikvirus_genus_2733119	2
Mohonavirus_genus_3044767	23
Varicellovirus_genus_10319	20
Ranavirus_genus_10492	17
Phlebovirus_genus_11584	91
Lyssavirus_genus_11286	23
Begomovirus_genus_10814	573
Ilzatvirus_genus_2560150	24
Lowelvirus_genus_2948806	1
Alphacoronavirus_genus_693996	62
Respirovirus_genus_186938	15
Veterinaerplatzvirus_genus_2843115	3
Orthoreovirus_genus_10882	17
Mastrevirus_genus_10812	47
Atlauavirus_genus_2733092	3
Parapoxvirus_genus_10257	6
Metapneumovirus_genus_162387	4
Pegunavirus_genus_1623295	130
Alphafusellovirus_genus_10475	10
Rhadinovirus_genus_10379	13
Megalocytivirus_genus_308906	5
Avipoxvirus_genus_10260	10
Betapapillomavirus_genus_333922	6
Pestivirus_genus_11095	23
Inovirus_genus_10861	21
Agmunavirus_genus_2843342	1
Aphthovirus_genus_12109	5
Bixzunavirus_genus_680114	136
Ostreavirus_genus_548686	1
Decurrovirus_genus_1982104	13
Perisivirus_genus_1984798	4
Cosavirus_genus_586418	7
Rosebushvirus_genus_1982900	7
Morbillivirus_genus_11229	14
Kayvirus_genus_1857843	94
Tequatrovirus_genus_10663	240
Acionnavirus_genus_2733086	1
Parechovirus_genus_138954	6
Pbunavirus_genus_1198980	140
Qubevirus_genus_2842995	3
Oslovirus_genus_1981159	19
Traversvirus_genus_1981157	20
