Taxon,Coverage_Factor,Novelty_Ratio,Census_OTU_Count,NCBI_Species_Count,Phylum,Dataset,Source_File,Factor_Type,Domain,rRNA,Taxonomic_Level,Division
Chlorobiota,18.67,0.05,3,56,Chlorobiota,16s_bacteria_phylum,16s_bacteria_phylum_top_coverage.csv,Coverage,Bacteria,16S,Phylum/Division,
Ignavibacteriota,10.64,0.09,11,117,Ignavibacteriota,16s_bacteria_phylum,16s_bacteria_phylum_top_coverage.csv,Coverage,Bacteria,16S,Phylum/Division,
Chlamydiota,9.5,0.11,12,114,Chlamydiota,16s_bacteria_phylum,16s_bacteria_phylum_top_coverage.csv,Coverage,Bacteria,16S,Phylum/Division,
Cyanobacteriota,1.59,0.63,2484,3955,Cyanobacteriota,16s_bacteria_phylum,16s_bacteria_phylum_top_coverage.csv,Coverage,Bacteria,16S,Phylum/Division,
Chrysiogenota,1.2,0.83,5,6,Chrysiogenota,16s_bacteria_phylum,16s_bacteria_phylum_top_coverage.csv,Coverage,Bacteria,16S,Phylum/Division,
Dictyoglomota,1.14,0.88,7,8,Dictyoglomota,16s_bacteria_phylum,16s_bacteria_phylum_top_coverage.csv,Coverage,Bacteria,16S,Phylum/Division,
Actinomycetota,1.13,0.89,15932,17985,Actinomycetota,16s_bacteria_phylum,16s_bacteria_phylum_top_coverage.csv,Coverage,Bacteria,16S,Phylum/Division,
Thermotogota,0.84,1.2,188,157,Thermotogota,16s_bacteria_phylum,16s_bacteria_phylum_top_coverage.csv,Coverage,Bacteria,16S,Phylum/Division,
Pseudomonadota,0.62,1.61,53653,33394,Pseudomonadota,16s_bacteria_phylum,16s_bacteria_phylum_top_coverage.csv,Coverage,Bacteria,16S,Phylum/Division,
Mycoplasmatota,0.4,2.48,1523,614,Mycoplasmatota,16s_bacteria_phylum,16s_bacteria_phylum_top_coverage.csv,Coverage,Bacteria,16S,Phylum/Division,
Abditibacteriota,0.03,36.71,257,7,Abditibacteriota,16s_bacteria_phylum,16s_bacteria_phylum_top_novelty.csv,Novelty,Bacteria,16S,Phylum/Division,
Calditrichota,0.03,35.0,455,13,Calditrichota,16s_bacteria_phylum,16s_bacteria_phylum_top_novelty.csv,Novelty,Bacteria,16S,Phylum/Division,
Planctomycetota,0.04,26.34,13119,498,Planctomycetota,16s_bacteria_phylum,16s_bacteria_phylum_top_novelty.csv,Novelty,Bacteria,16S,Phylum/Division,
Thermomicrobiota,0.04,25.55,511,20,Thermomicrobiota,16s_bacteria_phylum,16s_bacteria_phylum_top_novelty.csv,Novelty,Bacteria,16S,Phylum/Division,
