Taxon	Node	Node_Order	Absolute_Count	Percentage	Flow_Width
Euryarchaeota	Genbank_Genome_Count	1	7771	52.33	7771
Nitrososphaerota	Genbank_Genome_Count	1	3748	25.24	3748
Thermoproteota	Genbank_Genome_Count	1	2576	17.35	2576
Nanoarchaeota	Genbank_Genome_Count	1	754	5.08	754
Archaea.U.phylum	Genbank_Genome_Count	1	0	0	0
Other	Genbank_Genome_Count	1	0	0	0
Euryarchaeota	IMG_Genome_Count	2	18821	45.67	18821
Nitrososphaerota	IMG_Genome_Count	2	10698	25.96	10698
Nanoarchaeota	IMG_Genome_Count	2	9061	21.99	9061
Thermoproteota	IMG_Genome_Count	2	2540	6.16	2540
Archaea.U.phylum	IMG_Genome_Count	2	87	0.21	87
Other	IMG_Genome_Count	2	0	0	0
Euryarchaeota	16S_OTU_Count	3	3600	40.75	3600
Nanoarchaeota	16S_OTU_Count	3	3178	35.97	3178
Nitrososphaerota	16S_OTU_Count	3	1458	16.5	1458
Thermoproteota	16S_OTU_Count	3	569	6.44	569
Archaea.U.phylum	16S_OTU_Count	3	30	0.34	30
Other	16S_OTU_Count	3	0	0	0
Euryarchaeota	Genbank_Species_Count	4	1758	76.87	1758
Nitrososphaerota	Genbank_Species_Count	4	252	11.02	252
Thermoproteota	Genbank_Species_Count	4	250	10.93	250
Nanoarchaeota	Genbank_Species_Count	4	27	1.18	27
Archaea.U.phylum	Genbank_Species_Count	4	0	0	0
Other	Genbank_Species_Count	4	0	0	0
