Taxon	Node	Node_Order	Absolute_Count	Percentage	Flow_Width
Euryarchaeota	Genbank_Genome_%	1	7771	52.33	52.3334904707388
Nitrososphaerota	Genbank_Genome_%	1	3748	25.24	25.2407569533302
Thermoproteota	Genbank_Genome_%	1	2576	17.35	17.3479695602397
Nanoarchaeota	Genbank_Genome_%	1	754	5.08	5.07778301569129
Archaea.U.phylum	Genbank_Genome_%	1	0	0	0
Other	Genbank_Genome_%	1	0	0	0
Euryarchaeota	IMG_Genome_%	2	18821	45.67	45.6742786419783
Nitrososphaerota	IMG_Genome_%	2	10698	25.96	25.9616084645813
Nanoarchaeota	IMG_Genome_%	2	9061	21.99	21.9889824544374
Thermoproteota	IMG_Genome_%	2	2540	6.16	6.16400126192152
Archaea.U.phylum	IMG_Genome_%	2	87	0.21	0.211129177081564
Other	IMG_Genome_%	2	0	0	0
Euryarchaeota	16S_OTU_%	3	3600	40.75	40.7470288624788
Nanoarchaeota	16S_OTU_%	3	3178	35.97	35.970571590266
Nitrososphaerota	16S_OTU_%	3	1458	16.5	16.5025466893039
Thermoproteota	16S_OTU_%	3	569	6.44	6.44029428409734
Archaea.U.phylum	16S_OTU_%	3	30	0.34	0.33955857385399
Other	16S_OTU_%	3	0	0	0
Euryarchaeota	Genbank_Species_%	4	1758	76.87	76.8692610406646
Nitrososphaerota	Genbank_Species_%	4	252	11.02	11.0188019239178
Thermoproteota	Genbank_Species_%	4	250	10.93	10.9313511149978
Nanoarchaeota	Genbank_Species_%	4	27	1.18	1.18058592041976
Archaea.U.phylum	Genbank_Species_%	4	0	0	0
Other	Genbank_Species_%	4	0	0	0
