Taxon	Node	Node_Order	Absolute_Count	Percentage	Flow_Width
Pseudomonadota	Genbank_Genome_Count	1	1480382	57.83	1480382
Bacillota	Genbank_Genome_Count	1	605378	23.65	605378
Other	Genbank_Genome_Count	1	186069	7.27	186069
Bacteroidota	Genbank_Genome_Count	1	120577	4.71	120577
Actinomycetota	Genbank_Genome_Count	1	95708	3.74	95708
Chloroflexota	Genbank_Genome_Count	1	14682	0.57	14682
Acidobacteriota	Genbank_Genome_Count	1	12455	0.49	12455
Verrucomicrobiota	Genbank_Genome_Count	1	12194	0.48	12194
Planctomycetota	Genbank_Genome_Count	1	10360	0.4	10360
Thermodesulfobacteriota	Genbank_Genome_Count	1	8493	0.33	8493
Cyanobacteriota	Genbank_Genome_Count	1	7688	0.3	7688
Myxococcota	Genbank_Genome_Count	1	5787	0.23	5787
Bacteria.U.phylum	Genbank_Genome_Count	1	0	0	0
Pseudomonadota	IMG_Genome_Count	2	308380	28.67	308380
Bacillota	IMG_Genome_Count	2	173190	16.1	173190
Bacteroidota	IMG_Genome_Count	2	133133	12.38	133133
Actinomycetota	IMG_Genome_Count	2	109549	10.18	109549
Other	IMG_Genome_Count	2	83937	7.8	83937
Chloroflexota	IMG_Genome_Count	2	58834	5.47	58834
Verrucomicrobiota	IMG_Genome_Count	2	45775	4.26	45775
Planctomycetota	IMG_Genome_Count	2	44891	4.17	44891
Acidobacteriota	IMG_Genome_Count	2	44683	4.15	44683
Thermodesulfobacteriota	IMG_Genome_Count	2	25872	2.4	25872
Bacteria.U.phylum	IMG_Genome_Count	2	19550	1.82	19550
Myxococcota	IMG_Genome_Count	2	15086	1.4	15086
Cyanobacteriota	IMG_Genome_Count	2	12888	1.2	12888
Pseudomonadota	16S_OTU_Count	3	53653	22.91	53653
Bacillota	16S_OTU_Count	3	49858	21.29	49858
Bacteroidota	16S_OTU_Count	3	31180	13.32	31180
Other	16S_OTU_Count	3	21307	9.1	21307
Actinomycetota	16S_OTU_Count	3	15932	6.8	15932
Chloroflexota	16S_OTU_Count	3	13210	5.64	13210
Planctomycetota	16S_OTU_Count	3	13119	5.6	13119
Verrucomicrobiota	16S_OTU_Count	3	10214	4.36	10214
Acidobacteriota	16S_OTU_Count	3	9124	3.9	9124
Thermodesulfobacteriota	16S_OTU_Count	3	6209	2.65	6209
Bacteria.U.phylum	16S_OTU_Count	3	4221	1.8	4221
Myxococcota	16S_OTU_Count	3	3648	1.56	3648
Cyanobacteriota	16S_OTU_Count	3	2484	1.06	2484
Pseudomonadota	Genbank_Species_Count	4	33394	39.53	33394
Actinomycetota	Genbank_Species_Count	4	17985	21.29	17985
Bacillota	Genbank_Species_Count	4	14412	17.06	14412
Bacteroidota	Genbank_Species_Count	4	7329	8.68	7329
Other	Genbank_Species_Count	4	4054	4.8	4054
Cyanobacteriota	Genbank_Species_Count	4	3955	4.68	3955
Thermodesulfobacteriota	Genbank_Species_Count	4	902	1.07	902
Chloroflexota	Genbank_Species_Count	4	716	0.85	716
Verrucomicrobiota	Genbank_Species_Count	4	606	0.72	606
Planctomycetota	Genbank_Species_Count	4	498	0.59	498
Acidobacteriota	Genbank_Species_Count	4	370	0.44	370
Myxococcota	Genbank_Species_Count	4	255	0.3	255
Bacteria.U.phylum	Genbank_Species_Count	4	0	0	0
