Taxon	Node	Node_Order	Absolute_Count	Percentage	Flow_Width
Pseudomonadota	Genbank_Genome_%	1	1480382	57.83	57.8325499956441
Bacillota	Genbank_Genome_%	1	605378	23.65	23.6496751860419
Campylobacterota	Genbank_Genome_%	1	149466	5.84	5.83903338303826
Bacteroidota	Genbank_Genome_%	1	120577	4.71	4.71045674753191
Actinomycetota	Genbank_Genome_%	1	95708	3.74	3.73892528751573
Other	Genbank_Genome_%	1	186069	1.66	1.65600621617619
Chloroflexota	Genbank_Genome_%	1	14682	0.57	0.573566484215593
Acidobacteriota	Genbank_Genome_%	1	12455	0.49	0.486566582271162
Verrucomicrobiota	Genbank_Genome_%	1	12194	0.48	0.476370365653517
Planctomycetota	Genbank_Genome_%	1	10360	0.4	0.404723387581633
Thermodesulfobacteriota	Genbank_Genome_%	1	8493	0.33	0.331787232696024
Cyanobacteriota	Genbank_Genome_%	1	7688	0.3	0.300339131633938
Bacteria.U.phylum	Genbank_Genome_%	1	0	0	0
Pseudomonadota	IMG_Genome_%	2	308380	28.68	28.6790417379659
Bacillota	IMG_Genome_%	2	173190	16.11	16.1065024923741
Bacteroidota	IMG_Genome_%	2	133133	12.38	12.3812402351016
Actinomycetota	IMG_Genome_%	2	109549	10.19	10.1879510453091
Other	IMG_Genome_%	2	83937	8.27	8.26733501971579
Chloroflexota	IMG_Genome_%	2	58834	5.47	5.471505096347
Verrucomicrobiota	IMG_Genome_%	2	45775	4.26	4.25703072688044
Planctomycetota	IMG_Genome_%	2	44891	4.17	4.17481958187635
Acidobacteriota	IMG_Genome_%	2	44683	4.16	4.15547578305186
Thermodesulfobacteriota	IMG_Genome_%	2	25872	2.41	2.40607097686184
Bacteria.U.phylum	IMG_Genome_%	2	19550	1.82	1.81813109143665
Cyanobacteriota	IMG_Genome_%	2	12888	1.2	1.19857153485604
Campylobacterota	IMG_Genome_%	2	9638	0.9	0.896324678223346
Pseudomonadota	16S_OTU_%	3	53653	22.93	22.9275546876002
Bacillota	16S_OTU_%	3	49858	21.31	21.3058360504421
Bacteroidota	16S_OTU_%	3	31180	13.32	13.3241599753858
Other	16S_OTU_%	3	21307	9.6	9.59570276610928
Actinomycetota	16S_OTU_%	3	15932	6.81	6.80822696368974
Chloroflexota	16S_OTU_%	3	13210	5.65	5.64503378046331
Planctomycetota	16S_OTU_%	3	13119	5.61	5.60614671959865
Verrucomicrobiota	16S_OTU_%	3	10214	4.36	4.36475208430373
Acidobacteriota	16S_OTU_%	3	9124	3.9	3.89896201460615
Thermodesulfobacteriota	16S_OTU_%	3	6209	2.65	2.65329407591951
Bacteria.U.phylum	16S_OTU_%	3	4221	1.8	1.80376136164539
Cyanobacteriota	16S_OTU_%	3	2484	1.06	1.06148856250347
Campylobacterota	16S_OTU_%	3	2352	1.01	1.00508095773276
Pseudomonadota	Genbank_Species_%	4	33394	39.53	39.5307542970785
Actinomycetota	Genbank_Species_%	4	17985	21.29	21.290070552583
Bacillota	Genbank_Species_%	4	14412	17.06	17.0604668781666
Bacteroidota	Genbank_Species_%	4	7329	8.68	8.67583692409679
Cyanobacteriota	Genbank_Species_%	4	3955	4.68	4.68180311567783
Other	Genbank_Species_%	4	4054	4.21	4.21303092002462
Thermodesulfobacteriota	Genbank_Species_%	4	902	1.07	1.06775889009896
Campylobacterota	Genbank_Species_%	4	750	0.89	0.887826128131067
Chloroflexota	Genbank_Species_%	4	716	0.85	0.847578010322458
Verrucomicrobiota	Genbank_Species_%	4	606	0.72	0.717363511529902
Planctomycetota	Genbank_Species_%	4	498	0.59	0.589516549079028
Acidobacteriota	Genbank_Species_%	4	370	0.44	0.437994223211326
Bacteria.U.phylum	Genbank_Species_%	4	0	0	0
