Taxon	Node	Node_Order	Absolute_Count	Percentage	Flow_Width
Opisthokonta	Genbank_Genome_Count	1	41803	83.72	41803
Other	Genbank_Genome_Count	1	6325	12.67	6325
Stramenopiles	Genbank_Genome_Count	1	684	1.37	684
Alveolata	Genbank_Genome_Count	1	570	1.14	570
Discoba	Genbank_Genome_Count	1	328	0.66	328
Rhizaria	Genbank_Genome_Count	1	68	0.14	68
Metamonada	Genbank_Genome_Count	1	66	0.13	66
Evosea	Genbank_Genome_Count	1	46	0.09	46
Discosea	Genbank_Genome_Count	1	39	0.08	39
Tubulinea	Genbank_Genome_Count	1	2	0	2
Eukaryota.U.division	Genbank_Genome_Count	1	0	0	0
Opisthokonta	IMG_Genome_Count	2	158758	41.58	158758
Alveolata	IMG_Genome_Count	2	60488	15.84	60488
Eukaryota.U.division	IMG_Genome_Count	2	39360	10.31	39360
Other	IMG_Genome_Count	2	30328	7.94	30328
Stramenopiles	IMG_Genome_Count	2	24799	6.5	24799
Rhizaria	IMG_Genome_Count	2	24072	6.31	24072
Discoba	IMG_Genome_Count	2	21089	5.52	21089
Evosea	IMG_Genome_Count	2	13475	3.53	13475
Tubulinea	IMG_Genome_Count	2	4810	1.26	4810
Metamonada	IMG_Genome_Count	2	3242	0.85	3242
Discosea	IMG_Genome_Count	2	1365	0.36	1365
Opisthokonta	18S_OTU_Count	3	24345	37.17	24345
Eukaryota.U.division	18S_OTU_Count	3	9333	14.25	9333
Alveolata	18S_OTU_Count	3	9042	13.81	9042
Discoba	18S_OTU_Count	3	5496	8.39	5496
Rhizaria	18S_OTU_Count	3	5126	7.83	5126
Other	18S_OTU_Count	3	3757	5.74	3757
Stramenopiles	18S_OTU_Count	3	3668	5.6	3668
Evosea	18S_OTU_Count	3	2431	3.71	2431
Tubulinea	18S_OTU_Count	3	1323	2.02	1323
Metamonada	18S_OTU_Count	3	573	0.87	573
Discosea	18S_OTU_Count	3	399	0.61	399
Opisthokonta	Genbank_Species_Count	4	17372	84.06	17372
Other	Genbank_Species_Count	4	2572	12.45	2572
Stramenopiles	Genbank_Species_Count	4	330	1.6	330
Alveolata	Genbank_Species_Count	4	175	0.85	175
Discoba	Genbank_Species_Count	4	121	0.59	121
Evosea	Genbank_Species_Count	4	31	0.15	31
Discosea	Genbank_Species_Count	4	26	0.13	26
Metamonada	Genbank_Species_Count	4	22	0.11	22
Rhizaria	Genbank_Species_Count	4	15	0.07	15
Tubulinea	Genbank_Species_Count	4	1	0	1
Eukaryota.U.division	Genbank_Species_Count	4	0	0	0
