Taxon	Node	Node_Order	Absolute_Count	Percentage	Flow_Width
Opisthokonta	Genbank_Genome_%	1	41803	83.61	83.6076721534431
Streptophyta	Genbank_Genome_%	1	5885	11.77	11.7702354047081
Stramenopiles	Genbank_Genome_%	1	684	1.37	1.36802736054721
Other	Genbank_Genome_%	1	661	1.32	1.3220264405288
Alveolata	Genbank_Genome_%	1	570	1.14	1.14002280045601
Discoba	Genbank_Genome_%	1	328	0.66	0.656013120262405
Rhizaria	Genbank_Genome_%	1	68	0.14	0.136002720054401
Eukaryota.U.division	Genbank_Genome_%	1	0	0	0
Amoebozoa.U.division	Genbank_Genome_%	1	0	0	0
Opisthokonta	IMG_Genome_%	2	158758	39.68	39.6790842403869
Alveolata	IMG_Genome_%	2	60488	15.12	15.1180315167269
Other	IMG_Genome_%	2	40297	10.07	10.0716062033716
Eukaryota.U.division	IMG_Genome_%	2	39360	9.84	9.83741767785956
Stramenopiles	IMG_Genome_%	2	24799	6.2	6.19812299271441
Rhizaria	IMG_Genome_%	2	24072	6.02	6.01642068956899
Discoba	IMG_Genome_%	2	21089	5.27	5.27086639757064
Streptophyta	IMG_Genome_%	2	16099	4.02	4.02369378038265
Amoebozoa.U.division	IMG_Genome_%	2	15143	3.78	3.78475650141838
Opisthokonta	18S_OTU_%	3	24345	34.5	34.5025510204082
Eukaryota.U.division	18S_OTU_%	3	9333	13.23	13.2270408163265
Alveolata	18S_OTU_%	3	9042	12.81	12.8146258503401
Other	18S_OTU_%	3	7084	10.04	10.0396825396825
Discoba	18S_OTU_%	3	5496	7.79	7.7891156462585
Rhizaria	18S_OTU_%	3	5126	7.26	7.26473922902494
Amoebozoa.U.division	18S_OTU_%	3	4214	5.97	5.97222222222222
Stramenopiles	18S_OTU_%	3	3668	5.2	5.1984126984127
Streptophyta	18S_OTU_%	3	2252	3.19	3.19160997732426
Opisthokonta	Genbank_Species_%	4	17372	83.87	83.8740826573967
Streptophyta	Genbank_Species_%	4	2349	11.34	11.3412514484357
Other	Genbank_Species_%	4	350	1.69	1.68984163769797
Stramenopiles	Genbank_Species_%	4	330	1.59	1.59327925840093
Alveolata	Genbank_Species_%	4	175	0.84	0.844920818848977
Discoba	Genbank_Species_%	4	121	0.58	0.584202394747007
Rhizaria	Genbank_Species_%	4	15	0.07	0.0724217844727694
Eukaryota.U.division	Genbank_Species_%	4	0	0	0
Amoebozoa.U.division	Genbank_Species_%	4	0	0	0
