"Rank","Phylum","Genome_Percentage","Size_Percentage","OTU_Percentage","Species_Coverage","Total_Representation"
1,"Pseudomonadota",51.35,30.84,18.66,23.55,124.4
2,"Bacillota",21,17.32,17.34,10.16,65.82
3,"Bacteroidota",4.18,13.31,10.85,5.17,33.51
4,"Actinomycetota",3.32,10.95,5.54,12.68,32.49
5,"Chloroflexota",0.51,5.88,4.6,0.5,11.49
6,"Planctomycetota",0.36,4.49,4.56,0.35,9.76
7,"Verrucomicrobiota",0.42,4.58,3.55,0.43,8.98
8,"Acidobacteriota",0.43,4.47,3.17,0.26,8.33
9,"Campylobacterota",5.19,0.96,0.82,0.53,7.5
10,"Thermodesulfobacteriota",0.29,2.59,2.16,0.64,5.68
