"Taxon","census_otu_count","census_size_count","otu_percentage","size_percentage","ncbi_genome_count","ncbi_species_count","isolate_count","genome_pct_db","species_pct","isolate_percentage","novelty_factor","overrepresentation_factor","direct_matches","taxid_matches","lineage_matches","total_matches","match_status","domain","coverage_percentage","Circle_Size","Phylum","Is_Top_Novelty","Is_Top_Coverage"
"Abditibacteriota",257,816,0.1,0.07,45,7,2,0,0.01,4.44,36.714,0.027,1,1,-1,1,"matched","Bacteria",NA,20,"Abditibacteriota",TRUE,FALSE
"Calditrichota",455,1257,0.17,0.11,274,13,7,0.01,0.01,2.55,35,0.029,1,1,-1,1,"matched","Bacteria",NA,20,"Calditrichota",TRUE,FALSE
"Planctomycetota",13119,44891,5,3.76,10360,498,384,0.4,0.57,3.71,26.343,0.038,1,1,-1,1,"matched","Bacteria",NA,20,"Planctomycetota",TRUE,FALSE
"Thermomicrobiota",511,1946,0.19,0.16,277,20,7,0.01,0.02,2.53,25.55,0.039,1,1,-1,1,"matched","Bacteria",NA,20,"Thermomicrobiota",TRUE,FALSE
"Acidobacteriota",9124,44683,3.48,3.74,12455,370,219,0.48,0.42,1.76,24.659,0.041,1,1,-1,1,"matched","Bacteria",NA,20,"Acidobacteriota",TRUE,FALSE
"Gemmatimonadota",2576,11870,0.98,0.99,4545,129,38,0.18,0.15,0.84,19.969,0.05,1,1,-1,1,"matched","Bacteria",NA,20,"Gemmatimonadota",TRUE,FALSE
"Chloroflexota",13210,58834,5.04,4.93,14682,716,516,0.57,0.82,3.51,18.45,0.054,1,1,-1,1,"matched","Bacteria",NA,20,"Chloroflexota",TRUE,FALSE
"Verrucomicrobiota",10214,45775,3.89,3.83,12194,606,1163,0.47,0.69,9.54,16.855,0.059,1,1,-1,1,"matched","Bacteria",NA,20,"Verrucomicrobiota",TRUE,FALSE
"Armatimonadota",1473,5017,0.56,0.42,1170,96,12,0.05,0.11,1.03,15.344,0.065,1,1,-1,1,"matched","Bacteria",NA,20,"Armatimonadota",TRUE,FALSE
"Myxococcota",3648,15086,1.39,1.26,5787,255,288,0.22,0.29,4.98,14.306,0.07,1,1,-1,1,"matched","Bacteria",NA,20,"Myxococcota",TRUE,FALSE
"Chlorobiota",3,4,0,0,813,56,35,0.03,0.06,4.31,0.054,18.667,1,1,-1,1,"matched","Bacteria",NA,20,"Chlorobiota",FALSE,TRUE
"Ignavibacteriota",11,25,0,0,1583,117,7,0.06,0.13,0.44,0.094,10.636,1,1,-1,1,"matched","Bacteria",NA,20,"Ignavibacteriota",FALSE,TRUE
"Chlamydiota",12,54,0,0,1410,114,802,0.05,0.13,56.88,0.105,9.5,1,1,-1,1,"matched","Bacteria",NA,10,"Chlamydiota",FALSE,TRUE
"Cyanobacteriota",2484,12888,0.95,1.08,7688,3955,2786,0.3,4.51,36.24,0.628,1.592,1,1,-1,1,"matched","Bacteria",NA,15,"Cyanobacteriota",FALSE,TRUE
"Chrysiogenota",5,13,0,0,11,6,4,0,0.01,36.36,0.833,1.2,1,1,-1,1,"matched","Bacteria",NA,15,"Chrysiogenota",FALSE,TRUE
"Dictyoglomota",7,133,0,0.01,29,8,3,0,0.01,10.34,0.875,1.143,1,1,-1,1,"matched","Bacteria",NA,15,"Dictyoglomota",FALSE,TRUE
"Actinomycetota",15932,109549,6.07,9.17,95708,17985,52746,3.7,20.53,55.11,0.886,1.129,1,1,-1,1,"matched","Bacteria",NA,10,"Actinomycetota",FALSE,TRUE
"Aquificota",166,1085,0.06,0.09,542,60,41,0.02,0.07,7.56,2.767,0.361,1,1,-1,1,"matched","Bacteria",NA,20,"Aquificota",FALSE,FALSE
"Atribacterota",223,1405,0.09,0.12,267,61,23,0.01,0.07,8.61,3.656,0.274,1,1,-1,1,"matched","Bacteria",NA,20,"Atribacterota",FALSE,FALSE
"Bacillota",49858,173190,19,14.5,605378,14412,467004,23.42,16.45,77.14,3.459,0.289,1,1,-1,1,"matched","Bacteria",NA,10,"Bacillota",FALSE,FALSE
"Bacteroidota",31180,133133,11.89,11.15,120577,7329,17890,4.66,8.37,14.84,4.254,0.235,1,1,-1,1,"matched","Bacteria",NA,15,"Bacteroidota",FALSE,FALSE
"Bdellovibrionota",2646,8064,1.01,0.68,2013,247,129,0.08,0.28,6.41,10.713,0.093,1,1,-1,1,"matched","Bacteria",NA,20,"Bdellovibrionota",FALSE,FALSE
"Caldisericota",104,936,0.04,0.08,207,21,3,0.01,0.02,1.45,4.952,0.202,1,1,-1,1,"matched","Bacteria",NA,20,"Caldisericota",FALSE,FALSE
"Campylobacterota",2352,9638,0.9,0.81,149466,750,145336,5.78,0.86,97.24,3.136,0.319,1,1,-1,1,"matched","Bacteria",NA,10,"Campylobacterota",FALSE,FALSE
"Coprothermobacterota",56,278,0.02,0.02,37,6,4,0,0.01,10.81,9.333,0.107,1,1,-1,1,"matched","Bacteria",NA,15,"Coprothermobacterota",FALSE,FALSE
"Deferribacterota",99,299,0.04,0.03,942,37,20,0.04,0.04,2.12,2.676,0.374,1,1,-1,1,"matched","Bacteria",NA,20,"Deferribacterota",FALSE,FALSE
"Deinococcota",528,2321,0.2,0.19,824,202,359,0.03,0.23,43.57,2.614,0.383,1,1,-1,1,"matched","Bacteria",NA,15,"Deinococcota",FALSE,FALSE
"Elusimicrobiota",686,2029,0.26,0.17,1190,157,38,0.05,0.18,3.19,4.369,0.229,1,1,-1,1,"matched","Bacteria",NA,20,"Elusimicrobiota",FALSE,FALSE
"Fibrobacterota",723,2395,0.28,0.2,691,88,48,0.03,0.1,6.95,8.216,0.122,1,1,-1,1,"matched","Bacteria",NA,20,"Fibrobacterota",FALSE,FALSE
"Fusobacteriota",728,3793,0.28,0.32,1475,157,717,0.06,0.18,48.61,4.637,0.216,1,1,-1,1,"matched","Bacteria",NA,15,"Fusobacteriota",FALSE,FALSE
"Mycoplasmatota",1523,5996,0.58,0.5,5182,614,2554,0.2,0.7,49.29,2.48,0.403,1,1,-1,1,"matched","Bacteria",NA,15,"Mycoplasmatota",FALSE,FALSE
"Nitrospinota",373,1656,0.14,0.14,501,41,19,0.02,0.05,3.79,9.098,0.11,1,1,-1,1,"matched","Bacteria",NA,20,"Nitrospinota",FALSE,FALSE
"Nitrospirota",1216,6479,0.46,0.54,3039,229,78,0.12,0.26,2.57,5.31,0.188,1,1,-1,1,"matched","Bacteria",NA,20,"Nitrospirota",FALSE,FALSE
"Pseudomonadota",53653,308380,20.45,25.82,1480382,33394,1375947,57.26,38.12,92.95,1.607,0.622,1,1,-1,1,"matched","Bacteria",NA,10,"Pseudomonadota",FALSE,FALSE
"Spirochaetota",3573,12265,1.36,1.03,7841,524,2989,0.3,0.6,38.12,6.819,0.147,1,1,-1,1,"matched","Bacteria",NA,15,"Spirochaetota",FALSE,FALSE
"Synergistota",665,2035,0.25,0.17,954,137,65,0.04,0.16,6.81,4.854,0.206,1,1,-1,1,"matched","Bacteria",NA,20,"Synergistota",FALSE,FALSE
"Thermodesulfobacteriota",6209,25872,2.37,2.17,8493,902,540,0.33,1.03,6.36,6.884,0.145,1,1,-1,1,"matched","Bacteria",NA,20,"Thermodesulfobacteriota",FALSE,FALSE
"Thermotogota",188,1640,0.07,0.14,741,157,130,0.03,0.18,17.54,1.197,0.835,1,1,-1,1,"matched","Bacteria",NA,15,"Thermotogota",FALSE,FALSE
