Genus,Domain,Phylum,Genus_Census_OTU_Count,Genus_Census_Size_Count,Genus_OTU_Percentage,Associated_Novel_Families,Number_of_Families,Average_Family_Novelty_Factor,Data_Source
Halobacterium,Archaea,Euryarchaeota,142,142,0,Halobacteriaceae,1,4.13,Census
Halobacteriaceae.U.genus,Archaea,Euryarchaeota,129,129,0,Halobacteriaceae,1,4.13,Census
Halorubellus,Archaea,Euryarchaeota,86,86,0,Halobacteriaceae,1,4.13,Census
Halorussus,Archaea,Euryarchaeota,58,58,0,Halobacteriaceae,1,4.13,Census
Halarchaeum,Archaea,Euryarchaeota,49,49,0,Halobacteriaceae,1,4.13,Census
Haladaptatus,Archaea,Euryarchaeota,48,48,0,Halobacteriaceae,1,4.13,Census
Halovenus,Archaea,Euryarchaeota,46,46,0,Halobacteriaceae,1,4.13,Census
Halomarina,Archaea,Euryarchaeota,41,41,0,Halobacteriaceae,1,4.13,Census
Salinirubrum,Archaea,Euryarchaeota,25,25,0,Halobacteriaceae,1,4.13,Census
Halanaeroarchaeum,Archaea,Euryarchaeota,22,22,0,Halobacteriaceae,1,4.13,Census
Halodesulfurarchaeum,Archaea,Euryarchaeota,19,19,0,Halobacteriaceae,1,4.13,Census
Salinirussus,Archaea,Euryarchaeota,18,18,0,Halobacteriaceae,1,4.13,Census
Halalkalicoccus,Archaea,Euryarchaeota,14,14,0,Halobacteriaceae,1,4.13,Census
Haloarchaeobius,Archaea,Euryarchaeota,7,7,0,Halobacteriaceae,1,4.13,Census
Salarchaeum,Archaea,Euryarchaeota,5,5,0,Halobacteriaceae,1,4.13,Census
Halocalculus,Archaea,Euryarchaeota,1,1,0,Halobacteriaceae,1,4.13,Census
Methanobrevibacter,Archaea,Euryarchaeota,1481,1481,0,Methanobacteriaceae,1,2.36,Census
Methanobacterium,Archaea,Euryarchaeota,1186,1186,0,Methanobacteriaceae,1,2.36,Census
Methanosphaera,Archaea,Euryarchaeota,281,281,0,Methanobacteriaceae,1,2.36,Census
Methanothermobacter,Archaea,Euryarchaeota,137,137,0,Methanobacteriaceae,1,2.36,Census
Methanobacteriaceae.U.genus,Archaea,Euryarchaeota,17,17,0,Methanobacteriaceae,1,2.36,Census
Methanocella,Archaea,Euryarchaeota,142,142,0,Methanocellaceae,1,5.455,Census
Methanocellaceae.U.genus,Archaea,Euryarchaeota,93,93,0,Methanocellaceae,1,5.455,Census
Methanospirillum,Archaea,Euryarchaeota,314,314,0,Methanospirillaceae,1,6.444,Census
Methanothrix,Archaea,Euryarchaeota,1914,1914,0,Methanotrichaceae,1,6.833,Census
