Genus,Domain,Phylum,Genus_Census_OTU_Count,Genus_Census_Size_Count,Genus_OTU_Percentage,Associated_Novel_Families,Number_of_Families,Average_Family_Novelty_Factor,Data_Source
Blastocatellaceae.U.genus,Bacteria,Acidobacteriota,1019,1019,0,Blastocatellaceae,1,143.333,Census
Blastocatella,Bacteria,Acidobacteriota,368,368,0,Blastocatellaceae,1,143.333,Census
Stenotrophobacter,Bacteria,Acidobacteriota,220,220,0,Blastocatellaceae,1,143.333,Census
Aridibacter,Bacteria,Acidobacteriota,71,71,0,Blastocatellaceae,1,143.333,Census
Tellurimicrobium,Bacteria,Acidobacteriota,5,5,0,Blastocatellaceae,1,143.333,Census
Chthoniobacteraceae.U.genus,Bacteria,Verrucomicrobiota,3212,3212,0,Chthoniobacteraceae,1,98.875,Census
Chthoniobacter,Bacteria,Verrucomicrobiota,1537,1537,0,Chthoniobacteraceae,1,98.875,Census
Ignisphaera,Bacteria,Thermoproteota,168,168,0,Desulfurococcaceae,1,4.394,Census
Aeropyrum,Bacteria,Thermoproteota,90,90,0,Desulfurococcaceae,1,4.394,Census
Sulfophobococcus,Bacteria,Thermoproteota,56,56,0,Desulfurococcaceae,1,4.394,Census
Thermogladius,Bacteria,Thermoproteota,50,50,0,Desulfurococcaceae,1,4.394,Census
Desulfurococcus,Bacteria,Thermoproteota,48,48,0,Desulfurococcaceae,1,4.394,Census
Desulfurococcaceae.U.genus,Bacteria,Thermoproteota,42,42,0,Desulfurococcaceae,1,4.394,Census
Staphylothermus,Bacteria,Thermoproteota,33,33,0,Desulfurococcaceae,1,4.394,Census
Thermosphaera,Bacteria,Thermoproteota,19,19,0,Desulfurococcaceae,1,4.394,Census
Ignicoccus,Bacteria,Thermoproteota,13,13,0,Desulfurococcaceae,1,4.394,Census
Thermodiscus,Bacteria,Thermoproteota,12,12,0,Desulfurococcaceae,1,4.394,Census
Stetteria,Bacteria,Thermoproteota,4,4,0,Desulfurococcaceae,1,4.394,Census
Fervidicoccaceae.U.genus,Bacteria,Thermoproteota,42,42,0,Fervidicoccaceae,1,9.0,Census
Fervidicoccus,Bacteria,Thermoproteota,33,33,0,Fervidicoccaceae,1,9.0,Census
Gemmataceae.U.genus,Bacteria,Planctomycetota,2847,2847,0,Gemmataceae,1,55.654,Census
Gemmata,Bacteria,Planctomycetota,614,614,0,Gemmataceae,1,55.654,Census
Fimbriiglobus,Bacteria,Planctomycetota,195,195,0,Gemmataceae,1,55.654,Census
Telmatocola,Bacteria,Planctomycetota,20,20,0,Gemmataceae,1,55.654,Census
Tuwongella,Bacteria,Planctomycetota,15,15,0,Gemmataceae,1,55.654,Census
Zavarzinella,Bacteria,Planctomycetota,10,10,0,Gemmataceae,1,55.654,Census
Gemmatimonadaceae.U.genus,Bacteria,Gemmatimonadota,5987,5987,0,Gemmatimonadaceae,1,67.909,Census
Gemmatimonas,Bacteria,Gemmatimonadota,2040,2040,0,Gemmatimonadaceae,1,67.909,Census
Gemmatirosa,Bacteria,Gemmatimonadota,50,50,0,Gemmatimonadaceae,1,67.909,Census
Roseisolibacter,Bacteria,Gemmatimonadota,49,49,0,Gemmatimonadaceae,1,67.909,Census
Haliangium,Bacteria,Myxococcota,3124,3124,0,Kofleriaceae,1,124.833,Census
Kofleria,Bacteria,Myxococcota,14,14,0,Kofleriaceae,1,124.833,Census
Microscillaceae.U.genus,Bacteria,Bacteroidota,2494,2494,0,Microscillaceae,1,102.833,Census
Microscilla,Bacteria,Bacteroidota,38,38,0,Microscillaceae,1,102.833,Census
Eisenibacter,Bacteria,Bacteroidota,13,13,0,Microscillaceae,1,102.833,Census
Nitrosopumilaceae.U.genus,Bacteria,Nitrososphaerota,3920,3920,0,Nitrosopumilaceae,1,10.373,Census
Nitrosarchaeum,Bacteria,Nitrososphaerota,261,261,0,Nitrosopumilaceae,1,10.373,Census
