Genus,Domain,Phylum,Genus_Census_OTU_Count,Genus_Census_Size_Count,Genus_OTU_Percentage,Associated_Novel_Families,Number_of_Families,Average_Family_Novelty_Factor,Data_Source
Leidyana2,Bacteria,Alveolata,258,258,0,Gregarinidae,1,130.0,Census
Gregarina3,Bacteria,Alveolata,218,218,0,Gregarinidae,1,130.0,Census
Gregarinidae.U.genus,Bacteria,Alveolata,187,187,0,Gregarinidae,1,130.0,Census
Leidyana1,Bacteria,Alveolata,29,29,0,Gregarinidae,1,130.0,Census
Hexamitidae.U.genus,Bacteria,Metamonada,3018,3018,0,Hexamitidae,1,143.25,Census
Hexamita,Bacteria,Metamonada,113,113,0,Hexamitidae,1,143.25,Census
Trimitus,Bacteria,Metamonada,88,88,0,Hexamitidae,1,143.25,Census
Trepomonas,Bacteria,Metamonada,23,23,0,Hexamitidae,1,143.25,Census
Labyrinthula,Bacteria,Stramenopiles,238,238,0,Labyrinthulaceae,1,62.0,Census
Mastigamoeba,Bacteria,Evosea,10879,10879,0,Mastigamoebidae,1,1609.0,Census
Neovahlkampfia,Bacteria,Discoba,780,780,0,Neovahlkampfiidae,1,211.0,Census
Stylonychia,Bacteria,Alveolata,7715,7715,0,Oxytrichidae,1,160.0,Census
Korotnevella,Bacteria,Discosea,50,50,0,Paramoebidae,1,54.0,Census
Paramoeba,Bacteria,Discosea,31,31,0,Paramoebidae,1,54.0,Census
Thalassiosira,Bacteria,Stramenopiles,6048,6048,0,Thalassiosiraceae,1,11.885,Census
Theileria1,Bacteria,Alveolata,1221,1221,0,Theileriidae,1,14.429,Census
Vannella,Bacteria,Discosea,94,94,0,Vannellidae,1,56.0,Census
