"Taxon","Coverage_Factor","Novelty_Ratio","Census_OTU_Count","NCBI_Species_Count","Division"
"Oryza",23,0.04,1,23,"Nibbleridia"
"Debaryomyces",14,0.07,1,14,"Rhizaria"
"Coemansia",12.17,0.08,12,146,"Opisthokonta"
"Colletotrichum",10.4,0.1,10,104,"Opisthokonta"
"Skeletonema",8,0.12,1,8,"Opisthokonta"
"Cladophialophora",8,0.12,1,8,"Rhizaria"
"Lipomyces",6.33,0.16,3,19,"Opisthokonta"
"Aspergillus",5.48,0.18,48,263,"Opisthokonta"
"Cryptococcus",5,0.2,5,25,"Tubulinea"
"Schizosaccharomyces",4,0.25,2,8,"Other"
