"Taxon","census_taxid","census_otu_count","census_size_count","otu_percentage","size_percentage","ncbi_genome_count","ncbi_species_count","genome_pct_db","species_pct","direct_name_matches","direct_taxid_matches","hierarchical_taxid_matches","lineage_name_matches","total_matches","match_status","domain","isolate_count","isolate_percentage","novelty_factor","overrepresentation_factor","Circle_Size","Phylum","Is_Top_Novelty","Is_Top_Coverage"
"Fervidicoccaceae","685949",27,75,0.01,0.01,68,3,0,0,0,0,3,0,3,"matched","Archaea",2,2.94,9,0.111,20,"Thermoproteota",TRUE,FALSE
"Nitrosopumilaceae","338190",529,4381,0.22,0.39,1035,59,0.03,0.06,0,0,59,0,59,"matched","Archaea",84,8.12,8.966,0.112,20,"Nitrososphaerota",TRUE,FALSE
"Nitrososphaeraceae","1033997",273,3133,0.11,0.28,897,31,0.03,0.03,0,0,31,0,31,"matched","Archaea",18,2.01,8.806,0.114,20,"Nitrososphaerota",TRUE,FALSE
"Methanotrichaceae","143067",246,1914,0.1,0.17,400,37,0.01,0.04,0,0,37,0,37,"matched","Archaea",5,1.25,6.649,0.15,20,"Euryarchaeota",TRUE,FALSE
"Methanospirillaceae","196137",58,314,0.02,0.03,66,9,0,0.01,0,0,9,0,9,"matched","Archaea",15,22.73,6.444,0.155,15,"Euryarchaeota",TRUE,FALSE
"Thermoplasmataceae","46659",37,86,0.02,0.01,64,6,0,0.01,0,0,6,0,6,"matched","Archaea",8,12.5,6.167,0.162,15,"Thermoplasmatota",TRUE,FALSE
"Nanoarchaeaceae","1890941",17,55,0.01,0,3,3,0,0,0,0,3,0,3,"matched","Archaea",1,33.33,5.667,0.176,15,"Nanobdellota",TRUE,FALSE
"Methanocellaceae","570265",60,235,0.02,0.02,32,12,0,0.01,0,0,12,0,12,"matched","Archaea",6,18.75,5,0.2,15,"Euryarchaeota",TRUE,FALSE
"Halobacteriaceae","2236",190,710,0.08,0.06,146,44,0,0.04,0,0,44,0,44,"matched","Archaea",83,56.85,4.318,0.232,10,"Euryarchaeota",TRUE,FALSE
"Caldisphaeraceae","255472",8,36,0,0,19,2,0,0,0,0,2,0,2,"matched","Archaea",1,5.26,4,0.25,20,"Thermoproteota",TRUE,FALSE
"Picrophilaceae","46630",1,2,0,0,3,2,0,0,0,0,2,0,2,"matched","Archaea",2,66.67,0.5,2,10,"Thermoplasmatota",FALSE,TRUE
"Thermococcaceae","2259",48,369,0.02,0.03,258,83,0.01,0.08,0,0,83,0,83,"matched","Archaea",101,39.15,0.578,1.729,15,"Euryarchaeota",FALSE,TRUE
"Methanopyraceae","183713",3,16,0,0,29,5,0,0,0,0,5,0,5,"matched","Archaea",3,10.34,0.6,1.667,15,"Euryarchaeota",FALSE,TRUE
"Methanomassiliicoccaceae","1577788",52,550,0.02,0.05,250,84,0.01,0.08,0,0,84,0,84,"matched","Archaea",31,12.4,0.619,1.615,15,"Thermoplasmatota",FALSE,TRUE
"Haloferacaceae","1644056",220,653,0.09,0.06,536,290,0.02,0.28,0,0,290,0,290,"matched","Archaea",419,78.17,0.759,1.318,10,"Euryarchaeota",FALSE,TRUE
"Cenarchaeaceae","205957",14,78,0.01,0.01,34,17,0,0.02,0,0,17,0,17,"matched","Archaea",0,0,0.824,1.214,25,"Other",FALSE,TRUE
"Natrialbaceae","1644061",131,452,0.05,0.04,213,155,0.01,0.15,0,0,155,0,155,"matched","Archaea",182,85.45,0.845,1.183,10,"Euryarchaeota",FALSE,TRUE
"Halorubraceae","1644056",263,1265,0.11,0.11,536,290,0.02,0.28,0,0,290,0,290,"matched","Archaea",419,78.17,0.907,1.103,10,"Other",FALSE,TRUE
